A_name,B_name,train_beta,train_t,test_beta,test_t,test_p
半導體,自動化,0.22066734789443718,2.0480737279415804,0.27079875014469945,3.224418088526043,0.0012622896225169802
半導體,平面顯示器,0.3677172232563821,3.341969761877582,0.2738114783088014,3.216634243487141,0.0012970383735337403
半導體,連接器,0.23322559200090182,2.406559018621255,0.25757743595150806,3.108779726455943,0.0018786171951228612
半導體,觸控面板,0.2873924558980053,2.6943532434439006,0.24618896147355598,3.0556057690088294,0.00224606366541829
半導體,大數據,0.23330575514766913,2.504599827709336,0.1994280162108463,2.963313844145254,0.003043460870907919
半導體,通信網路,0.2839928495965218,2.6900119581546402,0.22284430344700845,2.942928566145638,0.0032512342900654708
半導體,雲端運算,0.21273965857115928,2.326620494127231,0.20992965780058767,2.936758052625323,0.003316627522421318
體驗科技,平面顯示器,0.12835595107292258,2.0839033330134837,0.1435298362978504,2.8677734406665856,0.004133714265852576
半導體,資通訊安全,0.2259953971156395,2.472072731856942,0.18513392281234656,2.7646439509354024,0.005698495768988993
半導體,被動元件,0.28392191471564127,2.7019108346077854,0.29462124224946895,2.7248585857498293,0.006432903334645297
半導體,醫療器材,0.21663650644150265,2.3424341141960734,0.16331337020773073,2.562471915492521,0.010392999279244962
半導體,軟體服務,0.17814782687564226,2.282087598459033,0.160445148242833,2.549424282973545,0.010790093875680943
運動科技,自動化,0.1916441455031635,3.0641692000058613,0.15859523378963775,2.526488386304804,0.011520919751336657
半導體,金融科技,0.35195784640985167,3.1298634006670354,0.21477673114201737,2.40605958954826,0.016125634147710323
電子商務,汽車,0.10442797987595591,2.7941144352385163,0.12081944804261577,2.290839920600662,0.021972673822679617
半導體,休閒娛樂,0.19143125241685624,2.2893775490748243,0.17050165098547798,2.283837117337997,0.022381105381742636
半導體,印刷電路板,0.22510560979838956,2.229738268883607,0.2183298922263914,2.2399580476414016,0.02509364656927669
電子商務,電腦週邊,0.08796329211321262,2.1657085522226303,0.11317804059404837,2.084341686635245,0.037129098012301895
電子商務,半導體,0.09510696295712368,2.174732018700608,0.12191550873049614,2.0281454303933386,0.04254540740321405
電子商務,印刷電路板,0.10479334864126355,2.4894769177330045,0.11510365403588751,2.004520218279831,0.04501436333319106
太空衛星科技,醫療器材,0.08828983913868638,2.303893805793683,0.07253992862009526,2.0038869611427894,0.04508217059140852
電子商務,通信網路,0.09449973928783918,2.3995970086948395,0.105003762699081,1.952513223668193,0.05087730252265585
半導體,區塊鏈,0.283160775342187,2.5426828848544925,0.23520430108920037,1.951454576209167,0.0510029946641974
電子商務,太空衛星科技,0.09953572279085802,2.1060760780159375,0.1247706476970856,1.9256586206044883,0.05414701389084653
電子商務,人工智慧,0.1091473505201417,2.604968086455488,0.09193472757589309,1.9231140743963435,0.05446572515832347
太空衛星科技,食品生技,0.10276907897954153,2.0747362359302577,0.07052040504490957,1.895511156626249,0.05802471509455643
運動科技,印刷電路板,0.1271048889204324,2.112248037787645,0.10926360036543624,1.8448680211240425,0.06505673956236434
電腦週邊,交通運輸及航運,0.31786248941650497,2.170780718257668,0.3848609155269803,1.8446850175549072,0.06508337157843426
電子商務,連接器,0.10080822323571016,2.5219071811659663,0.10599976019331234,1.814445316265321,0.06960919440348413
電子商務,金融科技,0.14194816328982546,2.682295239761011,0.09950516939707729,1.8093486970534123,0.07039684803250286
