variant,threshold,timed,n,ann_ret,ann_vol,sharpe,max_dd,ann_alpha,t_alpha,beta,ann_turn
Full_EW,—,False,3423,0.22578207775475695,0.1912985219172705,1.1802604405506036,-0.3789532031850934,0.054753668060576674,1.764576984602717,1.183890234879518,0.8398151939308679
Full_EW,—,True,3423,0.17775235310368634,0.11178245698173803,1.590163232256792,-0.14440563790498084,0.12746887905464332,3.64649926861508,0.3480714929696586,29.269261968130664
ratio10,no_filter,False,3423,0.2634929930128874,0.19784463512633374,1.331817730840333,-0.3824465035083998,0.10412504612247069,2.580823015380158,1.1031743580714723,1.876979032948224
ratio10,no_filter,True,3423,0.19252474633370883,0.12827962258956005,1.5008209600811326,-0.14057029172356328,0.14416237684970676,3.5765549954384643,0.3347732524095009,29.900513478819
ratio10,≥-30%,False,3423,0.26177770089352054,0.19717910946824238,1.3276137700362343,-0.3824465035083999,0.10279215849664577,2.4672436151007497,1.100527283550415,2.303508771929825
ratio10,≥-30%,True,3423,0.19375299039418944,0.12762248488820122,1.5181728404984383,-0.14585618556961955,0.1456224261188304,3.5163516265410366,0.33316865394894496,30.19764655541292
ratio10,≥-20%,False,3423,0.2532724302848929,0.1970675169093933,1.2852063813304209,-0.37724480482616607,0.09455906133525274,2.2847496942810643,1.098643248687723,2.5841677364142064
ratio10,≥-20%,True,3423,0.1843389262912851,0.12779504863399938,1.4424574994233574,-0.15055579306222722,0.13614654130037201,3.2829397283443638,0.33359658835813727,30.407616602481816
ratio10,≥-10%,False,3423,0.24002471836136022,0.1988140214170666,1.207282648630918,-0.3975925041408973,0.08020289939743912,1.8769203863420525,1.1063161443785965,3.116516902011125
ratio10,≥-10%,True,3423,0.17269726052803877,0.12805918947865946,1.3485737433690228,-0.1587712429632958,0.12448729630378741,2.970266139660038,0.33371827505757556,30.7132648694908
ratio10,≥0%,False,3423,0.2531646201355531,0.21171616919642633,1.195773667625129,-0.4015735331456257,0.0866891878033152,2.007428452712231,1.1523736848041846,4.600085579803166
ratio10,≥0%,True,3423,0.19010122907804677,0.13804256747529983,1.3771203517499186,-0.17845299074622512,0.13989025531713134,3.297086931514864,0.3475696325869673,31.678305519897304
