n,ann_ret,ann_vol,sharpe,max_dd,win,ann_alpha,t_alpha,beta,target,predictor,smooth_N,hold_K,cost_rt,avg_daily_turn,ann_turn
4672,0.21746836521099894,0.10312566561213826,2.10877053660832,-0.22383688598052665,0.3550941780821918,0.1762092637493438,8.299673753163455,0.3432696203200488,P_md,P_lead,1,1,0.0,0.456763698630137,115.10445205479452
4672,0.04481168712880715,0.10425394449341564,0.4298320542839252,-0.32943434247172476,0.3343321917808219,0.0035999864108832488,0.15901375117517494,0.34287525314463596,P_md,P_lead,1,1,0.003,0.456763698630137,115.10445205479452
4672,-0.07029276492598738,0.1057413293088413,-0.6647615022947327,-0.8061008761467561,0.3182791095890411,-0.11147286514809042,-4.706639991319219,0.3426123416943609,P_md,P_lead,1,1,0.005,0.456763698630137,115.10445205479452
4672,-0.24294944300817917,0.10901503581710678,-2.228586554021525,-0.9915742807909744,0.2964469178082192,-0.2840821424865509,-11.191556910917594,0.342217974518948,P_md,P_lead,1,1,0.008,0.456763698630137,115.10445205479452
4672,-0.35805389506297364,0.11184513102014226,-3.201336453336458,-0.99897994181181,0.2827482876712329,-0.3991549940455247,-15.010526249867578,0.3419550630686733,P_md,P_lead,1,1,0.01,0.456763698630137,115.10445205479452
4668,0.1420138720083721,0.09895927320700601,1.4350739188565298,-0.1759373293669152,0.32519280205655526,0.10404146568710466,4.2264936324510565,0.3108547851928537,P_md,P_lead,1,5,0.0,0.10197086546700942,25.696658097686374
4668,0.10346888486184255,0.09906296417409742,1.0444759625807478,-0.2459098245563377,0.3202656383890317,0.06548343630925382,2.6267887078077146,0.3109615532491503,P_md,P_lead,1,5,0.003,0.10197086546700942,25.696658097686374
4668,0.07777222676415615,0.09942264755251043,0.7822385410032506,-0.30115845294933563,0.3176949443016281,0.03977808339068649,1.5804138148259368,0.311032731953348,P_md,P_lead,1,5,0.005,0.10197086546700942,25.696658097686374
4668,0.0392272396176266,0.10039176089315129,0.39074162330290074,-0.39428210825095056,0.31041131105398456,0.0012200540128355676,0.047703080641831784,0.3111395000096447,P_md,P_lead,1,5,0.008,0.10197086546700942,25.696658097686374
4668,0.013530581519940226,0.1013178369867389,0.13354589796178923,-0.4724660468930252,0.3074121679520137,-0.024485298905731718,-0.946230742747094,0.3112106787138425,P_md,P_lead,1,5,0.01,0.10197086546700942,25.696658097686374
4663,0.10506345488906856,0.10360626573579458,1.0140646817345,-0.25928000593793854,0.3218957752519837,0.06276595245464442,2.640063753250042,0.3467624008592888,P_md,P_lead,1,10,0.0,0.04739438129959254,11.94338408749732
4663,0.08714837875782258,0.10359855871042023,0.8412122701573547,-0.28654332314177355,0.31975123311173065,0.04483252331724657,1.871869368406595,0.34691286204753646,P_md,P_lead,1,10,0.003,0.04739438129959254,11.94338408749732
4663,0.07520499467032528,0.10373064244983378,0.72500268863847,-0.304180849825077,0.3191078704696547,0.03287690389231469,1.3651116711125666,0.3470131695063684,P_md,P_lead,1,10,0.005,0.04739438129959254,11.94338408749732
4663,0.05728991853907929,0.10413355638040775,0.5501580905370685,-0.3298545163704013,0.31567660304524986,0.014943474754916884,0.6148080765258539,0.34716363069461625,P_md,P_lead,1,10,0.008,0.04739438129959254,11.94338408749732
4663,0.04534653445158196,0.10453746341266575,0.43378261697985476,-0.3464623935092497,0.31503324040317393,0.002987855329985013,0.12210819115773082,0.347263938153448,P_md,P_lead,1,10,0.01,0.04739438129959254,11.94338408749732
