strategy,n,ann_ret,ann_vol,sharpe,max_dd,ann_alpha,t_alpha,beta,ann_turnover
"A. Full EW always-on (no select, no time)",3423,0.22578207775475695,0.1912985219172705,1.1802604405506036,-0.3789532031850934,0.054753668060576674,1.764576984602717,1.183890234879518,0.8908529757871173
B. Full EW timed (no select),3423,0.17775235310368634,0.11178245698173803,1.590163232256792,-0.14440563790498084,0.12746887905464332,3.64649926861508,0.3480714929696586,40.50648918250807
C. WF-screen always-on,3423,0.22669416799746256,0.23223566569207352,0.9761384726239315,-0.5089056245371619,0.05324353289206091,1.1181649514355794,1.2006573264764628,2.8100365725095133
D. WF-screen timed,3423,0.19139408351740042,0.15059238301836164,1.270941329708979,-0.16957828746495318,0.13868209323697162,3.085619782740231,0.3648821307854755,30.502465463093834
E. P23 top15 always-on (LOOK-AHEAD),3423,0.2316266502417067,0.19443484353084503,1.1912815935429888,-0.3796693286230458,0.06643949260771237,1.857084053308355,1.1434560094435813,0.451268885158487
F. P23 top15 timed (LOOK-AHEAD),3423,0.19869132851427077,0.12034709536091787,1.650985658759778,-0.16029355508725696,0.1495046666302235,4.029550968600205,0.3404791566206424,40.24874098943419
