src_code,src_name,dst_code,dst_name,n,beta,t,p,abs_t
DC00,IP設計/IC設計代工服務,D100,IC設計,4245,0.0589507834169641,2.0136559221271346,0.0440456707741065,2.0136559221271346
DC00,IP設計/IC設計代工服務,D300,IC/晶圓製造,4245,0.07730146892289218,3.1181318771104927,0.0018200134604318618,3.1181318771104927
DC00,IP設計/IC設計代工服務,D400,生產製程及檢測設備,4245,0.07988306221077951,3.921087651770188,8.815018897706925e-05,3.921087651770188
DC00,IP設計/IC設計代工服務,D500,化學品,4245,0.07537101869150381,3.8243802568727747,0.00013110144337592644,3.8243802568727747
DC00,IP設計/IC設計代工服務,D600,生產製程及檢測設備,4245,0.07863758959070537,3.9148208830659117,9.047134524120529e-05,3.9148208830659117
DC00,IP設計/IC設計代工服務,D700,基板,4245,0.0799347825295821,3.5851457245629366,0.0003368900422277165,3.5851457245629366
DC00,IP設計/IC設計代工服務,D800,導線架,4245,0.0652564195704728,2.861826298748063,0.004212076817435643,2.861826298748063
DC00,IP設計/IC設計代工服務,D900,IC封裝測試,4245,0.07325772244851286,3.4575279842443227,0.0005451556198177414,3.4575279842443227
DC00,IP設計/IC設計代工服務,DA00,IC模組,4245,0.08227332575258121,3.6102068618605303,0.00030595290177660105,3.6102068618605303
DC00,IP設計/IC設計代工服務,DB00,IC通路,4245,0.06614091472220794,3.6263117994208063,0.000287498180904016,3.6263117994208063
D100,IC設計,DC00,IP設計/IC設計代工服務,4245,0.1314648641438236,2.094127609526363,0.03624861418623001,2.094127609526363
D100,IC設計,D300,IC/晶圓製造,4245,0.13110943957994198,2.888977433787754,0.003864968093954314,2.888977433787754
D100,IC設計,D400,生產製程及檢測設備,4245,0.13061463203625576,3.9833634015945623,6.794673338110345e-05,3.9833634015945623
D100,IC設計,D500,化學品,4245,0.11042460842929946,3.3461424390257952,0.0008194428944585393,3.3461424390257952
D100,IC設計,D600,生產製程及檢測設備,4245,0.13419325863593531,4.011941537197769,6.0221415584678593e-05,4.011941537197769
D100,IC設計,D700,基板,4245,0.15283620084986288,3.946920053564798,7.916297567584534e-05,3.946920053564798
D100,IC設計,D800,導線架,4245,0.15225361502490173,3.9382140331605617,8.209035384018832e-05,3.9382140331605617
D100,IC設計,D900,IC封裝測試,4245,0.12970233954316937,3.378037865254642,0.000730050273045468,3.378037865254642
D100,IC設計,DA00,IC模組,4245,0.156203959346501,3.8886270708081954,0.00010081288441718705,3.8886270708081954
D100,IC設計,DB00,IC通路,4245,0.11649351807330066,3.7312318501226307,0.00019054575821112344,3.7312318501226307
D300,IC/晶圓製造,DC00,IP設計/IC設計代工服務,4245,0.06983407472409596,1.5126192092767605,0.1303764119340127,1.5126192092767605
D300,IC/晶圓製造,D100,IC設計,4245,0.006974320317753798,0.17292330847157747,0.8627117101337729,0.17292330847157747
D300,IC/晶圓製造,D400,生產製程及檢測設備,4245,0.06268502425386026,2.036741278797682,0.04167597558713672,2.036741278797682
D300,IC/晶圓製造,D500,化學品,4245,0.02584604244772671,0.9047674211531511,0.3655886144990629,0.9047674211531511
D300,IC/晶圓製造,D600,生產製程及檢測設備,4245,0.06782493550374225,2.3600299049020284,0.018273461921739113,2.3600299049020284
D300,IC/晶圓製造,D700,基板,4245,0.04952365193831554,1.5374127056916875,0.12419227692753708,1.5374127056916875
D300,IC/晶圓製造,D800,導線架,4245,0.09515732981796816,2.8414188721788447,0.004491327776477157,2.8414188721788447
D300,IC/晶圓製造,D900,IC封裝測試,4245,0.07083457651245109,2.14300265586262,0.03211288511069812,2.14300265586262
D300,IC/晶圓製造,DA00,IC模組,4245,0.07194098053791362,2.283969852210083,0.022373302799136283,2.283969852210083
D300,IC/晶圓製造,DB00,IC通路,4245,0.04553832574096275,1.7417214837749204,0.08155719135331431,1.7417214837749204
D400,生產製程及檢測設備,DC00,IP設計/IC設計代工服務,4245,-0.09340670065163383,-1.5471720688171897,0.1218217592527247,1.5471720688171897
D400,生產製程及檢測設備,D100,IC設計,4245,-0.06578871937273495,-1.3453953506964016,0.17849759588740144,1.3453953506964016
D400,生產製程及檢測設備,D300,IC/晶圓製造,4245,-0.06723733725436738,-1.3859454843579122,0.16576355059127712,1.3859454843579122
D400,生產製程及檢測設備,D500,化學品,4245,0.026450041374019833,0.7101071399011738,0.4776376990504966,0.7101071399011738
D400,生產製程及檢測設備,D600,生產製程及檢測設備,4245,0.058264909878910975,1.17146514776757,0.2414118589840718,1.17146514776757
D400,生產製程及檢測設備,D700,基板,4245,-0.004637964170198115,-0.10595157100124362,0.915620776561122,0.10595157100124362
D400,生產製程及檢測設備,D800,導線架,4245,-0.002232079077527059,-0.04815927050120949,0.9615893099315697,0.04815927050120949
D400,生產製程及檢測設備,D900,IC封裝測試,4245,-0.011186427370134686,-0.26881573881567195,0.7880714811835977,0.26881573881567195
D400,生產製程及檢測設備,DA00,IC模組,4245,-0.021928700271640796,-0.5000593237127936,0.6170333064268453,0.5000593237127936
D400,生產製程及檢測設備,DB00,IC通路,4245,0.011668989497262762,0.3405425782242171,0.7334479639051614,0.3405425782242171
