stock,target,alone_beta,alone_t,rho_with_leader,joint_t_stock,joint_t_leader,verdict
2409 友達,G000中下游,0.0005426639942844649,0.05284918588622162,0.5464105802794217,-0.1787078745593959,1.8011473433897576,皆不顯著
2409 友達,xind,0.0007148565296094278,0.08028189045470858,0.5464105802794217,-0.21799619778414758,1.9088556599575965,皆不顯著
3481 群創,G000中下游,0.007619022667542821,0.7862147639463214,0.5634595159925184,0.5679582579929772,1.741729365640245,皆不顯著
3481 群創,xind,0.00766409699044321,0.9141266315828989,0.5634595159925184,0.6555789752878962,1.8190371794399882,皆不顯著
2049 上銀,P000中下游,0.015252027093839358,2.1453486565829616,0.6096722249506721,0.9802226349304449,3.0203271936622405,整體鏈主導
2049 上銀,xind,0.01646685119720198,1.9105068688074351,0.6096722249506721,1.19455917454455,1.8572312763264385,皆不顯著
1590 亞德客-KY,P000中下游,0.018131816021605213,2.77329276928896,0.5140046764149492,1.6116009081887308,3.8516862034390957,整體鏈主導
1590 亞德客-KY,xind,0.024615898720768085,3.1870990374501353,0.5140046764149492,2.3607085401383983,2.429029550688833,雙顯著
2330 台積電,D000中下游,0.0574165732634087,3.55890918740974,0.4596140730518752,3.70038089717836,3.1195916242119393,雙顯著
2330 台積電,xind,0.05231885867091309,3.475235591508773,0.4596140730518752,3.2429013725845834,3.398300677924748,雙顯著
