A,B,n,beta_AB,t_AB,p_AB,L_strict,L_loose,S_undir,A_name,B_name
1000,U000,206,0.5017871693768151,3.3430478306874747,0.0008286361583890995,0,0,1,水泥,金融
1000,V000,206,0.11233101399339687,0.807460862943313,0.41940101394363816,0,0,0,水泥,貿易百貨
1000,W000,206,0.13267807615568206,1.6453557048926162,0.0998964784966211,0,0,0,水泥,油電燃氣
1000,X000,206,0.057676156109760075,0.48092112467047593,0.6305725583336523,0,0,1,水泥,其他
1000,Y000,206,0.139006085708779,0.6454329333013697,0.5186466670693937,0,0,0,水泥,文化創意
2000,1000,206,-0.09737827035059383,-0.8802342457146641,0.3787324251834654,0,0,0,造紙,水泥
2000,3000,206,-0.11138571133698184,-1.0822989846928464,0.27911969699671524,0,0,0,造紙,汽車
2000,4100,206,-0.09589301740400175,-0.7304584150114891,0.4651100231058978,0,0,0,造紙,太空衛星科技
2000,5100,206,-0.07809090207625562,-0.5810801319167569,0.5611864484150386,0,0,0,造紙,區塊鏈
2000,5200,206,-0.12680662574126386,-1.017606422473882,0.3088650339612623,0,0,0,造紙,金融科技
2000,5300,206,-0.06501143101427781,-0.663753939795848,0.5068478100009475,0,0,0,造紙,人工智慧
2000,5400,206,-0.08484681897653548,-0.8758743444886641,0.3810983481249317,0,0,0,造紙,雲端運算
2000,5500,206,-0.07876187474982663,-0.8594784350972462,0.3900766125884856,0,0,1,造紙,資通訊安全
2000,5600,206,-0.11952377313654461,-1.1833221002246224,0.2366815172988339,0,0,0,造紙,大數據
2000,5700,206,0.00720958157425769,0.06196914084063986,0.9505874067951698,0,0,0,造紙,體驗科技
2000,5800,206,-0.0407732083978727,-0.3909408134564707,0.6958409850843938,0,0,0,造紙,運動科技
2000,6000,206,-0.12329259424535445,-0.9301161285154058,0.3523109609102496,0,0,0,造紙,自動化
2000,B000,206,-0.0838017520426052,-0.7065082008706547,0.47987215458295307,0,0,0,造紙,休閒娛樂
2000,C100,206,-0.19985869999897804,-1.1545814266032592,0.24826187619775408,0,1,1,造紙,製藥
2000,C200,206,-0.12155238275977703,-1.1124892378072164,0.26592785492207593,0,0,0,造紙,醫療器材
2000,C300,206,-0.20467485426909177,-1.3519764666908405,0.17638284373484958,0,0,0,造紙,食品生技
2000,C400,206,-0.22420624709064826,-1.333273213772521,0.18244216066945063,0,0,0,造紙,再生醫療
2000,D000,206,-0.01908695508415019,-0.14193925677828728,0.8871279857920473,0,0,0,造紙,半導體
2000,F000,206,-0.09464424676797668,-0.8555198695558343,0.39226340933233195,0,0,1,造紙,電腦週邊
2000,G000,206,-0.08839217745872507,-0.7506366762167934,0.4528713422340196,0,0,0,造紙,平面顯示器
2000,H000,206,-0.12520508304080682,-0.9784798372207891,0.3278370587897236,0,0,0,造紙,觸控面板
2000,I000,206,-0.12915791959257494,-1.0473180984738995,0.2949528915509575,0,0,0,造紙,通信網路
2000,J000,206,-0.12827256736631357,-0.9580831448734196,0.3380208340176519,0,0,0,造紙,被動元件
2000,K000,206,-0.04074454206679716,-0.36580390742453045,0.7145114039697449,0,0,0,造紙,連接器
2000,L000,206,-0.09260067064874489,-0.7467168412357665,0.45523450169345525,0,1,1,造紙,印刷電路板
2000,M000,206,-0.07974478887905499,-0.7720456363700415,0.4400873986699183,0,0,0,造紙,食品
2000,N000,206,-0.13313957849909142,-1.15437467185903,0.24834659454097852,0,0,1,造紙,石化及塑橡膠
2000,O000,206,-0.06159335524949289,-0.6571714990976001,0.511070649340057,0,0,0,造紙,紡織
2000,P000,206,-0.13907177569588872,-1.374551341973401,0.16927058260524896,0,0,0,造紙,電機機械
2000,Q000,206,0.01167054537132646,0.09295860079738653,0.9259364505339942,0,0,0,造紙,鋼鐵
2000,R000,206,-0.09568223899833064,-0.9764884043058618,0.3288224914100283,0,0,1,造紙,軟體服務
2000,R300,206,-0.07208898069387519,-0.6597699113666523,0.5094014947814124,0,0,0,造紙,電子商務
2000,S000,206,-0.1374081860200229,-1.3183554865629477,0.187384674525651,0,0,0,造紙,建材營造
2000,T000,206,0.02956474262461799,0.2067094018102817,0.8362368144002431,0,0,0,造紙,交通運輸及航運
2000,U000,206,0.022732877446524115,0.22946322564305602,0.8185088998075473,0,0,0,造紙,金融
2000,V000,206,-0.10426609573758808,-0.9772740945359977,0.3284334745191524,0,0,0,造紙,貿易百貨
2000,W000,206,-0.01792443334452256,-0.3956439168402437,0.6923677341944479,0,0,0,造紙,油電燃氣
2000,X000,206,-0.11752456690027735,-1.1752277111129212,0.239903626516755,0,0,2,造紙,其他
2000,Y000,206,-0.15995829582574683,-1.4341998100548126,0.15151525126083515,0,0,0,造紙,文化創意
3000,1000,206,-0.027691032876793073,-0.14082609778198824,0.8880073254709553,0,0,0,汽車,水泥
3000,2000,206,0.28818086442000024,1.1605498796893439,0.24582499795723145,0,0,0,汽車,造紙
3000,4100,206,0.27446801154246314,1.002271362189532,0.31621254990037295,0,0,2,汽車,太空衛星科技
3000,5100,206,0.5687905906083406,1.9129519075995796,0.05575420948060729,0,0,0,汽車,區塊鏈
3000,5200,206,0.4718335204485842,1.246387384768412,0.21262221036850149,0,0,0,汽車,金融科技
3000,5300,206,0.26962988443045843,1.0096429699415719,0.3126663747684645,0,0,4,汽車,人工智慧
3000,5400,206,0.3957440815065711,1.5157935742780355,0.12957155737953074,1,1,4,汽車,雲端運算
3000,5500,206,0.267843574492862,0.9542077918852367,0.3399784712800553,0,0,0,汽車,資通訊安全
3000,5600,206,0.3014225862250777,1.130884843253091,0.258103563488578,0,0,1,汽車,大數據
3000,5700,206,0.24749238541592908,0.9312780790400148,0.3517097381897657,0,0,5,汽車,體驗科技
3000,5800,206,0.28463719173439855,1.2441297118326615,0.21345182743244828,0,0,4,汽車,運動科技
3000,6000,206,0.36681280333253485,1.0221440518389395,0.30671272620497025,0,0,0,汽車,自動化
3000,B000,206,0.2605618703332164,1.2694877246445924,0.20426716592808714,0,0,2,汽車,休閒娛樂
3000,C100,206,0.7072265425841769,2.601337432424842,0.009286106548254475,0,0,0,汽車,製藥
3000,C200,206,0.3274881348270016,1.3670968586797474,0.1715949477871076,0,1,7,汽車,醫療器材
3000,C300,206,0.6094286586503552,2.269172530088249,0.02325783606180076,0,0,0,汽車,食品生技
3000,C400,206,0.32799526601642565,0.9610967545301391,0.33650352138785644,0,0,0,汽車,再生醫療
3000,D000,206,0.22166080642025118,0.7107996562679118,0.47720839367611456,0,0,6,汽車,半導體
3000,F000,206,0.3296403637545566,1.192058107683156,0.23323846169414097,1,1,17,汽車,電腦週邊
3000,G000,206,0.25995667826498015,0.9372580393789185,0.3486258413952369,0,0,11,汽車,平面顯示器
3000,H000,206,0.1791471281577036,0.683439586679346,0.49432911267599544,0,0,3,汽車,觸控面板
3000,I000,206,0.33035583278447606,1.2470654498997589,0.21237350010330003,0,0,7,汽車,通信網路
3000,J000,206,0.2677546058289454,0.7215661786966844,0.4705612392721934,0,0,3,汽車,被動元件
3000,K000,206,0.22893613129569218,0.8444997921720481,0.3983901794458108,0,0,3,汽車,連接器
3000,L000,206,0.16911713110766424,0.5844726538761816,0.558902358281001,0,0,1,汽車,印刷電路板
3000,M000,206,0.2996349317225875,1.5625052829222321,0.11816900230215316,0,0,0,汽車,食品
3000,N000,206,0.17670433814348602,0.8687209763066609,0.38499976525413515,0,0,6,汽車,石化及塑橡膠
3000,O000,206,0.19185053490197873,1.0683739016557132,0.28535188469434236,0,0,0,汽車,紡織
3000,P000,206,0.27262982748083303,1.1065731462553163,0.2684785228854878,0,0,21,汽車,電機機械
3000,Q000,206,0.15715861576255294,0.6359965511581221,0.5247786699387695,0,0,0,汽車,鋼鐵
3000,R000,206,0.3332198834150252,1.1479047532014168,0.25100788577605004,0,0,1,汽車,軟體服務
3000,R300,206,0.08780218082329945,0.40737965511923313,0.6837291671596638,0,0,0,汽車,電子商務
3000,S000,206,0.11167039319104838,0.5446189129878621,0.5860156442392287,0,0,3,汽車,建材營造
3000,T000,206,-0.187329299651082,-0.5857058733835968,0.5580731864597804,0,0,0,汽車,交通運輸及航運
3000,U000,206,0.16271296755556053,0.7471459540741505,0.4549754635563319,0,0,0,汽車,金融
3000,V000,206,0.23835049109037165,1.2154499689021665,0.2241945196837557,0,0,1,汽車,貿易百貨
3000,W000,206,0.05710591218835161,0.5782855453091712,0.5630713517266532,0,0,0,汽車,油電燃氣
3000,X000,206,0.21975085823778343,0.9558403085049847,0.3391529201406829,0,0,12,汽車,其他
3000,Y000,206,0.20722977516681362,1.1059800388692067,0.26873515925367175,0,0,0,汽車,文化創意
4100,1000,206,0.00913586032116039,0.054810052790613205,0.9562897914745451,0,0,0,太空衛星科技,水泥
4100,2000,206,-0.1128849027888098,-0.5715175166419691,0.5676488899253305,0,0,0,太空衛星科技,造紙
4100,3000,206,-0.034163034410428374,-0.20711878586160937,0.835917091195655,0,0,2,太空衛星科技,汽車
4100,5100,206,-0.17668555546486547,-0.8139978169435006,0.4156462015823925,0,0,1,太空衛星科技,區塊鏈
4100,5200,206,-0.0033810573141046466,-0.015290986313683473,0.9878000335237438,0,0,1,太空衛星科技,金融科技
4100,5300,206,-0.08990542149024552,-0.47690721211128156,0.6334281961055084,0,0,5,太空衛星科技,人工智慧
4100,5400,206,-0.08194545190232728,-0.4599241690875756,0.6455706514064319,0,1,5,太空衛星科技,雲端運算
4100,5500,206,-0.07808472484356294,-0.42353543751685935,0.6719046489340187,0,0,2,太空衛星科技,資通訊安全
4100,5600,206,-0.06673708515664518,-0.3766401044361095,0.7064410798469847,0,0,3,太空衛星科技,大數據
4100,5700,206,-0.19739516953619132,-1.1359818210071055,0.2559641725869083,0,0,3,太空衛星科技,體驗科技
4100,5800,206,-0.09858566218229907,-0.5539446104128456,0.5796167535616223,0,0,2,太空衛星科技,運動科技
4100,6000,206,0.05570755314343866,0.2749777183434637,0.7833333568624016,0,0,0,太空衛星科技,自動化
4100,B000,206,-0.12597410047302615,-0.6705627213787154,0.5024991374200072,0,0,2,太空衛星科技,休閒娛樂
4100,C100,206,-0.0015743885562442663,-0.005812935158101505,0.995361974904395,0,0,0,太空衛星科技,製藥
4100,C200,206,0.02505399028818072,0.14107074959756274,0.887814050971643,0,0,3,太空衛星科技,醫療器材
4100,C300,206,-0.01830520133692759,-0.07569266466090703,0.9396636120049977,0,0,0,太空衛星科技,食品生技
4100,C400,206,0.053306012013353214,0.20618262516392113,0.8366482593763656,0,0,0,太空衛星科技,再生醫療
4100,D000,206,-0.2613895061168162,-1.4494354170447246,0.1472160239148916,0,0,6,太空衛星科技,半導體
4100,F000,206,-0.15914206084946783,-0.786243498179526,0.43172484707563374,0,0,4,太空衛星科技,電腦週邊
4100,G000,206,-0.17021313993806889,-0.8897144629404773,0.37361922605114084,0,0,2,太空衛星科技,平面顯示器
4100,H000,206,-0.07644499744862884,-0.40442903470342156,0.6858972529076319,0,0,2,太空衛星科技,觸控面板
4100,I000,206,-0.09112930837091149,-0.4385527481072209,0.660985641556303,0,0,10,太空衛星科技,通信網路
4100,J000,206,-0.17575947658549182,-0.843710255450704,0.39883133535080817,0,0,1,太空衛星科技,被動元件
4100,K000,206,-0.20089185801054585,-0.9784886350346857,0.32783270957103583,0,0,2,太空衛星科技,連接器
4100,L000,206,-0.1678391844061376,-0.8421494230969858,0.3997043198317909,0,0,2,太空衛星科技,印刷電路板
4100,M000,206,0.003223134854187373,0.020775420941027262,0.9834248047546389,0,0,0,太空衛星科技,食品
4100,N000,206,-0.07911789351530675,-0.49432604096345983,0.621075936979408,0,0,0,太空衛星科技,石化及塑橡膠
4100,O000,206,-0.16694042628518366,-1.0703097268601494,0.2844799175988273,0,0,0,太空衛星科技,紡織
4100,P000,206,-0.025182103508576817,-0.1643038966641661,0.8694919142886446,0,0,3,太空衛星科技,電機機械
4100,Q000,206,-0.13785609454052508,-0.8846621844617949,0.37633885698630853,0,0,0,太空衛星科技,鋼鐵
4100,R000,206,0.023876947017011135,0.14160661996322613,0.8873907376574175,0,0,3,太空衛星科技,軟體服務
4100,R300,206,-0.22623191946752436,-1.2258771423580026,0.22024491165743865,0,0,1,太空衛星科技,電子商務
4100,S000,206,-0.06460179283933935,-0.3853625012859949,0.6999688608979493,0,0,1,太空衛星科技,建材營造
4100,T000,206,-0.13231239411884108,-0.730294559941414,0.46521015277711586,0,0,0,太空衛星科技,交通運輸及航運
4100,U000,206,-0.10190383489246393,-0.6903006439865357,0.49000514298651376,0,0,0,太空衛星科技,金融
4100,V000,206,-0.07255547849306045,-0.4192101141018961,0.6750625810312092,0,0,0,太空衛星科技,貿易百貨
4100,W000,206,-0.056597077690532446,-0.7524758184571133,0.45176496659956666,0,0,0,太空衛星科技,油電燃氣
4100,X000,206,-0.03660653542669485,-0.2393467523569568,0.810836715548995,0,0,1,太空衛星科技,其他
4100,Y000,206,-0.17396589890214914,-0.8696875124313416,0.3844711983956778,0,0,0,太空衛星科技,文化創意
5100,1000,206,0.00034541206642062184,0.005006378094018891,0.9960055048994664,0,0,0,區塊鏈,水泥
5100,2000,206,0.0955739517756916,0.8513337461910161,0.3945839840664075,0,0,0,區塊鏈,造紙
5100,3000,206,-0.03142758988294442,-0.416787980265532,0.6768334949402337,0,0,0,區塊鏈,汽車
5100,4100,206,0.011478253938392587,0.09822148047338958,0.9217564259838797,0,0,1,區塊鏈,太空衛星科技
5100,5200,206,0.05976482147143217,0.5549765426977379,0.578910705239825,0,0,4,區塊鏈,金融科技
5100,5300,206,0.01226732368263288,0.1254856537506909,0.9001390819102553,0,0,6,區塊鏈,人工智慧
5100,5400,206,-0.04562652387734571,-0.5736781719728529,0.5661856019514799,0,0,5,區塊鏈,雲端運算
5100,5500,206,-0.023749004053547643,-0.28077494912718415,0.7788830187251854,0,0,4,區塊鏈,資通訊安全
5100,5600,206,-0.029198467690990743,-0.3539192821902361,0.7233993760252413,0,0,4,區塊鏈,大數據
5100,5700,206,0.0007489947779881381,0.0072878576483921525,0.9941851823746722,0,0,2,區塊鏈,體驗科技
5100,5800,206,-0.005159690276510823,-0.06360869625397614,0.9492818071580317,0,0,2,區塊鏈,運動科技
5100,6000,206,0.09980056648486972,0.9069968940786354,0.36440843969125924,0,0,0,區塊鏈,自動化
5100,B000,206,-0.02125917176098413,-0.2612473486460109,0.7939017665922488,0,0,0,區塊鏈,休閒娛樂
5100,C100,206,0.04325167192187353,0.3728959424709569,0.7092258920156586,0,0,0,區塊鏈,製藥
5100,C200,206,0.042828560702638026,0.5117327747868442,0.6088380447683437,0,0,0,區塊鏈,醫療器材
5100,C300,206,0.08515328183744884,0.9030954553660075,0.3664752357887152,0,0,0,區塊鏈,食品生技
5100,C400,206,0.06426732640120075,0.5723153494645837,0.5671083527002121,0,0,0,區塊鏈,再生醫療
5100,D000,206,0.023794072011798464,0.21212491968454425,0.8320095789640551,0,0,1,區塊鏈,半導體
5100,F000,206,0.0004636873407101853,0.004925780548486914,0.996069811643698,0,0,5,區塊鏈,電腦週邊
5100,G000,206,0.0028388044318637005,0.028288360109684326,0.9774321641730201,0,0,1,區塊鏈,平面顯示器
5100,H000,206,0.022412946272730952,0.23562612007751982,0.8137228031706647,0,0,0,區塊鏈,觸控面板
5100,I000,206,0.0035540816963446444,0.037624259026095605,0.9699872657071777,0,0,2,區塊鏈,通信網路
5100,J000,206,0.040604042414369435,0.3280864263034422,0.7428463167338843,0,0,0,區塊鏈,被動元件
5100,K000,206,-0.021869903884266566,-0.23369376361183794,0.8152227296318106,0,0,0,區塊鏈,連接器
5100,L000,206,0.024585334052758014,0.24533836867303263,0.8061944454478052,0,0,0,區塊鏈,印刷電路板
5100,M000,206,0.015381568215709025,0.22240229700416855,0.8240007238462302,0,0,0,區塊鏈,食品
5100,N000,206,0.013887592767509099,0.18793551779484807,0.8509271996162482,0,0,0,區塊鏈,石化及塑橡膠
5100,O000,206,-0.028159852853140994,-0.3855504084195821,0.6998296669628428,0,0,0,區塊鏈,紡織
5100,P000,206,-0.011856243777899022,-0.16502910714409508,0.8689210719668948,0,0,0,區塊鏈,電機機械
5100,Q000,206,0.13097486282312581,1.1559759459793513,0.24769099601242084,0,0,0,區塊鏈,鋼鐵
5100,R000,206,0.038597010253634816,0.4236437414441591,0.6718256498708872,0,0,5,區塊鏈,軟體服務
5100,R300,206,-0.04137478621940609,-0.5100579954659183,0.6100108317145241,0,0,3,區塊鏈,電子商務
5100,S000,206,-0.0030272945017558155,-0.04770186442759672,0.9619538481979205,0,0,0,區塊鏈,建材營造
5100,T000,206,0.1352224088270229,1.1335874310755532,0.25696764772614056,0,0,0,區塊鏈,交通運輸及航運
5100,U000,206,0.025857684053593483,0.3665148496036,0.7139809339798465,0,0,0,區塊鏈,金融
5100,V000,206,0.003975751663077891,0.059746066643291004,0.952357881366037,0,0,0,區塊鏈,貿易百貨
5100,W000,206,0.0021354059246392293,0.05251619914711693,0.9581173880925206,0,0,0,區塊鏈,油電燃氣
5100,X000,206,0.010354260736574717,0.14207328417736054,0.8870221202300688,0,0,1,區塊鏈,其他
5100,Y000,206,0.02938810438752585,0.3186276375549068,0.750008893213974,0,0,2,區塊鏈,文化創意
5200,1000,206,0.051341212345685124,0.6551010736369675,0.5124026808862824,0,0,0,金融科技,水泥
5200,2000,206,0.11044657073810862,0.859730448940445,0.38993764610644877,0,0,0,金融科技,造紙
5200,3000,206,0.011464334931432283,0.1403953513311007,0.8883476305776495,0,0,0,金融科技,汽車
5200,4100,206,0.08721830937830428,0.8173108408915758,0.41375081303835715,0,0,1,金融科技,太空衛星科技
5200,5100,206,0.0693491522997455,0.6493874686239411,0.5160879617706111,0,0,4,金融科技,區塊鏈
5200,5300,206,0.16198158561690323,1.5196885784891743,0.12858926350643693,0,0,15,金融科技,人工智慧
5200,5400,206,0.12951994851005547,1.6028908699155497,0.10895874976474962,0,0,15,金融科技,雲端運算
5200,5500,206,0.06932704937863174,0.7530582700234391,0.45141489924981715,0,0,11,金融科技,資通訊安全
5200,5600,206,0.1422292872800553,1.4492896440661585,0.1472567119164119,0,0,14,金融科技,大數據
5200,5700,206,0.06318533196593407,0.667271725947902,0.5045985831116311,0,0,1,金融科技,體驗科技
5200,5800,206,-0.024214537954934126,-0.29298719782623883,0.7695319371854275,0,0,1,金融科技,運動科技
5200,6000,206,0.13484876713769742,1.0213483303971194,0.30708943602620264,0,0,0,金融科技,自動化
5200,B000,206,0.1472851288844222,1.689674911158055,0.09109016564398349,0,0,2,金融科技,休閒娛樂
5200,C100,206,0.16607006740070657,0.9303850098031589,0.35217177708280956,0,0,0,金融科技,製藥
5200,C200,206,0.039051675541491165,0.43268178313148803,0.6652459658986496,0,0,1,金融科技,醫療器材
5200,C300,206,0.17670336182797344,1.0932631288870946,0.27427828660510944,0,0,0,金融科技,食品生技
5200,C400,206,0.1356852303335735,1.1672966310015418,0.24309059873239847,0,0,0,金融科技,再生醫療
5200,D000,206,0.10202502229654406,0.9013874620657676,0.3673823453622831,0,0,0,金融科技,半導體
5200,F000,206,0.11141906220825971,1.0952910832475036,0.27338913269435594,0,0,3,金融科技,電腦週邊
5200,G000,206,0.06960810064881036,0.6226628725604648,0.5335060855467808,0,0,0,金融科技,平面顯示器
5200,H000,206,0.059978867557693286,0.5057708366961491,0.613017533645866,0,0,0,金融科技,觸控面板
5200,I000,206,0.09157467154984071,0.9629332257780315,0.3355810342570674,0,0,2,金融科技,通信網路
5200,J000,206,0.1350136388637661,1.0353923871664956,0.30048569953831616,0,0,0,金融科技,被動元件
5200,K000,206,0.03323051416121167,0.3272761556023535,0.7434590253605737,0,0,0,金融科技,連接器
5200,L000,206,0.09681457944758824,0.8387043960081368,0.4016352108708545,0,0,0,金融科技,印刷電路板
5200,M000,206,0.14069022328094863,1.7169107027807433,0.08599548904860038,0,0,0,金融科技,食品
5200,N000,206,0.06662751072502507,0.7676731062618566,0.4426814176707087,0,0,0,金融科技,石化及塑橡膠
5200,O000,206,0.09650991372755402,1.1093918772191533,0.2672611649662421,0,0,0,金融科技,紡織
5200,P000,206,0.0584011470325024,0.7422925588883597,0.45791009925677395,0,0,0,金融科技,電機機械
5200,Q000,206,0.142673518136721,1.3308580930211664,0.18323570860505245,0,0,0,金融科技,鋼鐵
5200,R000,206,0.2414355262253481,1.9309810287864655,0.05348539855159046,0,0,18,金融科技,軟體服務
5200,R300,206,0.0522999949364026,0.5478215771302176,0.5838144213220905,0,0,15,金融科技,電子商務
5200,S000,206,0.12873710782788067,1.5095715702506187,0.13115278020654095,0,0,0,金融科技,建材營造
5200,T000,206,0.16044009995525232,1.577740819200292,0.11462516461119875,0,0,0,金融科技,交通運輸及航運
5200,U000,206,0.09963921052054331,1.0781627200613702,0.28096114558245544,0,0,2,金融科技,金融
5200,V000,206,0.13041390969166003,1.6427148556013391,0.1004419436845803,0,0,0,金融科技,貿易百貨
5200,W000,206,0.055318389735140146,1.189360573686558,0.234297808426702,0,0,0,金融科技,油電燃氣
5200,X000,206,0.08288669007009415,1.0677948098727634,0.28561307976846795,0,0,2,金融科技,其他
5200,Y000,206,0.13511984271334612,1.3160906816726252,0.18814360818698972,0,0,1,金融科技,文化創意
5300,1000,206,-0.07804196677246356,-0.4623885048510921,0.6438027412107752,0,0,0,人工智慧,水泥
5300,2000,206,-0.19392271511827772,-0.7565552192999154,0.449316378334917,0,0,0,人工智慧,造紙
5300,3000,206,-0.09516642731557531,-0.5280745321662921,0.5974476064687084,0,0,4,人工智慧,汽車
5300,4100,206,-0.1192957356361736,-0.4997242331682267,0.6172692667164226,0,0,5,人工智慧,太空衛星科技
5300,5100,206,-0.15102813112110697,-0.6057443867727549,0.5446845043678896,0,0,6,人工智慧,區塊鏈
5300,5200,206,-0.07833564746952425,-0.26080559237543405,0.7942424315741465,0,0,15,人工智慧,金融科技
5300,5400,206,-0.15453771617769269,-0.5360660972426942,0.591912870019266,0,0,49,人工智慧,雲端運算
5300,5500,206,-0.2686708802535175,-1.1338945765780017,0.25683877234481,0,0,26,人工智慧,資通訊安全
5300,5600,206,-0.08545119324800282,-0.36269485541079766,0.7168328432043802,0,0,46,人工智慧,大數據
5300,5700,206,-0.11489893540051795,-0.5536924837208524,0.5797893200947091,0,0,12,人工智慧,體驗科技
5300,5800,206,-0.16693216469028596,-1.049343494410354,0.29402005460770875,0,0,5,人工智慧,運動科技
5300,6000,206,0.18544000933117022,0.8377369866090211,0.4021784357891178,0,0,5,人工智慧,自動化
5300,B000,206,-0.051713120628655546,-0.22908464349972474,0.8188031288281771,0,0,1,人工智慧,休閒娛樂
5300,C100,206,0.07475201750502902,0.18100626408892181,0.8563626592003348,0,0,0,人工智慧,製藥
5300,C200,206,0.051197440273262784,0.2282941784515766,0.8194175499997263,0,0,7,人工智慧,醫療器材
5300,C300,206,0.1187970936079348,0.3690551508072126,0.7120866173239427,0,0,0,人工智慧,食品生技
5300,C400,206,0.15411180658096488,0.5075706238209632,0.61175449640812,0,0,0,人工智慧,再生醫療
5300,D000,206,-0.12426398323115762,-0.522280970741716,0.6014747164841534,0,0,16,人工智慧,半導體
5300,F000,206,-0.07648580207721103,-0.3309662203898603,0.7406700011795505,0,0,27,人工智慧,電腦週邊
5300,G000,206,-0.09815740644215087,-0.45387528793725557,0.6499185910216849,0,0,9,人工智慧,平面顯示器
5300,H000,206,-0.08545741999897932,-0.35480972214443257,0.7227321444403352,0,0,3,人工智慧,觸控面板
5300,I000,206,-0.05058151939041457,-0.25593573672845815,0.7980004594563906,0,0,16,人工智慧,通信網路
5300,J000,206,-0.12263727405318492,-0.5262594828234698,0.5987079302721614,0,0,1,人工智慧,被動元件
5300,K000,206,-0.17417836023776928,-0.8470190724095346,0.39698449082527143,0,0,1,人工智慧,連接器
5300,L000,206,-0.08753617632995284,-0.42946164576384516,0.6675873000182708,0,0,5,人工智慧,印刷電路板
5300,M000,206,-0.0262895893213925,-0.12579770892131056,0.8998920553830623,0,0,0,人工智慧,食品
5300,N000,206,-0.08552985626484645,-0.4429347733267002,0.6578129145647659,0,0,0,人工智慧,石化及塑橡膠
5300,O000,206,-0.14696753054728537,-0.8201958049840906,0.4121044930536871,0,0,0,人工智慧,紡織
5300,P000,206,0.009034190810220864,0.05234718025896503,0.9582520604137873,0,0,6,人工智慧,電機機械
5300,Q000,206,-0.027069442610394533,-0.14270659286120305,0.8865219096653713,0,0,0,人工智慧,鋼鐵
