date,n,long,short,long_ret,short_ret,ls
2010-04-30,22,"3000,5800,C100,C200,H000,I000,V000","1000,2000,C300,C400,M000,N000,O000",0.04026020743397065,0.025602188617004744,0.014658018816965906
2010-05-31,22,"3000,C100,C200,C300,I000,O000,P000","1000,2000,4100,6000,D000,H000,V000",-0.06790881473476552,-0.09456991549883384,0.026661100764068316
2010-06-30,22,"1000,4100,5800,C100,C300,S000,V000","2000,6000,C200,C400,G000,H000,O000",0.02773717037234197,0.004289119203183035,0.023448051169158938
2010-07-31,22,"1000,3000,5800,C200,H000,M000,O000","4100,6000,C300,C400,F000,G000,N000",0.10097070384645312,0.06599901876483064,0.03497168508162249
2010-08-31,22,"1000,4100,6000,C200,C400,M000,P000","3000,5800,C100,C300,D000,H000,O000",-0.02385213718820983,-0.012807407082190667,-0.011044730106019161
2010-09-30,22,"2000,5800,C100,C300,H000,N000,O000","4100,5400,6000,C400,D000,F000,I000",0.07812644961695672,0.09760682154373698,-0.01948037192678026
2010-10-31,22,"4100,5400,C100,C400,D000,I000,O000","1000,2000,3000,6000,C200,C300,P000",-0.024285068431175207,0.020053482476216737,-0.044338550907391944
2010-11-30,22,"2000,C300,N000,O000,P000,S000,V000","4100,C100,C400,D000,F000,H000,I000",-0.019769319003277004,-0.021419079583577815,0.001649760580300811
2010-12-31,22,"1000,C100,C400,M000,N000,O000,P000","2000,5800,6000,C200,F000,G000,I000",0.020377807908345934,0.029923563495443766,-0.009545755587097832
2011-01-31,22,"2000,5400,C200,F000,N000,O000,P000","4100,6000,C100,C300,C400,D000,M000",-0.005934780376059996,-0.003946509391424842,-0.001988270984635154
2011-02-28,22,"C100,D000,G000,H000,I000,N000,O000","1000,3000,C200,C300,C400,M000,V000",-0.03151168376711598,-0.03816668549178585,0.0066550017246698664
2011-03-31,22,"6000,C200,C300,H000,N000,O000,P000","1000,4100,5400,5800,D000,S000,V000",0.019050782372745798,-0.010539550275330878,0.029590332648076676
2011-04-30,22,"1000,2000,5800,C300,H000,N000,O000","5400,6000,C100,C200,C400,D000,V000",0.03942135492791634,0.048952569479040434,-0.009531214551124094
2011-05-31,22,"1000,C100,C400,M000,N000,P000,S000","4100,6000,C300,D000,F000,G000,H000",-0.014751486992222406,-0.0019688567223785244,-0.012782630269843881
2011-06-30,22,"1000,3000,4100,5400,6000,D000,P000","2000,C100,C300,C400,M000,N000,O000",0.046717880624169435,-0.029229986076040135,0.07594786670020957
2011-07-31,22,"1000,2000,5400,5800,6000,M000,N000","C100,C200,C400,D000,G000,H000,P000",0.03935509955854607,-0.004772815076672728,0.0441279146352188
2011-08-31,22,"1000,C100,C300,N000,O000,P000,V000","4100,5400,C200,D000,F000,G000,I000",-0.09961565714058437,-0.09847788064993701,-0.001137776490647363
2011-09-30,22,"1000,5400,5800,C300,D000,M000,O000","4100,6000,C400,F000,I000,N000,P000",-0.06939318405091813,-0.08934581091126506,0.019952626860346934
2011-10-31,22,"2000,4100,5800,D000,F000,I000,N000","1000,6000,C100,C400,M000,O000,P000",0.026383198131307,0.05307192963780251,-0.02668873150649551
2011-11-30,22,"1000,C100,C300,C400,M000,N000,O000","2000,4100,C200,D000,H000,I000,V000",-0.11733359835571068,-0.13116079130085875,0.013827192945148073
2011-12-31,22,"1000,2000,3000,5400,5800,C400,G000","6000,C100,C300,D000,H000,I000,V000",0.009688235706292356,0.0397265405562928,-0.030038304850000447
2012-01-31,22,"4100,C100,C300,C400,D000,O000,V000","2000,5800,G000,H000,M000,P000,S000",0.06420374645023895,0.0690213645807184,-0.004817618130479456
2012-02-29,22,"4100,C100,C400,D000,G000,H000,P000","1000,2000,C200,C300,M000,N000,V000",0.12669031076792445,0.10534939671317453,0.021340914054749915
2012-03-31,22,"4100,6000,C100,D000,F000,G000,I000","1000,C300,C400,M000,N000,O000,S000",-0.044801119627045534,-0.04308220924084309,-0.0017189103862024421
2012-04-30,22,"5800,C200,F000,G000,H000,P000,S000","2000,6000,C300,C400,M000,O000,V000",-0.07566862209427892,-0.058939900947155,-0.016728721147123926
2012-05-31,22,"1000,3000,5400,C300,M000,N000,O000","6000,D000,F000,G000,H000,I000,V000",-0.004073278118423167,-0.023062296502536734,0.018989018384113567
2012-06-30,22,"5400,6000,C100,C300,C400,F000,H000","2000,3000,C200,N000,O000,S000,V000",0.026122442471462358,0.004842350170189919,0.021280092301272438
2012-07-31,22,"3000,C200,C400,H000,O000,S000,V000","2000,4100,5400,6000,C100,G000,P000",-0.008067474914440344,-0.009919009976151433,0.001851535061711089
2012-08-31,22,"1000,4100,5800,M000,N000,O000,S000","6000,C300,C400,D000,F000,G000,V000",0.026313921008508732,0.03727522721415028,-0.01096130620564155
2012-09-30,22,"6000,C100,C200,C300,F000,H000,I000","1000,5400,M000,N000,O000,P000,V000",0.05486199651015946,0.059008085102390244,-0.004146088592230784
2012-10-31,22,"1000,4100,C100,C300,G000,H000,S000","5800,6000,C400,D000,F000,I000,V000",-0.09569766015437255,-0.14563898646835746,0.049941326313984916
2012-11-30,22,"1000,2000,C200,C300,M000,N000,V000","4100,5400,5800,6000,C400,D000,F000",0.03848008377470202,0.02295869697844566,0.015521386796256365
2012-12-31,22,"2000,4100,C100,F000,G000,H000,I000","1000,3000,C300,C400,M000,N000,V000",0.06355126282780667,0.062273833013463856,0.001277429814342812
2013-01-31,22,"4100,5400,6000,C100,C400,I000,S000","1000,2000,C200,C300,M000,N000,V000",0.02389783185835493,0.00010811234958396315,0.023789719508770967
2013-02-28,22,"3000,5400,D000,I000,N000,P000,S000","1000,2000,6000,C300,C400,G000,M000",0.020753509209551203,0.050237922230387276,-0.029484413020836073
2013-03-31,22,"3000,6000,C100,C200,C400,D000,P000","1000,C300,I000,N000,O000,S000,V000",0.013111130495301401,0.019664472555181316,-0.0065533420598799155
2013-04-30,22,"3000,6000,D000,F000,G000,I000,M000","1000,4100,C100,C300,C400,N000,O000",0.02278663938925543,-0.015883634193206115,0.03867027358246154
2013-05-31,22,"5400,6000,D000,I000,M000,N000,O000","5800,C100,C300,C400,G000,H000,V000",0.04243944768495729,0.06742030336073108,-0.024980855675773794
2013-06-30,22,"2000,6000,C100,C300,D000,F000,P000","1000,5400,5800,C400,M000,N000,O000",-0.02626516873301173,0.01320423601726287,-0.0394694047502746
2013-07-31,22,"4100,5400,5800,C200,C400,N000,O000","6000,C100,C300,D000,G000,H000,V000",0.053547300219834844,0.0375776614101092,0.015969638809725642
2013-08-31,22,"2000,3000,6000,C200,N000,P000,V000","C300,C400,D000,F000,G000,H000,I000",0.006121404509977568,0.012267920258112242,-0.006146515748134673
2013-09-30,22,"1000,4100,5400,C100,C300,I000,P000","2000,C200,D000,M000,N000,O000,V000",0.04158762027541385,0.04233069573923131,-0.0007430754638174594
2013-10-31,22,"3000,C100,C300,C400,D000,I000,P000","2000,4100,5800,6000,G000,H000,S000",0.030580689203278704,0.03945207697688678,-0.008871387773608078
2013-11-30,22,"2000,5400,6000,C100,M000,O000,S000","3000,C300,C400,D000,G000,H000,I000",-0.013991742939272913,-0.010201269374296674,-0.0037904735649762385
2013-12-31,22,"1000,2000,6000,C200,C300,P000,V000","4100,5400,C100,F000,H000,I000,S000",0.03712952108139238,0.06302874847346698,-0.025899227392074606
2014-01-31,22,"4100,5400,6000,D000,F000,I000,P000","1000,C100,C300,C400,M000,N000,O000",0.009852970487249504,-0.0259694744591123,0.0358224449463618
2014-02-28,22,"4100,5400,C300,D000,F000,G000,I000","1000,6000,C400,N000,O000,S000,V000",0.0894363649933957,0.08517241000775037,0.00426395498564533
2014-03-31,22,"6000,C100,C200,C300,C400,D000,P000","2000,5400,H000,M000,N000,O000,S000",0.006215608199767723,0.018710251879011215,-0.012494643679243491
2014-04-30,22,"5800,6000,C400,D000,M000,S000,V000","2000,3000,4100,F000,I000,N000,O000",-0.03878892519472054,-0.07322520677437774,0.0344362815796572
2014-05-31,22,"1000,3000,5400,C100,D000,N000,O000","2000,6000,C200,C300,C400,H000,S000",0.028152189531114067,0.0550878316230903,-0.02693564209197623
2014-06-30,22,"4100,6000,C100,D000,F000,I000,P000","1000,C300,H000,M000,N000,O000,S000",0.04082134772078342,0.04775873782947696,-0.006937390108693542
2014-07-31,22,"5800,6000,C300,C400,D000,M000,N000","2000,3000,F000,G000,H000,I000,V000",0.0524559108574603,0.011841113281554723,0.040614797575905574
2014-08-31,22,"2000,4100,5800,C300,H000,M000,V000","3000,6000,C100,C200,D000,I000,P000",-0.051208517992574885,-0.01949598301590059,-0.0317125349766743
2014-09-30,22,"1000,2000,C200,F000,N000,P000,S000","3000,5800,C100,C400,H000,M000,O000",-0.025970705671926768,-0.02304451264773064,-0.0029261930241961283
2014-10-31,22,"1000,2000,5800,C100,H000,M000,V000","4100,5400,6000,C400,I000,O000,P000",-0.051481853279540316,-0.05377500529221562,0.002293152012675305
2014-11-30,22,"1000,2000,6000,C200,C400,O000,V000","3000,4100,C100,D000,G000,H000,P000",-0.006775534501650394,-0.005799162350771345,-0.0009763721508790485
2014-12-31,22,"D000,F000,G000,M000,P000,S000,V000","2000,6000,C100,C300,C400,H000,N000",0.06939740840833697,0.06296222202291961,0.00643518638541736
2015-01-31,22,"4100,5400,6000,C100,D000,F000,I000","1000,2000,C300,C400,M000,N000,V000",0.025196149061247487,-0.003979145505574118,0.029175294566821604
2015-02-28,22,"3000,4100,5800,C300,G000,H000,I000","2000,C100,C400,D000,N000,S000,V000",-0.0020311507524694706,0.00039332320761017233,-0.002424473960079643
2015-03-31,22,"4100,C200,D000,F000,N000,O000,P000","2000,3000,5400,6000,C100,C300,H000",0.0047981835844887735,-0.007022775231635315,0.011820958816124088
2015-04-30,22,"1000,2000,4100,C400,I000,M000,V000","C100,C300,G000,H000,N000,O000,S000",0.0017121965493745578,0.027716898452012893,-0.026004701902638334
2015-05-31,22,"2000,3000,5800,N000,O000,P000,V000","4100,6000,C300,C400,D000,F000,I000",-0.05412967586947231,-0.030435638817426496,-0.023694037052045813
2015-06-30,22,"1000,4100,6000,D000,I000,N000,V000","2000,5800,C300,C400,G000,P000,S000",-0.023792944932262694,-0.04148436007864923,0.017691415146386537
2015-07-31,22,"2000,3000,5800,6000,C200,N000,S000","1000,C100,C300,C400,F000,G000,H000",-0.07223822124806072,-0.07454588059840742,0.0023076593503466997
2015-08-31,22,"1000,2000,5800,C100,C300,M000,O000","4100,C400,D000,F000,G000,H000,I000",-0.051647610443386394,-0.08648764203594499,0.03484003159255859
2015-09-30,22,"1000,2000,C200,G000,O000,P000,V000","4100,5400,C100,C400,D000,H000,N000",0.06293181849579339,0.1070883378606339,-0.04415651936484051
2015-10-31,22,"4100,C100,C300,C400,F000,I000,V000","1000,5800,6000,H000,N000,O000,P000",0.10540535227221326,0.06389619540194451,0.04150915687026875
2015-11-30,22,"4100,5400,6000,C400,D000,H000,N000","1000,2000,5800,C100,C300,M000,V000",-0.029007351469856946,-0.0005638978078144331,-0.02844345366204251
2015-12-31,22,"3000,4100,6000,C100,C300,C400,V000","1000,5400,G000,H000,N000,O000,S000",-0.0058618606787182405,0.0035088411348092657,-0.009370701813527506
2016-01-31,22,"3000,5400,6000,D000,H000,M000,O000","1000,2000,C200,C300,C400,P000,V000",-0.03128244960767841,-0.05186931816380474,0.020586868556126327
2016-02-29,22,"3000,5400,5800,D000,I000,N000,P000","2000,6000,C100,C400,H000,O000,V000",0.03075126755914265,0.046662439088485726,-0.015911171529343075
2016-03-31,22,"3000,6000,G000,H000,N000,P000,S000","4100,5400,5800,C100,C300,C400,V000",0.02680394021455051,0.014216861469214996,0.012587078745335515
2016-04-30,22,"2000,3000,4100,C100,C300,F000,N000","6000,C400,G000,H000,M000,S000,V000",-0.03275426754740475,-0.04037122702281744,0.007616959475412688
2016-05-31,22,"1000,2000,3000,C200,M000,O000,P000","6000,C100,C300,C400,D000,G000,I000",0.0030055296674123028,0.002403447669960377,0.0006020819974519257
2016-06-30,22,"4100,5400,5800,C100,C300,M000,V000","1000,2000,3000,6000,H000,O000,S000",-0.0007164378790816326,0.010473963452618659,-0.011190401331700291
2016-07-31,22,"2000,4100,5400,F000,G000,H000,M000","5800,6000,C100,C300,C400,N000,O000",0.060448467379960326,0.02702839309816681,0.03342007428179351
2016-08-31,22,"5400,6000,C400,D000,F000,G000,H000","2000,5800,C100,C200,C300,M000,V000",0.02709039478190137,0.007238879807489747,0.01985151497441162
2016-09-30,22,"1000,3000,4100,5800,F000,G000,P000","2000,6000,C100,C300,C400,N000,O000",-0.006733153836950869,0.012425333970892068,-0.019158487807842937
2016-10-31,22,"C100,C300,C400,F000,M000,N000,V000","1000,2000,4100,5400,5800,6000,P000",-0.02826033770463612,-0.0060550637881805315,-0.02220527391645559
2016-11-30,22,"1000,2000,5800,F000,N000,O000,S000","4100,5400,6000,C100,C400,I000,P000",-0.003687705067747771,-0.012760141132705608,0.009072436064957837
2016-12-31,22,"2000,4100,5400,M000,N000,O000,S000","3000,6000,C100,C200,D000,G000,P000",0.0186623572756701,0.01176404401413587,0.006898313261534228
2017-01-31,22,"2000,6000,F000,G000,I000,N000,P000","1000,C100,C300,C400,M000,S000,V000",0.06025449526372528,0.02393094148970214,0.036323553774023146
2017-02-28,22,"2000,3000,4100,F000,H000,O000,V000","1000,5800,6000,C100,C300,C400,N000",0.03458316483281275,0.07880702504053008,-0.04422386020771733
2017-03-31,22,"2000,4100,5800,C100,H000,I000,S000","3000,6000,C300,M000,N000,O000,V000",-0.0021820838979432354,0.0058610830710827035,-0.008043166969025939
2017-04-30,22,"5400,6000,D000,F000,G000,I000,M000","2000,C100,C300,C400,N000,O000,V000",-0.006604448192179103,-0.017580349664818008,0.010975901472638905
2017-05-31,22,"4100,5800,C200,D000,F000,M000,N000","1000,2000,6000,C100,C300,C400,O000",0.013459032370621985,-0.010676305405461804,0.024135337776083787
2017-06-30,22,"3000,4100,5400,C200,C300,M000,N000","1000,2000,6000,C100,C400,O000,V000",0.023697092902045327,0.023046379992546023,0.0006507129094993035
2017-07-31,22,"2000,4100,C300,C400,O000,P000,V000","3000,5800,6000,C200,G000,H000,I000",0.02030985221573271,-0.005507182821166273,0.025817035036898982
2017-08-31,22,"2000,4100,C400,D000,I000,O000,P000","5400,6000,C100,C200,G000,M000,V000",0.03310464061054295,0.01618400178527224,0.016920638825270708
2017-09-30,22,"2000,5800,C200,F000,G000,H000,P000","5400,6000,C100,C400,N000,O000,V000",-0.005915699340591684,-0.006850146385734142,0.0009344470451424581
2017-10-31,22,"3000,4100,5800,D000,G000,I000,P000","5400,C100,C300,C400,H000,O000,V000",0.00044480241811563446,0.0018237517834565713,-0.0013789493653409367
2017-11-30,22,"5400,D000,F000,H000,P000,S000,V000","2000,3000,5800,6000,C100,C400,I000",0.01075700929289719,0.03429133946319224,-0.023534330170295048
2017-12-31,22,"4100,5800,C300,G000,H000,I000,O000","1000,2000,3000,5400,6000,C100,C400",0.011610477432132536,0.03175412373023258,-0.020143646298100042
2018-01-31,22,"1000,2000,I000,N000,O000,P000,S000","4100,5800,C100,C300,C400,D000,F000",0.006000899435781864,0.012007488375975884,-0.00600658894019402
2018-02-28,22,"1000,6000,C100,D000,F000,N000,P000","2000,3000,4100,5800,I000,M000,S000",-0.012812422565578475,-0.021961073817024935,0.00914865125144646
2018-03-31,22,"1000,2000,5800,F000,N000,P000,S000","4100,5400,6000,C300,C400,D000,I000",0.002708657589305751,0.05392039865640499,-0.051211741067099234
2018-04-30,22,"C100,C200,C300,C400,D000,S000,V000","1000,2000,6000,G000,M000,O000,P000",2.496040589572052e-05,-0.02359028172483022,0.023615242130725942
2018-05-31,22,"1000,2000,C300,C400,M000,N000,O000","4100,5400,C200,D000,F000,G000,H000",-0.010975704621611486,0.006221631870956658,-0.017197336492568143
2018-06-30,22,"1000,4100,D000,F000,G000,H000,V000","2000,6000,C100,C200,C300,C400,P000",-0.0002967588826980968,-0.012944990194492844,0.012648231311794747
2018-07-31,22,"1000,5800,D000,F000,I000,O000,V000","2000,3000,6000,C100,C300,C400,H000",0.010745198647739993,0.01070035494060273,4.484370713726295e-05
2018-08-31,22,"1000,2000,5400,6000,N000,O000,V000","4100,5800,C100,C300,C400,D000,I000",0.01957575837775572,-0.03040341112819651,0.04997916950595223
2018-09-30,22,"1000,2000,5400,6000,H000,N000,O000","3000,C100,C300,C400,D000,S000,V000",-0.01908534925032373,-0.005184122387872741,-0.013901226862450988
2018-10-31,22,"2000,C100,C400,M000,N000,O000,S000","6000,C300,D000,F000,G000,H000,I000",-0.12797540695638096,-0.12986892985178558,0.0018935228954046202
2018-11-30,22,"5400,C200,I000,M000,P000,S000,V000","2000,5800,6000,C300,C400,D000,G000",0.05673763450545164,0.06602723967454409,-0.009289605169092448
2018-12-31,22,"4100,6000,C300,C400,D000,G000,I000","C100,C200,M000,N000,O000,S000,V000",-0.010520164373461755,-0.018099111462012298,0.007578947088550543
2019-01-31,22,"4100,5400,C100,C200,I000,N000,S000","2000,6000,C300,C400,G000,P000,V000",0.05119726818285279,0.04198795479073482,0.009209313392117974
2019-02-28,22,"4100,6000,C100,C300,C400,D000,P000","3000,5800,C200,N000,O000,S000,V000",0.058983527892581135,0.030860536570249418,0.028122991322331717
2019-03-31,22,"2000,6000,C300,C400,F000,H000,I000","1000,3000,4100,M000,N000,O000,V000",0.017460595635165607,0.01553766358087237,0.001922932054293237
2019-04-30,22,"4100,5400,5800,6000,C200,F000,G000","2000,C100,C400,D000,N000,P000,V000",0.005318328486020215,-0.007097888172199335,0.012416216658219549
2019-05-31,22,"1000,4100,5800,6000,D000,O000,P000","3000,5400,C100,C200,C300,C400,N000",-0.015580445204362348,-0.013542817201541138,-0.00203762800282121
2019-06-30,22,"1000,3000,5800,M000,N000,O000,S000","2000,4100,6000,C400,G000,I000,P000",0.021917741700861037,0.019355746038857834,0.002561995662003203
2019-07-31,22,"1000,4100,5400,6000,C100,C300,C400","3000,5800,C200,H000,N000,P000,V000",0.03862174008873694,0.01808014040269666,0.020541599686040284
2019-08-31,22,"4100,C200,C400,D000,G000,H000,I000","1000,C100,C300,M000,N000,O000,S000",-0.008255237237075757,-0.022650917329921964,0.014395680092846207
2019-09-30,22,"4100,5400,5800,D000,F000,H000,I000","2000,6000,C100,C300,C400,N000,O000",0.016735952811759578,0.005332283620231261,0.011403669191528317
2019-10-31,22,"1000,4100,5400,C400,D000,F000,S000","2000,6000,C200,G000,M000,P000,V000",0.034910434775522574,0.013557068504131468,0.021353366271391106
2019-11-30,22,"1000,3000,5400,5800,C400,G000,S000","2000,6000,C100,C200,C300,M000,P000",-0.0025078533508199226,0.0063507605035439145,-0.008858613854363838
2019-12-31,22,"C100,C200,D000,F000,G000,H000,I000","3000,6000,C300,C400,M000,N000,O000",0.017664310362139023,0.02014819861801764,-0.002483888255878617
2020-01-31,22,"1000,2000,4100,5800,6000,D000,G000","C100,C300,C400,N000,O000,S000,V000",-0.03728111743626694,-0.015155755425791317,-0.022125362010475623
