date,rank,stock_id,beta
2008-05-30,top5,3483,0.5347063617725358
2008-05-30,top5,3005,0.5310649240181001
2008-05-30,top5,6197,0.523053688533173
2008-05-30,top5,1785,0.5223636321608492
2008-05-30,top5,6170,0.5218641721313707
2008-05-30,bottom5,2395,-0.0823923079102985
2008-05-30,bottom5,2357,-0.1127025081158511
2008-05-30,bottom5,3162,-0.12799329925130795
2008-05-30,bottom5,1303,-0.13365157294749336
2008-05-30,bottom5,2409,-0.17961935296268705
2011-05-31,top5,3078,0.7218578927980922
2011-05-31,top5,6150,0.6549404225319773
2011-05-31,top5,1617,0.6519919821074438
2011-05-31,top5,6209,0.6214598204559653
2011-05-31,top5,3206,0.5970745335636366
2011-05-31,bottom5,6246,-0.0625061404406172
2011-05-31,bottom5,3325,-0.08182774548534777
2011-05-31,bottom5,5388,-0.08570466988844708
2011-05-31,bottom5,3310,-0.16995005164998978
2011-05-31,bottom5,2365,-0.17737104226104083
2014-05-30,top5,3498,0.684824391664376
2014-05-30,top5,6283,0.5465182199420592
2014-05-30,top5,3455,0.49081343931779786
2014-05-30,top5,3630,0.48596811078686286
2014-05-30,top5,8105,0.4319838568222227
2014-05-30,bottom5,4924,-0.2578358769937792
2014-05-30,bottom5,3593,-0.2708920255941612
2014-05-30,bottom5,3512,-0.2944463023194295
2014-05-30,bottom5,8121,-0.3529226288967718
2014-05-30,bottom5,3230,-0.363959725597921
2017-05-31,top5,3276,0.41764123520521773
2017-05-31,top5,8374,0.38327490712430795
2017-05-31,top5,5474,0.3766434952856405
2017-05-31,top5,6160,0.33240250558466106
2017-05-31,top5,3666,0.3323899822168595
2017-05-31,bottom5,3362,-0.3512090936424976
2017-05-31,bottom5,4912,-0.35491342716826024
2017-05-31,bottom5,5309,-0.40070859160446887
2017-05-31,bottom5,8069,-0.5135934650630005
2017-05-31,bottom5,3152,-0.5523866444424813
2020-05-29,top5,5340,0.5365137296576901
2020-05-29,top5,6283,0.5197354167484686
2020-05-29,top5,3645,0.48910874097018464
2020-05-29,top5,3272,0.4493405382674701
2020-05-29,top5,4739,0.42672586597780704
2020-05-29,bottom5,8210,-0.22023963554756087
2020-05-29,bottom5,3217,-0.22589608822430543
2020-05-29,bottom5,6416,-0.23234462987961652
2020-05-29,bottom5,8034,-0.2356966341181496
2020-05-29,bottom5,3515,-0.2785271623337254
2023-05-31,top5,3710,0.2922011236391979
2023-05-31,top5,5475,0.27937358659690575
2023-05-31,top5,6143,0.2727030542992233
2023-05-31,top5,3322,0.2715343024997692
2023-05-31,top5,2364,0.2673665798679027
2023-05-31,bottom5,2413,-0.15158291472308963
2023-05-31,bottom5,4904,-0.15597293297280473
2023-05-31,bottom5,1711,-0.17928650311535207
2023-05-31,bottom5,3207,-0.21390274028105255
2023-05-31,bottom5,3494,-0.24673104522767983
