variant,mc_filter,N,timed,n,ann_ret,ann_vol,sharpe,max_dd,ann_alpha,t_alpha,beta,ann_turn
Full_EW,—,all,False,3423,0.21395152150629737,0.1792634631343006,1.193503225729881,-0.3720041940799188,0.0495104941152773,2.1142714543705474,1.1382911581175077,2.1988250716115254
Full_EW,—,all,True,3423,0.16689936708928715,0.1030992177871883,1.6188228259286277,-0.12941684210281668,0.11809975138807896,3.839730163216524,0.33779995146911257,29.955144334930406
ratio,no_filter,10,False,3423,0.19360964410628662,0.18517326595558026,1.045559374390092,-0.38042505908661794,0.05292326373530181,1.7702979910530867,0.973857104790831,2.307573812580231
ratio,no_filter,10,True,3423,0.1573715435556832,0.12111721551524333,1.299332575358596,-0.1701584027266636,0.11603380762983072,3.570912975604815,0.2861474417154116,30.25725288831836
ratio,no_filter,15,False,3423,0.21706277342178934,0.17902327704574028,1.2124835217172907,-0.3662899263929984,0.07103886536764413,2.533775415833378,1.0108044570686883,2.145827984595636
ratio,no_filter,15,True,3423,0.1690460787163593,0.1128502002413576,1.4979687971737148,-0.16925615092922464,0.12563227293321327,4.000019963929003,0.30051838064522124,30.0811296534018
ratio,no_filter,20,False,3423,0.2326347883283361,0.17771115746326666,1.3090612409995828,-0.374642975062324,0.08239943538119206,3.077092353622069,1.0399568563248691,1.7738125802310656
ratio,no_filter,20,True,3423,0.1783856953755841,0.10923222692140845,1.6330866851586843,-0.1415143029736483,0.13362400401224708,4.4075375244589,0.3098486935387138,29.874454428754817
ratio,top70%,10,False,3423,0.1927504549025874,0.18966584587659746,1.0162633868619493,-0.39822671603308746,0.04437283284938297,1.329748943097286,1.0270973000189803,2.5016688061617463
ratio,top70%,10,True,3423,0.13816133881332146,0.12337557885596517,1.119843490052581,-0.19010260010463642,0.09332490643400783,2.7014210416823836,0.3103660646533598,30.354300385109116
ratio,top70%,15,False,3423,0.20284432449562664,0.1861595419546516,1.089626254801591,-0.38384920449792126,0.049689480234229956,1.4873553751468467,1.0601661143302479,2.0020539152759955
ratio,top70%,15,True,3423,0.15175721801545647,0.1169176649809937,1.2979836540536998,-0.1698946889044063,0.1057165013484066,3.126784005932207,0.31870234288233446,29.980487804878045
ratio,top70%,20,False,3423,0.18789387042231245,0.1845068589125888,1.0183571035227925,-0.3768265867300914,0.031074849065915944,1.0178207366225749,1.0855302248274241,1.8385109114249039
ratio,top70%,20,True,3423,0.13899339973689656,0.11314415341244964,1.2284629434648513,-0.1772991247994843,0.09197222597103878,2.834989224022964,0.32548924797648005,29.885237483953784
ratio,top50%,10,False,3423,0.21041491248680078,0.19288437009767218,1.0908862775156514,-0.3580732653745916,0.05964165209973306,1.6652276598790994,1.0436803509567465,2.264441591784339
ratio,top50%,10,True,3423,0.13156510130871968,0.12533816755342161,1.0496810658464752,-0.20311411029689685,0.08581071331261665,2.4484880568013896,0.31672032294713115,30.138639281129652
