n,F_lag1,p_lag1,F_lag2,p_lag2,F_lag3,p_lag3,F_lag5,p_lag5,weight,industry_code,industry_name,src,dst,freq,lags,F_lag4,p_lag4
4246,1.8258347309060297,0.17669237820429923,1.9965925451120505,0.13592490306534116,2.356174500656996,0.06990217333640711,1.4826463322286556,0.19193122581885097,EW,1000,水泥,上游,下游,D,"1,2,3,5",,
888,0.24044351139972678,0.6240076522741593,1.3814799998844844,0.2517501264981439,,,,,EW,1000,水泥,上游,下游,W,"1,2,4",1.3714469808364302,0.24194408029869086
208,0.1363024263738079,0.7123678401808028,0.2704655220906355,0.7633014538972178,0.381199977787752,0.7666612723709846,,,EW,1000,水泥,上游,下游,M,"1,2,3",,
4246,2.3151768994054347,0.12819125867932143,2.2022297427988162,0.11068284270896254,1.8988483824507143,0.12751857526646942,1.683401945909666,0.1349617874079873,EW,1000,水泥,下游,上游,D,"1,2,3,5",,
888,4.063106714722611,0.044131949546018207,4.969551363293163,0.007142244859653635,,,,,EW,1000,水泥,下游,上游,W,"1,2,4",3.0604466397753156,0.016125254353323997
208,1.0435948095749576,0.3081968054138448,1.6204402150145758,0.20038492232548674,1.3722008815276878,0.25246814622801755,,,EW,1000,水泥,下游,上游,M,"1,2,3",,
4246,0.6578331307768939,0.41737147640387984,4.52157388097333,0.010924385955203748,3.4991068943688193,0.014859087477215094,2.7213049529107813,0.018438331727445897,EW,1000,水泥,上游,中游,D,"1,2,3,5",,
888,0.00035060079052517517,0.9850652388720867,0.3321495749191122,0.7174698072642245,,,,,EW,1000,水泥,上游,中游,W,"1,2,4",0.3314044193855093,0.8569273105521368
208,0.5840267087651482,0.44562132517228525,1.0762501002327916,0.34282740287674474,0.8720626246269515,0.4565091641279728,,,EW,1000,水泥,上游,中游,M,"1,2,3",,
4246,2.5009137355428077,0.11385481801388124,4.937389689414818,0.007214605518339418,4.327889523133765,0.0047121605663515915,3.658588989273449,0.0026376274502904412,EW,1000,水泥,中游,上游,D,"1,2,3,5",,
