n,ann_ret,ann_vol,sharpe,max_dd,win,ann_alpha,t_alpha,beta,predictor,smooth_N,hold_K,cost_rt,avg_daily_turn,ann_turn
4672,0.31127589279642437,0.13250439734685726,2.349174057835955,-0.1926036844253899,0.3595890410958904,0.25889125350443104,10.769863651318481,0.43583244916463415,D100,1,1,0.0,0.4351455479452055,109.65667808219179
4672,0.14679087567313667,0.13347511847131113,1.0997620931476275,-0.3273237257616982,0.3441780821917808,0.09432949797708938,3.724248505476539,0.4364709013337398,D100,1,1,0.003,0.4351455479452055,109.65667808219179
4672,0.0371341975909449,0.13469453780983626,0.27569193372467343,-0.4242828979311848,0.3319777397260274,-0.015378339041138247,-0.5849244364250139,0.43689653611314333,D100,1,1,0.005,0.4351455479452055,109.65667808219179
4672,-0.12735081953234278,0.13735159400514185,-0.9271885081113461,-0.9480660847501925,0.3187071917808219,-0.17994009456847992,-6.456878461575608,0.4375349882822493,D100,1,1,0.008,0.4351455479452055,109.65667808219179
4672,-0.2370074976145346,0.1396504144550802,-1.6971485443802259,-0.9929373120218824,0.3060787671232877,-0.2896479315867075,-9.989075635095864,0.4379606230616529,D100,1,1,0.01,0.4351455479452055,109.65667808219179
4668,0.17867433249697934,0.13121272208952584,1.3617150048534978,-0.3505747269745578,0.3329048843187661,0.12725823157861987,4.664514369477558,0.4209093537872273,D100,1,5,0.0,0.09575835475578406,24.131105398457585
4668,0.1424776743992929,0.1311251231023207,1.086578002966781,-0.3809642724572252,0.32883461868037706,0.09113496166621957,3.296981659549928,0.4203085736212355,D100,1,5,0.003,0.09575835475578406,24.131105398457585
4668,0.11834656900083533,0.13127467432953457,0.9015186638646978,-0.4004536989166636,0.32476435304198803,0.06705278172461934,2.402612752517751,0.41990805351057403,D100,1,5,0.005,0.09575835475578406,24.131105398457585
4668,0.08214991090314896,0.13180951136033234,0.6232472152830675,-0.4285777222517245,0.32305055698371893,0.030929511812219077,1.091139511715484,0.4193072733445822,D100,1,5,0.008,0.09575835475578406,24.131105398457585
4668,0.05801880550469137,0.13237112459403155,0.43830409148996063,-0.44661247097227497,0.3194087403598972,0.006847331870618893,0.23889484839921926,0.4189067532339207,D100,1,5,0.01,0.09575835475578406,24.131105398457585
4663,0.17425081643960016,0.1362657704083858,1.2787570636218761,-0.38237272893738483,0.3418400171563371,0.11941565727272939,4.233612863817862,0.4495483267288624,D100,1,10,0.0,0.04717992708556723,11.889341625562942
4663,0.15641680400125574,0.1363394247673756,1.1472602606922868,-0.3988278850427238,0.3394810208020588,0.10149974943130899,3.5531733081793755,0.45021971971794,D100,1,10,0.003,0.04717992708556723,11.889341625562942
