method,N,timed,n,ann_ret,ann_vol,sharpe,max_dd,ann_alpha,t_alpha,beta,ann_turn
Full_EW,all,False,3423,0.22578207775475695,0.1912985219172705,1.1802604405506036,-0.3789532031850934,0.054753668060576674,1.764576984602717,1.183890234879518,0.8398151939308679
Full_EW,all,True,3423,0.17775235310368634,0.11178245698173803,1.590163232256792,-0.14440563790498084,0.12746887905464332,3.64649926861508,0.3480714929696586,29.269261968130664
t_lag,10,False,3423,0.2451738799719071,0.19944315822218817,1.229292005588745,-0.38244650350840004,0.08260611727650981,2.1572962433822345,1.1253240739678163,1.876979032948224
t_lag,10,True,3423,0.17700880812558709,0.1273213794334351,1.3902520449688425,-0.1624975374242189,0.1281831400415646,3.4298239390230636,0.33798029087391884,29.94364569961489
t_lag,15,False,3423,0.24356651173271954,0.1927896119826346,1.2633798534469722,-0.3722193306917905,0.08253377377050544,2.2144066112656917,1.114698349299243,1.8123776523006305
t_lag,15,True,3423,0.18818587511228396,0.12139076198682772,1.550248734188721,-0.14755115334108249,0.13981976618226913,3.7010717511273743,0.3347991375453463,29.958419885634264
t_lag,20,False,3423,0.2365927231243091,0.19137087145407267,1.2363047799627611,-0.3777517004527975,0.07499044171287476,2.198271763194924,1.118640834229538,1.7844286928371071
t_lag,20,True,3423,0.18583171761073689,0.11893072271090278,1.5625207126879845,-0.14384492795879655,0.1373943878135745,3.842051947010314,0.33529214153974984,29.89934769787801
b_lag,10,False,3423,0.25178473254050676,0.20384290462937085,1.2351900744266975,-0.38244650350839915,0.08572365283328671,2.2536370607362732,1.149505459417348,1.866195977749251
b_lag,10,True,3423,0.19053715896590193,0.13116908763553237,1.4526071836020562,-0.15214537749784152,0.14029005791916785,3.665472643036571,0.34781971233085274,29.878947368421056
b_lag,15,False,3423,0.2393616198374951,0.19504428464162146,1.2272167845230804,-0.3845125284483434,0.0769626335405612,2.016329529737455,1.1241557725705436,1.7333019141748283
b_lag,15,True,3423,0.1840609425376545,0.1227632654676304,1.4993161173786695,-0.14854483423848797,0.13519080613825757,3.5702525011068964,0.3382881087646869,29.90809896137239
b_lag,20,False,3423,0.23507300556081656,0.19196011789233924,1.224592942231142,-0.383240249449852,0.07309649958482567,2.135098653376832,1.1212312857716098,1.8221693860335129
b_lag,20,True,3423,0.186084255550832,0.11958257682163537,1.556115117241435,-0.14384492795879655,0.1374021492876556,3.807361038869724,0.3369865294391665,29.91013075307698
ratio,10,False,3423,0.2634929930128874,0.19784463512633374,1.331817730840333,-0.3824465035083998,0.10412504612247069,2.580823015380158,1.1031743580714723,1.876979032948224
ratio,10,True,3423,0.19252474633370883,0.12827962258956005,1.5008209600811326,-0.14057029172356328,0.14416237684970676,3.5765549954384643,0.3347732524095009,29.900513478819
ratio,15,False,3423,0.24328638760580312,0.19198087619438026,1.2672428234960036,-0.37221933069179014,0.08302406854757344,2.2302127437627974,1.1093653673763884,1.8267550592325947
ratio,15,True,3423,0.18694576845367736,0.12071148238384047,1.548699135838826,-0.14755115334108293,0.13892806297459664,3.667778033736707,0.33238742452002623,29.929665071770334
ratio,20,False,3423,0.23515707510192893,0.1910546902771033,1.2308364414443849,-0.3774283354033462,0.07394739289278432,2.186065795441632,1.1159231900519218,1.8006032756355663
ratio,20,True,3423,0.18546173400039923,0.11877121801691007,1.5615040166885725,-0.14384492795879655,0.13718975316135817,3.8519847084559853,0.3341475655174539,29.888564642679032
