strategy,N,timed,n,ann_ret,ann_vol,sharpe,max_dd,ann_alpha,t_alpha,beta,ann_turn
Full EW always-on,all,False,3423,0.21395152150629737,0.1792634631343006,1.193503225729881,-0.3720041940799188,0.0495104941152773,2.1142714543705474,1.1382911581175077,2.1988250716115254
Full EW timed,all,True,3423,0.16689936708928715,0.1030992177871883,1.6188228259286277,-0.12941684210281668,0.11809975138807896,3.839730163216524,0.33779995146911257,29.955144334930406
TV top-5 always-on,5,False,3423,0.2188891908337022,0.29316883352176093,0.7466318578419244,-0.5320262751638154,0.013434425017609376,0.19417912890933356,1.4221958293014945,2.3830551989730426
TV top-5 timed,5,True,3423,0.09007332011795965,0.19415192803846867,0.46393214338882494,-0.5263801031498402,0.028078246356504084,0.4692524782448879,0.42914134890257455,30.095507060333762
TV top-10 always-on,10,False,3423,0.24019313377178544,0.2661975778581702,0.9023114924800709,-0.44418037470899674,0.037610166303300926,0.6369732407946881,1.4023167108184542,1.951732991014121
TV top-10 timed,10,True,3423,0.11849137016755845,0.17079625214308483,0.6937586081707,-0.3552954635545157,0.0572577490275706,1.06630583646957,0.4238704332430595,29.890629011553273
TV top-15 always-on,15,False,3423,0.22919040947425387,0.2529084917402907,0.9062187192575857,-0.41369189561698505,0.028670952420713155,0.545623176989929,1.3880327106678805,1.6426187419768936
TV top-15 timed,15,True,3423,0.11591563338932304,0.15927920162815393,0.7277512205261707,-0.3184185615470738,0.0552946943995969,1.1151139997182775,0.41962933425794424,29.779204107830548
TV top-20 always-on,20,False,3423,0.21276171864244015,0.2433654719417438,0.8742477597371353,-0.43635866058169925,0.014149373325651457,0.30895411088343544,1.374831331049125,1.6174582798459565
TV top-20 timed,20,True,3423,0.1255636075097003,0.15338151548941603,0.8186358513217633,-0.28961141554701875,0.06453974733961385,1.4190409149053285,0.4224184290738736,29.734274711168162
TV top-25 always-on,25,False,3423,0.21227832374042332,0.2362063314638762,0.8986987030569406,-0.44301314825847715,0.01601955547550435,0.3607686192688953,1.358539436072568,1.5851091142490372
TV top-25 timed,25,True,3423,0.12375500026018109,0.14671686939501455,0.8434953715307827,-0.2639266649845766,0.0637423010306485,1.4480589969515831,0.4154189863172353,29.741822849807452
TV top-30 always-on,30,False,3423,0.20453054763323564,0.23037094510303494,0.8878313519170484,-0.432655459295179,0.009570634413411718,0.24218639913657503,1.3495485215972378,1.4197689345314506
TV top-30 timed,30,True,3423,0.1208588740522773,0.1413743073621822,0.8548857024116335,-0.25745419044585915,0.06143870793788271,1.486977337152741,0.41131736267407043,29.617458279845952
