variant,tv_filter,N,timed,n,ann_ret,ann_vol,sharpe,max_dd,ann_alpha,t_alpha,beta,ann_turn
Full_EW,—,all,False,3423,0.21395152150629737,0.1792634631343006,1.193503225729881,-0.3720041940799188,0.0495104941152773,2.1142714543705474,1.1382911581175077,2.1988250716115254
Full_EW,—,all,True,3423,0.16689936708928715,0.1030992177871883,1.6188228259286277,-0.12941684210281668,0.11809975138807896,3.839730163216524,0.33779995146911257,29.955144334930406
ratio,no_filter,10,False,3423,0.19360964410628662,0.18517326595558026,1.045559374390092,-0.38042505908661794,0.05292326373530181,1.7702979910530867,0.973857104790831,2.307573812580231
ratio,no_filter,10,True,3423,0.1573715435556832,0.12111721551524333,1.299332575358596,-0.1701584027266636,0.11603380762983072,3.570912975604815,0.2861474417154116,30.25725288831836
ratio,no_filter,15,False,3423,0.21706277342178934,0.17902327704574028,1.2124835217172907,-0.3662899263929984,0.07103886536764413,2.533775415833378,1.0108044570686883,2.145827984595636
ratio,no_filter,15,True,3423,0.1690460787163593,0.1128502002413576,1.4979687971737148,-0.16925615092922464,0.12563227293321327,4.000019963929003,0.30051838064522124,30.0811296534018
ratio,no_filter,20,False,3423,0.2326347883283361,0.17771115746326666,1.3090612409995828,-0.374642975062324,0.08239943538119206,3.077092353622069,1.0399568563248691,1.7738125802310656
ratio,no_filter,20,True,3423,0.1783856953755841,0.10923222692140845,1.6330866851586843,-0.1415143029736483,0.13362400401224708,4.4075375244589,0.3098486935387138,29.874454428754817
ratio,top70%,10,False,3423,0.18839436644757035,0.20438464350118177,0.9217638038763957,-0.4046565702927202,0.026884970142407077,0.743737680587713,1.1179978663712924,2.911424903722722
ratio,top70%,10,True,3423,0.1370660250700257,0.13303359070524257,1.0303113998758229,-0.21856590053387803,0.08775168613247915,2.3856903415722486,0.34136296076245864,30.61309370988447
ratio,top70%,15,False,3423,0.20382961137836883,0.2015324407004804,1.0113985156429606,-0.3928748735296551,0.03630867231395671,1.0827403467994219,1.159610875472888,2.354300385109114
ratio,top70%,15,True,3423,0.15097648731284266,0.12666957122215808,1.1918923057539539,-0.1837363925095571,0.09978905253648428,2.7680113064457204,0.35432887605412333,30.260847240051348
ratio,top70%,20,False,3423,0.197786551778192,0.20163984580044575,0.9808902153889406,-0.3857186087382505,0.02565510731918062,0.7861018408444179,1.191525645213691,2.178177150192555
ratio,top70%,20,True,3423,0.1469455733630401,0.1238076382911192,1.1868861678591653,-0.17420025675427286,0.09502772549557845,2.680801131738321,0.3593849303525379,30.11707317073171
ratio,top50%,10,False,3423,0.2046774728794272,0.21921015791576048,0.9337043265945825,-0.4465427572882369,0.032846078763502866,0.7907396226448357,1.1894486413300192,2.695763799743261
ratio,top50%,10,True,3423,0.14989252708071,0.14272313935351155,1.0502328337204,-0.23598772791289624,0.09692526892151375,2.3836063599632666,0.366649142181369,30.386649550706036
