weight,freq,pair,n_chains,mean_beta,t_cs,p_cs
EW,D,上游->下游,22,0.032647956087041685,3.188544772396562,0.004419389799873441
EW,D,下游->上游,22,-0.0010530320760866367,-0.09036159980252953,0.9288562075808027
EW,D,上游->中游,21,0.03254320727132263,2.994684309881825,0.007161055468347
EW,D,中游->上游,21,-0.002684046330020267,-0.27205963242629905,0.7883649496342633
EW,D,中游->下游,17,-0.0011855850511919342,-0.10523983681757214,0.9174935600922973
EW,D,下游->中游,17,0.03356162549007813,2.3249734089926686,0.03355419130811077
EW,W,上游->下游,22,0.02237847494230538,1.1297780472606405,0.2713097160958118
EW,W,下游->上游,22,0.05218529393098961,1.7478621838215977,0.09509533151747118
EW,W,上游->中游,21,0.015307430181823869,0.6004118229927251,0.5549751126251319
EW,W,中游->上游,21,0.0426857493850375,2.0197932372058425,0.05700552129170333
EW,W,中游->下游,17,0.005194941774403605,0.20946646021426998,0.836727905513067
EW,W,下游->中游,17,0.05612284618488283,1.778000943955125,0.09441131110913026
EW,M,上游->下游,22,0.008895169794634976,0.184840106948292,0.8551279155785942
EW,M,下游->上游,22,-0.007210635971368995,-0.11939860962095664,0.9060944243191043
EW,M,上游->中游,21,0.08663252963322715,2.1275051396299034,0.04600839898527509
EW,M,中游->上游,21,-0.06503867384115898,-1.3213564127351909,0.2013004558868834
EW,M,中游->下游,17,-0.08643690952356384,-1.569289332231619,0.1361434472396048
EW,M,下游->中游,17,0.12266595553674768,1.9779324719407105,0.06542248096105197
VW,D,上游->下游,22,0.02803734936995096,2.0495035860793074,0.053109717525577915
VW,D,下游->上游,22,0.021559254633521454,1.3295130362226821,0.19794160707593944
VW,D,上游->中游,21,0.025717495536877886,1.813915238976512,0.08472378657175805
VW,D,中游->上游,21,0.029290776621076136,1.7059312516053589,0.10350349459618657
VW,D,中游->下游,17,0.01540375335170382,0.8015451450445862,0.43455928779363906
VW,D,下游->中游,17,0.04105166169269495,2.3385703386367362,0.032665588236608034
VW,W,上游->下游,22,-0.05245986924026829,-2.0731145782749683,0.05065704287521644
VW,W,下游->上游,22,0.04602034144581202,1.3508204819999525,0.1911297180149485
VW,W,上游->中游,21,-0.055935887267892864,-1.568363644025348,0.13248267835158667
VW,W,中游->上游,21,0.06588143543296862,1.7427922795568758,0.09672598074970207
VW,W,中游->下游,17,0.06599992459729186,1.8379417677720216,0.08471131510655727
VW,W,下游->中游,17,-0.050793887539772827,-1.1001170001848473,0.2875581227275279
VW,M,上游->下游,22,-0.07875480520999312,-1.913956309780283,0.06935290311880071
VW,M,下游->上游,22,0.03431296346379811,0.7857018279709553,0.4408177731990981
VW,M,上游->中游,21,-0.038412682438174806,-0.7438243809096865,0.46563235506373446
VW,M,中游->上游,21,0.023698058042728187,0.3657725200420189,0.7183750655391039
VW,M,中游->下游,17,0.008409895317324934,0.2120183416547551,0.8347700240025995
VW,M,下游->中游,17,-0.026310805945996926,-0.5469426999006881,0.5919653316668092
