A,B,n,beta_AB,t_AB,p_AB,L_strict,L_loose,S_undir,A_name,B_name
1000,2000,859,-0.03199250957360059,-0.38269477496990706,0.7019460890480764,0,0,0,水泥,造紙
1000,3000,859,-0.05954634096995444,-0.9844106154021527,0.3249136607274712,0,0,0,水泥,汽車
1000,4100,859,-0.09242709031842572,-1.0280593915819884,0.3039218910636132,0,0,0,水泥,太空衛星科技
1000,5100,859,-0.08870033874190021,-1.022352464808867,0.3066141101142391,0,0,0,水泥,區塊鏈
1000,5200,859,-0.06690775386484453,-0.839784021197208,0.40102949414670175,0,0,0,水泥,金融科技
1000,5300,859,-0.0691324089088508,-0.9815675790086511,0.32631292627080544,0,0,0,水泥,人工智慧
1000,5400,859,-0.06439354271159173,-0.9060054787044727,0.3649329525966082,0,0,0,水泥,雲端運算
1000,5500,859,-0.0652726240039594,-0.9364579928288329,0.34903743113934105,0,0,0,水泥,資通訊安全
1000,5600,859,-0.08468647515092871,-1.17930290333523,0.238277582584571,0,0,0,水泥,大數據
1000,5700,859,-0.050576495589045437,-0.6635798570866555,0.5069592528948141,0,0,0,水泥,體驗科技
1000,5800,859,-0.027458762490783963,-0.382947192009092,0.7017589194159317,0,0,0,水泥,運動科技
1000,6000,859,-0.09175280966742157,-1.1301073718212518,0.25843098384190233,0,0,0,水泥,自動化
1000,B000,859,-0.089296342116021,-1.240764610378424,0.21469271827401804,0,0,0,水泥,休閒娛樂
1000,C100,859,0.0954859626440729,1.0437050083809871,0.296621891946102,0,0,0,水泥,製藥
1000,C200,859,-0.00606304325188179,-0.08734793259377044,0.9303949548848081,0,0,0,水泥,醫療器材
1000,C300,859,0.10200197472311513,1.2271021876056039,0.21978418575758185,0,0,0,水泥,食品生技
1000,C400,859,0.07362619478140292,0.7598084291503187,0.4473691036923553,0,0,0,水泥,再生醫療
1000,D000,859,-0.07299991654211044,-0.785275527582145,0.4322920410425686,0,0,0,水泥,半導體
1000,F000,859,-0.05823913878563313,-0.6762500454266428,0.49888190329710547,0,0,0,水泥,電腦週邊
1000,G000,859,-0.04309541985378749,-0.5223428579410664,0.6014316339729603,0,0,0,水泥,平面顯示器
1000,H000,859,-0.04487242005644298,-0.5535712227801122,0.579872324965568,0,0,0,水泥,觸控面板
1000,I000,859,-0.05771541584797225,-0.7027935778215066,0.4821844000724076,0,0,0,水泥,通信網路
1000,J000,859,-0.037372683677757396,-0.41495765718848066,0.6781729005320345,0,0,0,水泥,被動元件
1000,K000,859,-0.09143237495367133,-1.155180796777218,0.24801639684150556,0,0,0,水泥,連接器
1000,L000,859,-0.09839355993105461,-1.2071982687855431,0.22735579702094966,0,0,0,水泥,印刷電路板
1000,M000,859,0.010551256352012485,0.19614472869800076,0.844496887721748,0,0,0,水泥,食品
