date,ret
2007-04-24,
2007-04-25,-0.0047976675983513895
2007-04-26,-0.0026444779080819405
2007-04-27,0.00036426686956748293
2007-04-30,0.000265574376028737
2007-05-02,-0.004506702056706033
2007-05-03,-0.006082683847484022
2007-05-04,-0.008610275244599579
2007-05-07,-0.0007989850591151419
2007-05-08,-0.005768976884904185
2007-05-09,0.00598157092700485
2007-05-10,0.011919732349845056
2007-05-11,0.007982288155750927
2007-05-14,0.01966505707906585
2007-05-15,0.0003729230569127426
2007-05-16,-0.006427344088054618
2007-05-17,0.0001878343787854299
2007-05-18,-0.00033999138789468815
2007-05-21,-0.004365166830819063
2007-05-22,0.00876176299649124
2007-05-23,-0.0030723096391260044
2007-05-24,-0.005207046138975027
2007-05-25,-0.0022023344404188626
2007-05-28,0.0005332852593693271
2007-05-29,0.0023395633188322724
2007-05-30,-6.946589124192867e-08
2007-05-31,0.002941664978883765
2007-06-01,0.00933666366781724
2007-06-04,0.01884705677624053
2007-06-05,0.02121577739958561
2007-06-06,-0.013851219557647376
2007-06-07,-0.0055496988140486415
2007-06-08,0.004812549811429663
2007-06-11,-0.009516732195047695
2007-06-12,0.02237824511999715
2007-06-13,-0.009118726393079816
2007-06-14,0.0015521652492525885
2007-06-15,-0.01416901881244782
2007-06-20,0.01023501779274644
2007-06-21,0.0025726450534347576
2007-06-22,0.005236610679501466
2007-06-23,0.02134775817133705
2007-06-25,0.0017717145026486872
2007-06-26,0.015461830366159182
2007-06-27,0.022814285316930204
2007-06-28,0.015557390676645187
2007-06-29,0.0007952980581426882
2007-07-02,0.009037370762978131
2007-07-03,-0.001975272010287738
2007-07-04,4.2106966221481384e-05
2007-07-05,-0.015155588316304293
2007-07-06,-0.0034605318895455407
2007-07-09,0.00027927612270523504
2007-07-10,0.00029099425894660996
2007-07-11,-0.01799934142628588
2007-07-12,-0.003545665744790573
2007-07-13,0.014100357114901582
2007-07-16,-0.0006376414825496769
2007-07-17,-0.001724571206060746
2007-07-18,0.042210736581136964
2007-07-19,-0.020295889298178344
2007-07-20,0.018334568092258887
2007-07-23,0.010577116291919353
2007-07-24,0.014899945795362711
2007-07-25,0.010581000689705338
2007-07-26,-0.011683688962027379
2007-07-27,-0.00041566905145291183
2007-07-30,-0.012393816725167723
2007-07-31,0.02222469588182629
2007-08-01,0.01988956471027551
2007-08-02,-0.004822528026655604
2007-08-03,0.02531840274011063
2007-08-06,0.003250067626295039
2007-08-07,0.010869777134133105
2007-08-08,-0.011873962062659775
2007-08-09,-0.00893703855896551
2007-08-10,0.006766746512409158
2007-08-13,-0.014634219508988112
2007-08-14,0.0006746615924484532
2007-08-15,0.010920738480616199
2007-08-16,0.0005344022196587667
2007-08-17,0.0013007474295946078
2007-08-20,-0.00027227871821006167
2007-08-21,0.012002877344460185
2007-08-22,0.014464505071096612
2007-08-23,-0.002742776788868681
2007-08-24,0.008489377063447432
2007-08-27,-0.008019661928009987
2007-08-28,0.022082001751861403
2007-08-29,0.00662441412302734
2007-08-30,-0.011132300182531644
2007-08-31,-0.015043794405204593
2007-09-03,0.012076220085516703
2007-09-04,-0.0008163554645003266
2007-09-05,-0.01657716893500867
2007-09-06,-0.010066493072521082
2007-09-07,0.00022246622059885618
2007-09-10,-0.0029213336064470964
2007-09-11,0.0009404978823423869
2007-09-12,-0.01515490518918068
2007-09-13,-0.022173391335129064
2007-09-14,0.005256798415815878
2007-09-17,0.014975110868720044
2007-09-19,0.019057051102945092
2007-09-20,0.010348608264102995
2007-09-21,-0.001221665010770704
2007-09-26,0.015346583084685842
2007-09-27,-0.016535265489925833
2007-09-28,0.011535491590268097
2007-09-29,-0.00789988256354484
2007-10-01,-0.018415908776250326
2007-10-02,-0.0013520589617997067
2007-10-03,-0.0034977959588265717
2007-10-04,-8.982623992794328e-05
2007-10-05,-0.012977465352575138
2007-10-08,0.020925669426292037
2007-10-09,0.0032333467342771424
2007-10-11,0.013105574286825718
2007-10-12,-0.012593988618629157
2007-10-15,-0.002114160932054596
2007-10-16,0.0024497664756795816
2007-10-17,-0.009093262589210064
2007-10-18,-0.0025850770647218736
2007-10-19,0.009975270485986766
2007-10-22,0.0015931133422419919
2007-10-23,0.00556656085941501
2007-10-24,-0.013241917441084354
2007-10-25,0.004798984573991999
2007-10-26,-0.01267611197738226
2007-10-29,-0.0015320334965061421
2007-10-30,-0.011361838872166012
2007-10-31,0.01468570892167032
2007-11-01,0.00463408486560472
2007-11-02,0.006632038218117385
2007-11-05,0.0043119227129332135
2007-11-06,0.004336787503343666
2007-11-07,-0.0037174182464863544
2007-11-08,0.008832361382166497
2007-11-09,0.03945298749186896
2007-11-12,0.012145654101992469
2007-11-13,0.019057476364173945
2007-11-14,-0.006087897206867705
2007-11-15,-0.012046066603094601
2007-11-16,-0.010475871374370716
2007-11-19,0.03117142265421785
2007-11-20,0.008496669000699193
2007-11-21,-0.0027725296717669747
2007-11-22,-0.0037502350809307146
2007-11-23,-0.0012504260862967152
2007-11-26,0.00794334223394063
2007-11-27,0.006705393329154364
2007-11-28,0.017231376363470885
2007-11-29,0.009187723530458292
2007-11-30,-0.0026945513327377366
2007-12-03,-0.0013372080745114425
2007-12-04,-0.0017620338701938255
2007-12-05,0.004831775170120023
2007-12-06,-0.01184405465831814
2007-12-07,0.0015753758142986285
