variant,N,filter,timed,n,ann_ret,ann_vol,sharpe,max_dd,ann_alpha,t_alpha,beta,ann_turn
Full_EW,all,—,False,3423,0.22578207775475695,0.1912985219172705,1.1802604405506036,-0.3789532031850934,0.054753668060576674,1.764576984602717,1.183890234879518,0.8398151939308679
Full_EW,all,—,True,3423,0.17775235310368634,0.11178245698173803,1.590163232256792,-0.14440563790498084,0.12746887905464332,3.64649926861508,0.3480714929696586,29.269261968130664
ratio,5,N,False,3423,0.2159940617271473,0.2135212370154234,1.0115811651631885,-0.4098137276456082,0.0631070072903225,1.525235008937009,1.058312423713131,2.275224646983312
ratio,5,N,True,3423,0.14079457007674326,0.14305263955206315,0.9842151149227968,-0.17664613026699594,0.09469218088031828,2.583163914429325,0.31912925151943217,30.332734274711168
ratio,5,Y,False,3423,0.25153662913692537,0.23649715409415628,1.063592625883276,-0.45109334616767227,0.08353665446138055,1.618155635208068,1.1629268484343038,6.744801026957639
ratio,5,Y,True,3423,0.19013030783295184,0.16182445257800193,1.174917046243713,-0.26315657242447166,0.13764281632546713,2.658422798638509,0.3633281088220704,33.09858793324776
ratio,10,N,False,3423,0.2634929930128874,0.19784463512633374,1.331817730840333,-0.3824465035083998,0.10412504612247069,2.580823015380158,1.1031743580714723,1.876979032948224
ratio,10,N,True,3423,0.19252474633370883,0.12827962258956005,1.5008209600811326,-0.14057029172356328,0.14416237684970676,3.5765549954384643,0.3347732524095009,29.900513478819
ratio,10,Y,False,3423,0.23319435590972643,0.22018058892889794,1.0591049694441093,-0.44440005733442556,0.06411207901875883,1.330962031291805,1.170418744232894,6.923149336756525
ratio,10,Y,True,3423,0.173373191768938,0.1426907239156782,1.2150277678273702,-0.20715131143927912,0.12222161661541621,2.759621503209285,0.35408064912282783,33.251818570817285
ratio,15,N,False,3423,0.24328638760580312,0.19198087619438026,1.2672428234960036,-0.37221933069179014,0.08302406854757344,2.2302127437627974,1.1093653673763884,1.8267550592325947
ratio,15,N,True,3423,0.18694576845367736,0.12071148238384047,1.548699135838826,-0.14755115334108293,0.13892806297459664,3.667778033736707,0.33238742452002623,29.929665071770334
ratio,15,Y,False,3423,0.21823626336736668,0.21756608322003054,1.0030803521275804,-0.44440005733442556,0.049051619513910676,1.1341964099291222,1.1711273472508432,6.930961037251152
ratio,15,Y,True,3423,0.16509403228097919,0.13992872761526695,1.1798437325529327,-0.20715131143927912,0.1140938346787955,2.697615197897688,0.3530327857583165,33.24817394843068
ratio,20,N,False,3423,0.23515707510192893,0.1910546902771033,1.2308364414443849,-0.3774283354033462,0.07394739289278432,2.186065795441632,1.1159231900519218,1.8006032756355663
ratio,20,N,True,3423,0.18546173400039923,0.11877121801691007,1.5615040166885725,-0.14384492795879655,0.13718975316135817,3.8519847084559853,0.3341475655174539,29.888564642679032
ratio,20,Y,False,3423,0.21621326188135523,0.2173132681856388,0.994938153967921,-0.44440005733442556,0.04682048918262226,1.0890962039870475,1.1725680535519818,7.031966864891309
ratio,20,Y,True,3423,0.16685711148643173,0.13940879933270514,1.1968908152506215,-0.20715131143927912,0.11594862620753234,2.752633464773866,0.35239793612047854,33.29915699011706
