,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,t_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_lag,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,b_now,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio
,1711,1717,1727,1742,1785,2360,2467,2493,3010,3030,3114,3178,3305,3339,3402,3413,3455,3467,3535,3551,3583,3663,3680,4720,4722,4749,4755,4764,4768,4772,4949,5222,5234,5434,5493,5536,6207,6208,6223,6277,6438,6510,6515,6532,6613,6658,6664,6667,6683,6706,6725,6735,6788,6789,6823,6829,6877,6895,6909,6937,6953,7556,7631,7704,7728,7730,7751,7769,7795,7810,7822,7828,8027,8091,8374,8383,1711,1717,1727,1742,1785,2360,2467,2493,3010,3030,3114,3178,3305,3339,3402,3413,3455,3467,3535,3551,3583,3663,3680,4720,4722,4749,4755,4764,4768,4772,4949,5222,5234,5434,5493,5536,6207,6208,6223,6277,6438,6510,6515,6532,6613,6658,6664,6667,6683,6706,6725,6735,6788,6789,6823,6829,6877,6895,6909,6937,6953,7556,7631,7704,7728,7730,7751,7769,7795,7810,7822,7828,8027,8091,8374,8383,1711,1717,1727,1742,1785,2360,2467,2493,3010,3030,3114,3178,3305,3339,3402,3413,3455,3467,3535,3551,3583,3663,3680,4720,4722,4749,4755,4764,4768,4772,4949,5222,5234,5434,5493,5536,6207,6208,6223,6277,6438,6510,6515,6532,6613,6658,6664,6667,6683,6706,6725,6735,6788,6789,6823,6829,6877,6895,6909,6937,6953,7556,7631,7704,7728,7730,7751,7769,7795,7810,7822,7828,8027,8091,8374,8383,1711,1717,1727,1742,1785,2360,2467,2493,3010,3030,3114,3178,3305,3339,3402,3413,3455,3467,3535,3551,3583,3663,3680,4720,4722,4749,4755,4764,4768,4772,4949,5222,5234,5434,5493,5536,6207,6208,6223,6277,6438,6510,6515,6532,6613,6658,6664,6667,6683,6706,6725,6735,6788,6789,6823,6829,6877,6895,6909,6937,6953,7556,7631,7704,7728,7730,7751,7769,7795,7810,7822,7828,8027,8091,8374,8383
2012-04-30,1.5097245426872072,-1.8311543476887204,-0.58435613770727,-0.2665395102066915,1.1279244222361653,-0.4386204282026955,-0.053693282486298115,-0.45644113882055615,0.18069354778879068,-0.8097273077934168,-0.6358581042195564,,0.14111716871728605,-0.3200265050801512,1.312272968813793,,-1.3047479417000163,,0.2419100138409407,0.39917545036168495,,,,1.0868676300856335,-0.8466721737216695,,,,,,,,,0.5927242689122179,-0.5598305674560353,,-0.2244705364670179,1.4438536840360254,0.28734815079143033,0.8328622094997964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4240280226051833,-0.4737490054542145,0.14609313009492117,0.10060393368352454,-0.09608802870711694,-0.046344790248373555,-0.010654905244074182,0.08204382299139444,-0.02660217499893362,-0.0022146107824219064,-0.026636251462027243,0.008193710221447261,-0.04953338493906096,-0.0313492577514213,,0.007858730342739989,-0.01975644929912493,0.07478085727267804,,-0.1092005067193235,,0.019199284834627368,0.02223807198379442,,,,0.073450842217216,-0.04542736893471617,,,,,,,,,0.027624977697703598,-0.03556847056470048,,-0.011822555671638441,0.07476001715821468,0.0187407656337417,0.045164189810348254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.021860757747019684,-0.023751323318089126,0.009894994060330809,0.7167960189967466,0.5064020367165736,0.6558923116454399,0.3129495225025648,0.829712457918852,0.5586724940514077,0.5133781885223232,0.5997572179561208,0.5554794269842366,0.7089362529059504,0.42743298671600416,,0.7911936859134814,0.8451142473776466,0.5683381056492394,,0.6348636624397801,,0.7525238889685535,0.5661441736513184,,,,0.49197472481500537,0.3496449261253348,,,,,,,,,0.7000729592322383,0.4655654240586034,,0.5386068945111839,0.46496190422273026,0.8250732846921308,0.5330485639449403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43687500065453444,0.5607912134196753,0.5348488169881281,0.14035224947863606,-0.1897465289242036,-0.07065914545042946,-0.03404672152515222,0.09888223589794351,-0.04761676166660489,-0.004313799908009938,-0.044411723051536484,0.014750699708055584,-0.06987001262246383,-0.0733430940655276,,0.009932751591244822,-0.023377252673740086,0.13157811614136333,,-0.1720062324872495,,0.025513189835000265,0.03927987431252907,,,,0.1492979994954727,-0.12992429044553655,,,,,,,,,0.03946014102301506,-0.07639843666788981,,-0.021950249415889998,0.16078740318132054,0.02271406186752812,0.08472809583446014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05003893039031183,-0.04235323726499709,0.018500543978113435
2012-05-31,1.5093731814533606,-1.7776469209886998,-0.5759059605569592,-0.5234201305491625,0.9811407295490306,-0.4199455341040679,-0.030400112191880675,-0.5875753930970746,0.13839216344058583,-0.8326652833506204,-0.5807681806129136,,0.17156158028332794,-0.24617453065961165,1.0601987116775886,,-1.3586289880400342,,0.2078346989382014,0.4084572589306193,,,,1.063804369917754,-0.6567105481845732,,,,,,,,,0.5101125003384603,-0.5738283525488835,,-0.28863194501653594,1.3003663788104085,0.2742613311197656,0.8451128546396262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5930847980349734,-0.4562280883522959,0.03916811579355974,0.10102061827311759,-0.09400183095169044,-0.04590750075069073,-0.020676385702437072,0.07177163775825897,-0.025616793383816172,-0.0012631581773558608,-0.034242644299875516,0.006314995358539652,-0.05129892707256611,-0.02860649006411428,,0.009572867493041058,-0.015306344789769789,0.06020723330422084,,-0.1136204437669732,,0.016382918098276977,0.02259123014852101,,,,0.07245146967016491,-0.0351886256489482,,,,,,,,,0.023900860752422367,-0.036546254771789986,,-0.015275558346749324,0.0674069287914975,0.017979465038091842,0.046066232317641106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03037790915354013,-0.023107119490687136,0.0026716968014308686,0.7170457452763398,0.5119256683150797,0.6620094385598159,0.3171533162059494,0.8356661868839498,0.5597705002833974,0.5136444265651127,0.6011083887079357,0.5570497887800615,0.7101019900019896,0.4272401369500485,,0.7892199852099155,0.8528991174696966,0.5677729483050005,,0.6490306071737455,,0.7625548878864976,0.5646565857603615,,,,0.49192622748883097,0.35174395016402427,,,,,,,,,0.6996155295366495,0.4651983812691941,,0.5419913639875619,0.47094881436342106,0.8291664449344283,0.5338456597111915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44635085863504015,0.5667542351863237,0.5299586846751976,0.14088448183202817,-0.18362398443719813,-0.06934568916503862,-0.06519366074990204,0.08588553525886049,-0.04576302854624717,-0.002459207405019385,-0.05696584001011705,0.011336500768395381,-0.07224163260325799,-0.06695646684398207,,0.012129530007396963,-0.01794625469326227,0.10604103891169939,,-0.17506176520972147,,0.0214842477027247,0.04000879599783621,,,,0.14728116864191776,-0.10004045736263308,,,,,,,,,0.03416285051341233,-0.07856058026702793,,-0.0281841360614371,0.14313005306661844,0.021683782728947366,0.08629129314746657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0680583638764291,-0.04077096924223343,0.005041330350248539
2012-06-29,1.4695979441250908,-1.6703493863284455,-0.44301268190301374,-0.6218092663011809,0.7777913531080728,-0.5851013787137482,-0.11182922431749164,-0.6584089729292337,0.34282784632530083,-0.8282018220570881,-0.631989302995023,,0.17599367263427812,-0.32452046769116527,1.0022900036230702,,-1.3804119412106644,,0.18922171525820622,0.4215023323562568,,,,1.1720922370503568,-0.6857239811777441,,,,,,,,,0.6245628244752881,-0.5974841606052638,,-0.1433133560959394,1.43838688886063,0.504820627814949,0.8316168289526467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5127012002638589,-0.4791317945336928,0.32254938322081445,0.09944165540222485,-0.08944989540218794,-0.03557842067870839,-0.024547200603649167,0.05716593937169987,-0.035889765993926744,-0.004695863576674015,-0.038773231661966806,0.01574411877399511,-0.051577342899303116,-0.03150972287267274,,0.009928537606189548,-0.020297836248998377,0.0574107800530893,,-0.11508691688134243,,0.01488453278767407,0.02323800428559785,,,,0.08004886456129173,-0.0371277816946942,,,,,,,,,0.02936004058012236,-0.03813722424364203,,-0.007642544095352909,0.07487542785825681,0.03320177660117223,0.04566075090762257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.026506906720656823,-0.02455409264090207,0.021993496288962827,0.7194590327487841,0.5142414667655282,0.66626340879246,0.3219398905974262,0.8370738058629105,0.5602740529415916,0.5160312142411411,0.6050006643945435,0.559531654116942,0.7193838881725289,0.4299504085001265,,0.7947435821155444,0.8602822435727011,0.5713790810512218,,0.6568442546731087,,0.7752230745627066,0.5653166150103156,,,,0.4993142987200209,0.3585091428911818,,,,,,,,,0.7045506883252668,0.46237867968551166,,0.5422228431056021,0.4760997071249194,0.8396783540428646,0.5350381520078606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44907897079275905,0.5671777572890688,0.5389202794045366,0.13821725890673087,-0.17394531787724,-0.05339993193261347,-0.07624777581335679,0.06829259137164073,-0.0640575193612763,-0.00909996032619771,-0.06408791583852103,0.02813803054421045,-0.07169654998852767,-0.07328687739265972,,0.012492755939922872,-0.023594391725095556,0.10047756727016517,,-0.17521188023273138,,0.019200322173163184,0.04110617602345513,,,,0.16031758907464674,-0.10356160346505747,,,,,,,,,0.04167200609783216,-0.08248049903507917,,-0.014094839773957042,0.1572683762197966,0.03954106526780529,0.08534111209877185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.059025045581324334,-0.04329170586354251,0.04081029630813646
2012-07-31,1.3426551731641145,-2.180230906162719,-0.44520728126070325,-0.6085415180917643,0.31079026616742783,-0.5529948745816119,-0.07775592458984594,-0.37021467151226184,0.4276632303665161,-0.9211314164968714,-0.6693973596695597,,0.5359163449084394,-0.2778980982610703,0.8505821800038378,,-1.3614875942766762,,0.162914562512187,0.46268202823109195,,,,1.6654679456100991,-0.4379032795652921,,,,,,,,,0.36420503194028025,-0.4397004724475056,,-0.036215646943481054,1.3095685492966977,0.6830711750138297,0.8195174521346725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.12989860801776254,-0.481919504998049,0.558594556432204,0.09098618182381467,-0.11408377066448332,-0.03551299483519351,-0.024519890248592784,0.021077369318748165,-0.03418826050388374,-0.0033288854155802783,-0.021614456009093928,0.02004860480198196,-0.05779245369111702,-0.034188910594268644,,0.030117323856601378,-0.01732619676641152,0.04886747459327715,,-0.1132189802361461,,0.012759559424754992,0.0254251649938059,,,,0.10763732304312279,-0.023840319707125687,,,,,,,,,0.01701315764099154,-0.027988780174878575,,-0.001960939704369801,0.06933748104137138,0.04485342466626995,0.04555376489280935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00670035418491886,-0.02519240826330899,0.038012396498318606,0.7085518439761928,0.5190832623367365,0.6601472882397306,0.3240435919569078,0.8504513562820585,0.5595900244686525,0.5221770330244345,0.6113401257764989,0.5624428061816537,0.7158664739659645,0.4330397651566063,,0.7875243952360896,0.8577427930442726,0.5747196751449829,,0.6570423565696449,,0.7780034406239283,0.5634184922341635,,,,0.5014923239682322,0.3590049902367483,,,,,,,,,0.7054522188146742,0.4587210564095516,,0.538683071307706,0.4774233380513394,0.8417469596503783,0.5326732964248455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44290642953917725,0.5711360166098064,0.5335638560039051,0.12841146713164406,-0.21977932817736587,-0.05379556269917914,-0.07566849293490582,0.0247837447292608,-0.06109519292511784,-0.006375013079950048,-0.03535586017953613,0.03564558846096577,-0.08073077283664598,-0.07895097250919768,,0.03824303607454928,-0.020199757907516717,0.08502836549131451,,-0.1723161058097556,,0.016400389456532896,0.04512660720983026,,,,0.21463403904451636,-0.06640665270809752,,,,,,,,,0.024116668978060127,-0.061014814523556254,,-0.0036402475013915464,0.1452327012843164,0.05328611425564274,0.08551914503421423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.015128148380889966,-0.04410929713879374,0.07124245030952846
2012-08-31,0.843686329448882,-2.7065996170166158,-0.7199367485191245,-0.23872113816295606,0.2635119521632798,-0.6328554942030589,-0.11320950519125825,-0.6576237532435322,0.32418899491988223,-0.8971619483650849,-0.6928509159486429,,0.24803634840393182,-0.2396778821985677,0.3968520221215927,,-1.3422168584453966,,0.17854631432408505,0.44015733221222186,,,,2.1772604049093176,-0.4253268052440035,,,,,,,,,0.14308150967838026,-0.41117963600958746,,0.12102297129546663,1.0555979037530638,0.6409781179056536,0.47567962959566146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.44491453056731506,-0.3242795327543269,0.754781758997982,0.056345886183545135,-0.13842697950968438,-0.05834767590524578,-0.009597369332925694,0.017698273618554416,-0.039644367139690974,-0.00501325306602823,-0.03939814010352753,0.015617270548079525,-0.058409647597711514,-0.036500024512054315,,0.014114769549522212,-0.015318667305315671,0.021939672267583487,,-0.11143950264891701,,0.013957098033318745,0.024127693509186983,,,,0.13187493340223297,-0.023993603504038497,,,,,,,,,0.006877391704723336,-0.02685003825367654,,0.006789541845864294,0.05668816803909122,0.04264139296184391,0.02703291512593216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.023464438469515417,-0.017701456526492822,0.05200149299859538,0.6955128996542537,0.5151154533974819,0.6468892829216601,0.3280639222289384,0.851995111947922,0.5674233606846492,0.5241934444783001,0.6076727929909068,0.5676223882098844,0.7230869154566762,0.42122114007459127,,0.7822991643414307,0.8610778046324739,0.5750690224678962,,0.658733801707014,,0.7800160357185714,0.5626650936166013,,,,0.48754398147697137,0.35318728947977757,,,,,,,,,0.7044888297061634,0.44613570741424,,0.5447394220370271,0.47264473154083575,0.8397669618831306,0.5273148125242602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4335733960891722,0.5877757923096635,0.5329776319560522,0.08101343082429562,-0.26873000721814705,-0.09019731420146564,-0.029254571083949302,0.020772740794358244,-0.06986735105839906,-0.009563746206360203,-0.06483446446501857,0.027513485853388985,-0.08077818357537564,-0.08665287906867819,,0.018042674967452592,-0.01779010819104088,0.03815137211430701,,-0.16917228531485337,,0.017893347564913967,0.04288109175940375,,,,0.27048828087822874,-0.06793450449301149,,,,,,,,,0.009762243792555008,-0.06018356703456175,,0.012463834213567886,0.11993822051985245,0.05077765010690938,0.05126522996106516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.054118722876367466,-0.03011600130201857,0.09756787129648863
2012-09-28,0.9215397031699347,-2.9965996711020013,-0.6850147009380266,0.1278811686352293,0.3400054947038297,-0.5582704270567478,0.12293971875847984,-0.5910360011988373,0.6193881008672505,-0.7220607715563934,-0.3514940364681201,,0.16517635069833494,0.1599108596184531,0.4214771502828469,,-1.303359009610111,,0.20468853184274152,0.44824177133750864,,,,2.287937730597701,-0.45429827194899486,,,,,,,,,0.12909035888036835,-0.31469963944936613,,0.3625758726234586,1.1396134833435465,0.8243954664235492,0.7702730230563751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.009669223441745768,-0.28536616297027656,0.7399544461024182,0.06252636899272994,-0.15072205527578675,-0.05327751461039673,0.005243492278935696,0.02305381516996123,-0.03579916551305728,0.005541673729087645,-0.03615465449990686,0.029953097465621924,-0.047278227058155056,-0.01841173184638362,,0.009607946719470682,0.01014940091728689,0.023769674512503676,,-0.10784722821112847,,0.015950830722773736,0.024417375115563508,,,,0.14074663682199995,-0.026265279485609038,,,,,,,,,0.0063435958712149765,-0.020475319833163187,,0.02060859619923604,0.06230926391559456,0.05531687367621295,0.044097414044978474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0005046559049731343,-0.01568612948584003,0.052187176838912115,0.6988415718482436,0.5218458459148887,0.6569064038867026,0.329579958232878,0.8479509805841334,0.5672151276661604,0.5299040995514473,0.6129026308282306,0.5680236381153295,0.7223818134629917,0.4229755312983607,,0.7853549496239249,0.8614367311838415,0.5781860422187801,,0.6575649803180469,,0.7789389682712022,0.5618936999517968,,,,0.48938508951144033,0.35539416286019815,,,,,,,,,0.7093756681674042,0.45084926188923846,,0.5412531088856317,0.476413583923719,0.8455480400579277,0.5203220279153906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4349276522659937,0.5917895332902368,0.5361713913810378,0.08947145034226413,-0.28882486361761517,-0.08110366148841132,0.01590962116461795,0.027187674403159487,-0.06311391175400244,0.010457880461348676,-0.05898923039545478,0.05273213200247197,-0.06544769840136232,-0.04352907079486888,,0.012233890833783557,0.011781945846840005,0.04111077192608786,,-0.16400999359632198,,0.020477638650144094,0.04345550611736384,,,,0.2875989478194139,-0.07390464512480202,,,,,,,,,0.008942505580439452,-0.045415001340721774,,0.038075709609624975,0.1307881765301873,0.06542132564392585,0.0847502348144852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0011603214979407565,-0.026506263804005028,0.09733301268553615
2012-10-31,1.0909052490590807,-2.6976336072119893,-0.728996982910561,0.13277378642814472,-0.04148915287727506,-0.28706853501090424,0.007180855161095118,-0.4779353575309103,0.5447517084709653,-0.33897375390939716,-0.5880793206317046,,0.17034315283955379,0.15051815041735167,0.37215288801339746,,-1.290708464076092,,0.20799770122544742,0.39912494090311873,,,,2.2573153052101045,-0.3420138921693015,,,,,,,,,-0.12055262385133565,-0.6635073268602425,,0.37568037837629037,0.9271647929664465,0.6458199131142784,0.5804725885303236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11391067732135562,-0.10150922686851895,0.7750831323240843,0.07255769025035383,-0.13335693095505358,-0.058053726483820116,0.005645233893799942,-0.0028099032260963763,-0.018764777989046834,0.0003280858628661003,-0.029864818743961203,0.02687098269053532,-0.021859459844904755,-0.030858779688397894,,0.010163660368438064,0.009879871454556021,0.021549384050646523,,-0.10620447331134043,,0.01610416782972847,0.021639838154276073,,,,0.1421811446462512,-0.02019461023327385,,,,,,,,,-0.005970364233896364,-0.04286949672789661,,0.021971932222918437,0.05163249921541603,0.044182682567640075,0.0335621911428557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006068919426164724,-0.005712143409603267,0.0559622566782654,0.7089538313464402,0.5219405858277444,0.660286329977404,0.3385829773397305,0.8462861538098739,0.5715389526712927,0.5342966098136521,0.6143543625807334,0.5712181625055909,0.7154435140519165,0.42661089910507344,,0.7922508275701469,0.8698250500287474,0.5870144134052714,,0.6655750815512613,,0.7847387258986211,0.5602279325954181,,,,0.488153583343715,0.3569298198376581,,,,,,,,,0.7164860959263148,0.4644661919635893,,0.5522405922624855,0.4797656417413928,0.862153574922575,0.5268837075241624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4361369197346228,0.6078728300724077,0.5354735113551127,0.10234473253717068,-0.25550212912368775,-0.08792204812994811,0.01667311788133866,-0.003320275551533657,-0.032832019412400326,0.0006140519270382935,-0.048611714285721565,0.047041541138447815,-0.030553718659218305,-0.07233471942027772,,0.01282884159251719,0.011358458179871337,0.03671014468901797,,-0.15956798301975006,,0.02052169377940058,0.038626846137469896,,,,0.2912631382778147,-0.05657865807474124,,,,,,,,,-0.008332840327037372,-0.0922984222956259,,0.039786883707518116,0.10762025189633609,0.05124688205533204,0.06369942866627086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.013915170102676684,-0.009396938186763269,0.10450985061173759
2012-11-30,1.022017251560964,-2.8256296171944575,-1.0229722177563798,-0.014739463942597689,0.25369912367141234,-0.21463483133701025,-0.4201178229707274,-0.7998131578008445,0.44275669105406157,-0.04414202734152215,-0.6815446949532727,,-0.28474241204953327,0.12141613913676476,0.10622071338958304,,-1.324033488150835,,0.26793771431883556,0.4140489999940388,,,,2.394341842356135,-0.45602775679109836,,,,,,,,,-0.4884752050212794,-0.8574743370404293,,0.3421301601337195,0.7174723973476306,0.4546242045670515,0.32253302463131234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.37372510153537003,-0.08706770490038752,0.7596984883342535,0.0691224628842373,-0.14408722860137857,-0.08345649877229648,-0.0006489976024133318,0.017107075717997338,-0.014578461595017411,-0.018786496308587735,-0.05122195122137809,0.02232167633163197,-0.0028793976711872634,-0.03691182119181097,,-0.01672277750205715,0.008290609575926198,0.006134350074545898,,-0.10869999404444798,,0.02071580227108983,0.02240428473604793,,,,0.1502513121112797,-0.027866921298625825,,,,,,,,,-0.024279378037029654,-0.05744564310976359,,0.019986781460216162,0.04093405175984496,0.03167973101222422,0.019067578445154925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.020658694516560768,-0.005070920332172007,0.05696801331297426,0.7062998234800116,0.5225217015518364,0.6482557467189733,0.34693439481818034,0.8519626250165324,0.58000027003747,0.5343273382342645,0.6128063772227393,0.5752033323030974,0.7046039535889401,0.4260495256741677,,0.7991191618633365,0.8815302627253091,0.583451727107896,,0.6649000286710716,,0.7900606509791228,0.5593188595858709,,,,0.48568348980560627,0.3578714233889507,,,,,,,,,0.7184054921055536,0.4696892950232274,,0.5506879241155122,0.4927258749431095,0.875359891758281,0.5141471976977303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4348336544612018,0.6219279304967622,0.5443694023740764,0.097865609740158,-0.2757535776475008,-0.12874008320743183,-0.001870663768443758,0.020079608207772465,-0.025135266909575047,-0.03515915238525788,-0.08358586516922005,0.038806583825334647,-0.0040865477074332164,-0.0866373953436583,,-0.020926512965931156,0.009404792922588081,0.010513894791182084,,-0.16348321455438267,,0.026220521482011185,0.04005637276854287,,,,0.3093605511923361,-0.07786852896700501,,,,,,,,,-0.03379620326380014,-0.12230562569437047,,0.03629420690914541,0.08307672448614807,0.03619052153348163,0.03708583559443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.047509419532300826,-0.008153549766002039,0.10464955058922899
2012-12-28,1.0286722355573243,-2.6781450175848285,-0.8770624505471453,0.13287529385992192,0.13579615004575507,-0.20547032705226895,-0.30229540853000164,-0.7648843059919639,0.6060464879637754,0.13720574229284138,-0.4898380701076823,,-0.3195796314724405,0.04603110703534144,-0.009580313849714852,,-1.300027013069865,,0.27045853723497937,0.36216273507726027,,,,2.4632101783974427,-0.4778341499860397,,,,,,,,,-0.461894311400716,-0.7690890270274927,,0.638208278458662,0.8727071416096474,0.6062015718716297,0.23757332268576584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1604843316315909,-0.10843038840053888,0.9253154567792776,0.07069928613431765,-0.13831382132276804,-0.07265400190822012,0.005969097781961399,0.00924863970044936,-0.013993320012562163,-0.013788850462833766,-0.049917220738686416,0.03107951853276456,0.009036709390383934,-0.02692074266835195,,-0.019123963722517862,0.0031947095393082396,-0.0005613188727599736,,-0.1065093195399116,,0.02085523232729801,0.019634605299875332,,,,0.15650169145824366,-0.029394166169045964,,,,,,,,,-0.023357232028750702,-0.05246791169141675,,0.03748008858222484,0.05046463715376359,0.0428089597144764,0.014321882261575788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.008886348254988661,-0.006434442243724298,0.07011233480187941,0.7106109511127965,0.5236623538800704,0.6379907757133542,0.35644010334541376,0.8495747423393073,0.5900581786339325,0.5339008530487428,0.6077445131246895,0.5801665326947482,0.6946689618309473,0.41780837129218773,,0.8015275610600727,0.8898158208806575,0.5911675493161832,,0.6655074481670646,,0.7913138700949858,0.5580227472210788,,,,0.4944520886897176,0.3561825360484533,,,,,,,,,0.7182430001210485,0.47880155979072064,,0.5562303119583839,0.49818381487913665,0.881299484164535,0.5143079635662174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43497521794607846,0.6285074619563552,0.5297553285229691,0.09949084801409912,-0.2641278684593867,-0.11387939242065652,0.016746425909816755,0.010886198988194016,-0.023715153046363433,-0.025826612533198002,-0.0821352059305964,0.053569995477689675,0.013008655758227301,-0.06443322948530716,,-0.023859396297271632,0.0035903042678499596,-0.0009495089394018053,,-0.16004226524174708,,0.026355196231799452,0.0351860303144532,,,,0.31651538144568914,-0.08252556819643546,,,,,,,,,-0.03251995776473173,-0.10958174763329916,,0.06738231947529862,0.10129722332711012,0.04857481535355596,0.027846899671293612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02042955066945964,-0.01023765449609112,0.13234852209483625
