strategy,N,timed,n,ann_ret,ann_vol,sharpe,max_dd,ann_alpha,t_alpha,beta,ann_turn
Full EW (no select),all,False,3423,0.22578207775475695,0.1912985219172705,1.1802604405506036,-0.3789532031850934,0.054753668060576674,1.764576984602717,1.183890234879518,0.8398151939308679
Full EW timed (no select),all,True,3423,0.17775235310368634,0.11178245698173803,1.590163232256792,-0.14440563790498084,0.12746887905464332,3.64649926861508,0.3480714929696586,29.269261968130664
Top-5 always-on,5,False,3423,0.2577494496992863,0.2305418129354338,1.1180160614572439,-0.4401042798213436,0.08743747605323796,1.9031666860883565,1.178930932253623,1.951732991014121
Top-5 timed,5,True,3423,0.17894520125583616,0.15645489420279765,1.1437494631768212,-0.1652226318646638,0.12520298269278468,3.0380063804495037,0.3720135612049868,29.922978177150192
Top-10 always-on,10,False,3423,0.22524334082651287,0.20323457533985984,1.1082924273581345,-0.41465914174623164,0.05781113086503111,1.586059236648188,1.158996676237237,1.5096277278562258
Top-10 timed,10,True,3423,0.1792653644265381,0.12937645895718006,1.3856103797513106,-0.16766353859967809,0.12863474318920287,3.3551459644859367,0.3504745099129836,29.70731707317073
Top-15 always-on,15,False,3423,0.23811606208159625,0.1978423551220154,1.2035646357664052,-0.4297081721678324,0.07000544107605092,1.9552570060847483,1.163692762763081,1.3335044929396664
Top-15 timed,15,True,3423,0.18792579542772586,0.12217660083831879,1.5381488283211908,-0.16172015275916463,0.13775217449395946,3.58733910527603,0.34731106941967815,29.613863928112963
Top-20 always-on,20,False,3423,0.23500016381684202,0.19173186655345203,1.2256708706861068,-0.39132372614359157,0.06962983075379749,1.9393295036508067,1.1447239835895737,0.9974326059050065
Top-20 timed,20,True,3423,0.18388142098360644,0.11660409179776174,1.5769722841504619,-0.1621726526590359,0.13469926969704776,3.535664442631492,0.3404479334318764,29.40539152759949
