industry_code,industry_name,weight,freq,src,dst,n,beta,t_beta,p_beta,gamma_dst_ar1,t_gamma,delta_mkt,t_delta,alpha,r2,r2_adj
1000,水泥,EW,D,上游,下游,4245,0.04169404416354511,0.9622812777726977,0.3359083309566857,0.023478116717601617,0.46414420960593433,0.021928551137734505,0.630790995731523,0.00046560312301304613,0.006737405232894456,0.0060347908060371935
1000,水泥,EW,W,上游,下游,875,-0.02403777502135834,-0.22946903256140447,0.8185043869465468,-0.018197704372241764,-0.14542504362990682,0.03469823668121298,0.5740691802925003,0.0021406776936310993,0.0008942408834771154,-0.002546995944708419
1000,水泥,EW,M,上游,下游,207,-0.06688835487633495,-0.3414788162047623,0.732743149745918,0.29129214401611786,1.1855782165705604,-0.1338055413513543,-0.9459688984918972,0.009240730701768885,0.023445764748287412,0.009013928759345702
1000,水泥,EW,D,下游,上游,4245,0.06000286187020018,1.1289662879143718,0.2589120553009042,0.023637278738836646,0.503759141366207,-0.0019904414461986964,-0.05278954037071503,0.00033956432697424314,0.005656264955439805,0.004952885751211111
1000,水泥,EW,W,下游,上游,875,0.1432352522267071,1.1077923564151746,0.26795150190599604,-0.15878343185505595,-1.3764333271620903,0.03796886585426416,0.5890022271984228,0.0014087405102664288,0.005011064322469894,0.0015840071387355215
1000,水泥,EW,M,下游,上游,207,0.33693005249072533,1.2702720093545277,0.20398775506402644,-0.15702356001124596,-0.7755227884827869,-0.15794291983523964,-1.0228198991752708,0.007371259760340311,0.015503697257614246,0.0009544908131453589
1000,水泥,EW,D,上游,中游,4245,0.02867931018049699,0.5995528075443937,0.5488043065338313,0.05458735901449021,0.9616644443290231,0.021588599015472717,0.552924217323968,0.0003586822124698333,0.009209522872140052,0.00850865717268623
1000,水泥,EW,W,上游,中游,875,0.01929377251180753,0.15990491901205575,0.8729559735726162,-0.07226665499168392,-0.5491534823356562,0.057253158289566626,0.8850367648750176,0.001705471541835994,0.0014208665450967661,-0.002018556417434425
1000,水泥,EW,M,上游,中游,207,0.13645469788542494,0.5321547865667691,0.5946187948178723,0.03841810128507316,0.14606364350850032,-0.09801971332551182,-0.7073725213964565,0.008053759210040564,0.01661937225450738,0.002086653617874412
1000,水泥,EW,D,中游,上游,4245,0.06318364444301912,1.0687689760545476,0.2851737820056073,0.017486684727069744,0.34525665507492104,-0.002559265996167584,-0.06230686175093463,0.0003467589453012153,0.0057004760084311545,0.004997128078231938
1000,水泥,EW,W,中游,上游,875,0.028591103183045797,0.2218371902573328,0.8244406270407294,-0.0824739996082781,-0.6773052643691554,0.0652546746345021,1.0419891945925075,0.00150011028839171,0.0024322338773878904,-0.0010037056155718371
1000,水泥,EW,M,中游,上游,207,0.10599424839573286,0.385598602115555,0.6997939686645323,0.010207778866640371,0.037620688979266494,-0.11588614493539796,-0.8254188119727212,0.008304091689654578,0.005871386100228193,-0.008820169770211939
1000,水泥,EW,D,中游,下游,4245,0.08133770468350816,1.6467525008081356,0.09960892814169167,-0.005835633692180719,-0.11984603200714913,0.00925802816387664,0.2507996889070181,0.00046849093972462766,0.007520585221174603,0.0068185248004396515
1000,水泥,EW,W,中游,下游,875,-0.07501459035065056,-0.6961590811271144,0.4863292100827027,0.025607362089787783,0.22162048443776294,0.04507926532211376,0.759681092210513,0.0021144864179087194,0.0015951830530860356,-0.001843639508154915
1000,水泥,EW,M,中游,下游,207,-0.29054498528950956,-1.2403624015029435,0.21484138116845342,0.48470295858822166,1.7241808584524545,-0.10206514107906346,-0.7315947533232,0.008818404291651321,0.03153962476355043,0.017227402469415676
1000,水泥,EW,D,下游,中游,4245,0.04027888975515163,0.7769155508551705,0.4372085958091514,0.05093901237470289,0.9847464940865079,0.015182047808114716,0.38854621701283326,0.0003534224668703869,0.0092910249378515,0.008590216891356195
1000,水泥,EW,W,下游,中游,875,0.11645713602429326,0.9387888636768156,0.34783915769345575,-0.14682199776883587,-1.3022419632894013,0.044620006790300815,0.655960981326264,0.001631189920995139,0.0029072463044138575,-0.0005270570952264908
1000,水泥,EW,M,下游,中游,207,0.4479391748255523,1.524342096471089,0.1274232764578548,-0.2097162265328146,-0.9245028510585176,-0.13519382855732273,-0.9426996191915473,0.006854494018610729,0.03265856801351963,0.018362881826527233
2000,造紙,EW,D,上游,下游,4245,0.07722291828062443,1.6760806695737944,0.0937223925386014,-0.04507933300297887,-0.9839638009748525,0.09437000255435435,2.27694700186961,0.000426021384333096,0.008217568166494327,0.0075160007777886895
2000,造紙,EW,W,上游,下游,875,0.11890611056888976,1.1967284101241267,0.23141242981827648,-0.05554897314122586,-0.5493357861300857,0.02958926729379349,0.46692513896283044,0.0017182210223080916,0.007453648308537897,0.004035004158050581
2000,造紙,EW,M,上游,下游,207,-0.43881211363895256,-1.7593453609691685,0.0785188663643416,0.2721728212091457,1.0831877708431406,0.25207101159386675,1.5771566439027127,0.009763829118209538,0.03645406356199066,0.022214468442217083
2000,造紙,EW,D,下游,上游,4245,-0.045490181234660275,-1.0130792672531006,0.31102230040106404,0.0794284562592762,1.7589161732814784,0.07763190247930586,1.8150285521492953,0.00037997251455783586,0.006573013387546123,0.005870282673130278
2000,造紙,EW,W,下游,上游,875,0.004342048230781382,0.04216706446400638,0.966365517946986,0.09834507974456821,0.9810971484981174,-0.019703357626620753,-0.30493830314055465,0.0014487785983948722,0.008909202774965652,0.005495572015292716
2000,造紙,EW,M,下游,上游,207,0.3755276687270633,1.4915176970034292,0.13582562847149013,-0.5562219152642711,-2.13245814277888,0.2274117166054699,1.442967555093261,0.009104634541629743,0.04433932208403735,0.03021625787838267
