n,ann_ret,ann_vol,sharpe,max_dd,win,ann_alpha,t_alpha,beta,target,predictor,smooth_N,hold_K,cost_rt,avg_daily_turn,ann_turn
4672,0.2911222067786004,0.12540505612064282,2.3214550974606127,-0.18731833268390874,0.3645119863013699,0.24037871591555732,10.514850646836198,0.4221783370260516,xind,D100,1,1,0.0,0.4351455479452055,109.65667808219179
4672,0.1266371896553128,0.12645093145515973,1.0014729681941419,-0.30791565963369905,0.3531678082191781,0.07581696038821573,3.123546024569138,0.42281678919515736,xind,D100,1,1,0.003,0.4351455479452055,109.65667808219179
4672,0.01698051157312099,0.1277510392044041,0.132918774507594,-0.40766546496432576,0.339041095890411,-0.033890876630011973,-1.3388521035556302,0.4232424239745608,xind,D100,1,1,0.005,0.4351455479452055,109.65667808219179
4672,-0.1475045055501667,0.13056947540804598,-1.1297012957216581,-0.9588526029962039,0.3184931506849315,-0.1984526321573536,-7.3499494596578145,0.42388087614366676,xind,D100,1,1,0.008,0.4351455479452055,109.65667808219179
4672,-0.25716118363235846,0.13299866344105674,-1.9335621650538537,-0.9944684085726702,0.3056506849315068,-0.30816046917558104,-10.928572237930638,0.42430651092307076,xind,D100,1,1,0.01,0.4351455479452055,109.65667808219179
4668,0.1590670304465475,0.12381244344433359,1.2847418726379023,-0.33535627058079753,0.3361182519280206,0.10942038663499884,4.2342791737403225,0.40642398764550897,xind,D100,1,5,0.0,0.09575835475578406,24.131105398457585
4668,0.12287037234886108,0.12372749441777282,0.9930725012015712,-0.36645985804503034,0.3344044558697515,0.07329711672259853,2.803070957593079,0.4058232074795171,xind,D100,1,5,0.003,0.09575835475578406,24.131105398457585
4668,0.09873926695040351,0.1238912288601794,0.7969835141585222,-0.38640716510577633,0.33161953727506427,0.04921493678099837,1.8654374144937185,0.4054226873688556,xind,D100,1,5,0.005,0.09575835475578406,24.131105398457585
4668,0.06254260885271713,0.12446564186954437,0.502488943240012,-0.41519185816298787,0.3273350471293916,0.013091666868598115,0.4889570210077179,0.40482190720286376,xind,D100,1,5,0.008,0.09575835475578406,24.131105398457585
4668,0.038411503454259546,0.12506544226562125,0.3071312327243762,-0.43365022105235884,0.3249785775492716,-0.01099051307300209,-0.40610901497973073,0.40442138709220227,xind,D100,1,5,0.01,0.09575835475578406,24.131105398457585
4663,0.1534940523373415,0.12842695313481103,1.1951856568318437,-0.3577710057860678,0.34312674244048896,0.10057529082836522,4.097366872436828,0.4338373600143881,xind,D100,1,10,0.0,0.04717992708556723,11.889341625562942
4663,0.1356600398989971,0.1284654260063856,1.0560042815897712,-0.3748784463552254,0.34248337979841303,0.08265938298694481,3.321384866803792,0.4345087530034657,xind,D100,1,10,0.003,0.04717992708556723,11.889341625562942
4663,0.12377069827343416,0.12860125072198322,0.9624377490776355,-0.3860433138751326,0.3405532918721853,0.0707154444259979,2.813970389759667,0.43495634832951746,xind,D100,1,10,0.005,0.04717992708556723,11.889341625562942
4663,0.10593668583508974,0.12896955580491082,0.8214084725184109,-0.4024380864364192,0.3381942955179069,0.052799536584577526,2.0691224793787786,0.43562774131859505,xind,D100,1,10,0.008,0.04717992708556723,11.889341625562942
4663,0.09404734420952679,0.12932407548198394,0.727222242718669,-0.4131372725227658,0.3366931160197298,0.04085559802363062,1.5840943592048122,0.43607533664464676,xind,D100,1,10,0.01,0.04717992708556723,11.889341625562942
4653,0.1283769169324793,0.14001759182888798,0.9168627688538277,-0.47450516473709947,0.33935095637223295,0.06495553236475408,2.050072161348845,0.5240073722473794,xind,D100,1,20,0.0,0.0223511712873415,5.6324951644100585
4653,0.11992817418586421,0.13999082337901933,0.8566859690592982,-0.47924857798913323,0.33870621104663656,0.05649787299978286,1.78242177414168,0.5240810441450523,xind,D100,1,20,0.003,0.0223511712873415,5.6324951644100585
4653,0.11429567902145414,0.14002215241835436,0.8162685478506618,-0.4823909882347983,0.33784655061250807,0.05085943342313535,1.6037626290181968,0.5241301587435009,xind,D100,1,20,0.005,0.0223511712873415,5.6324951644100585
4653,0.10584693627483907,0.14014284202803007,0.7552789335731365,-0.4870749655973917,0.3365570599613153,0.0424017740581641,1.3356674197981169,0.5242038306411737,xind,D100,1,20,0.008,0.0223511712873415,5.6324951644100585
