A,A_name,B,B_name,L_strict,L_loose,S_undir
4100,太空衛星科技,M000,食品,0,0,0
4100,太空衛星科技,N000,石化及塑橡膠,0,0,0
4100,太空衛星科技,O000,紡織,0,0,0
4100,太空衛星科技,P000,電機機械,0,0,3
4100,太空衛星科技,Q000,鋼鐵,0,0,0
4100,太空衛星科技,R000,軟體服務,0,0,3
4100,太空衛星科技,R300,電子商務,0,0,1
4100,太空衛星科技,S000,建材營造,0,0,1
4100,太空衛星科技,T000,交通運輸及航運,0,0,0
4100,太空衛星科技,U000,金融,0,0,0
4100,太空衛星科技,V000,貿易百貨,0,0,0
4100,太空衛星科技,W000,油電燃氣,0,0,0
4100,太空衛星科技,X000,其他,0,0,1
4100,太空衛星科技,Y000,文化創意,0,0,0
5100,區塊鏈,1000,水泥,0,0,0
5100,區塊鏈,2000,造紙,0,0,0
5100,區塊鏈,3000,汽車,0,0,0
5100,區塊鏈,4100,太空衛星科技,0,0,1
5100,區塊鏈,5200,金融科技,0,0,4
5100,區塊鏈,5300,人工智慧,0,0,6
5100,區塊鏈,5400,雲端運算,0,0,5
5100,區塊鏈,5500,資通訊安全,0,0,4
5100,區塊鏈,5600,大數據,0,0,4
5100,區塊鏈,5700,體驗科技,0,0,2
5100,區塊鏈,5800,運動科技,0,0,2
5100,區塊鏈,6000,自動化,0,0,0
5100,區塊鏈,B000,休閒娛樂,0,0,0
5100,區塊鏈,C100,製藥,0,0,0
5100,區塊鏈,C200,醫療器材,0,0,0
5100,區塊鏈,C300,食品生技,0,0,0
5100,區塊鏈,C400,再生醫療,0,0,0
5100,區塊鏈,D000,半導體,0,0,1
5100,區塊鏈,F000,電腦週邊,0,0,5
5100,區塊鏈,G000,平面顯示器,0,0,1
5100,區塊鏈,H000,觸控面板,0,0,0
5100,區塊鏈,I000,通信網路,0,0,2
5100,區塊鏈,J000,被動元件,0,0,0
5100,區塊鏈,K000,連接器,0,0,0
5100,區塊鏈,L000,印刷電路板,0,0,0
5100,區塊鏈,M000,食品,0,0,0
5100,區塊鏈,N000,石化及塑橡膠,0,0,0
5100,區塊鏈,O000,紡織,0,0,0
5100,區塊鏈,P000,電機機械,0,0,0
5100,區塊鏈,Q000,鋼鐵,0,0,0
5100,區塊鏈,R000,軟體服務,0,0,5
5100,區塊鏈,R300,電子商務,0,0,3
5100,區塊鏈,S000,建材營造,0,0,0
5100,區塊鏈,T000,交通運輸及航運,0,0,0
5100,區塊鏈,U000,金融,0,0,0
5100,區塊鏈,V000,貿易百貨,0,0,0
5100,區塊鏈,W000,油電燃氣,0,0,0
5100,區塊鏈,X000,其他,0,0,1
5100,區塊鏈,Y000,文化創意,0,0,2
5200,金融科技,1000,水泥,0,0,0
5200,金融科技,2000,造紙,0,0,0
5200,金融科技,3000,汽車,0,0,0
5200,金融科技,4100,太空衛星科技,0,0,1
5200,金融科技,5100,區塊鏈,0,0,4
5200,金融科技,5300,人工智慧,0,0,15
5200,金融科技,5400,雲端運算,0,0,15
5200,金融科技,5500,資通訊安全,0,0,11
5200,金融科技,5600,大數據,0,0,14
5200,金融科技,5700,體驗科技,0,0,1
5200,金融科技,5800,運動科技,0,0,1
5200,金融科技,6000,自動化,0,0,0
5200,金融科技,B000,休閒娛樂,0,0,2
5200,金融科技,C100,製藥,0,0,0
5200,金融科技,C200,醫療器材,0,0,1
5200,金融科技,C300,食品生技,0,0,0
5200,金融科技,C400,再生醫療,0,0,0
5200,金融科技,D000,半導體,0,0,0
5200,金融科技,F000,電腦週邊,0,0,3
5200,金融科技,G000,平面顯示器,0,0,0
5200,金融科技,H000,觸控面板,0,0,0
5200,金融科技,I000,通信網路,0,0,2
5200,金融科技,J000,被動元件,0,0,0
5200,金融科技,K000,連接器,0,0,0
5200,金融科技,L000,印刷電路板,0,0,0
5200,金融科技,M000,食品,0,0,0
5200,金融科技,N000,石化及塑橡膠,0,0,0
5200,金融科技,O000,紡織,0,0,0
5200,金融科技,P000,電機機械,0,0,0
5200,金融科技,Q000,鋼鐵,0,0,0
5200,金融科技,R000,軟體服務,0,0,18
5200,金融科技,R300,電子商務,0,0,15
5200,金融科技,S000,建材營造,0,0,0
5200,金融科技,T000,交通運輸及航運,0,0,0
5200,金融科技,U000,金融,0,0,2
5200,金融科技,V000,貿易百貨,0,0,0
5200,金融科技,W000,油電燃氣,0,0,0
5200,金融科技,X000,其他,0,0,2
5200,金融科技,Y000,文化創意,0,0,1
5300,人工智慧,1000,水泥,0,0,0
5300,人工智慧,2000,造紙,0,0,0
5300,人工智慧,3000,汽車,0,0,4
5300,人工智慧,4100,太空衛星科技,0,0,5
5300,人工智慧,5100,區塊鏈,0,0,6
5300,人工智慧,5200,金融科技,0,0,15
5300,人工智慧,5400,雲端運算,0,0,49
5300,人工智慧,5500,資通訊安全,0,0,26
5300,人工智慧,5600,大數據,0,0,46
5300,人工智慧,5700,體驗科技,0,0,12
5300,人工智慧,5800,運動科技,0,0,5
5300,人工智慧,6000,自動化,0,0,5
5300,人工智慧,B000,休閒娛樂,0,0,1
5300,人工智慧,C100,製藥,0,0,0
5300,人工智慧,C200,醫療器材,0,0,7
5300,人工智慧,C300,食品生技,0,0,0
5300,人工智慧,C400,再生醫療,0,0,0
5300,人工智慧,D000,半導體,0,0,16
5300,人工智慧,F000,電腦週邊,0,0,27
5300,人工智慧,G000,平面顯示器,0,0,9
5300,人工智慧,H000,觸控面板,0,0,3
5300,人工智慧,I000,通信網路,0,0,16
5300,人工智慧,J000,被動元件,0,0,1
5300,人工智慧,K000,連接器,0,0,1
5300,人工智慧,L000,印刷電路板,0,0,5
5300,人工智慧,M000,食品,0,0,0
5300,人工智慧,N000,石化及塑橡膠,0,0,0
5300,人工智慧,O000,紡織,0,0,0
5300,人工智慧,P000,電機機械,0,0,6
5300,人工智慧,Q000,鋼鐵,0,0,0
5300,人工智慧,R000,軟體服務,0,0,45
5300,人工智慧,R300,電子商務,0,0,13
5300,人工智慧,S000,建材營造,0,0,3
5300,人工智慧,T000,交通運輸及航運,0,0,0
5300,人工智慧,U000,金融,0,0,0
5300,人工智慧,V000,貿易百貨,0,0,0
5300,人工智慧,W000,油電燃氣,0,0,0
5300,人工智慧,X000,其他,0,0,13
5300,人工智慧,Y000,文化創意,0,0,3
5400,雲端運算,1000,水泥,0,0,0
5400,雲端運算,2000,造紙,0,0,0
5400,雲端運算,3000,汽車,2,2,4
5400,雲端運算,4100,太空衛星科技,2,2,5
5400,雲端運算,5100,區塊鏈,0,0,5
5400,雲端運算,5200,金融科技,0,0,15
5400,雲端運算,5300,人工智慧,0,0,49
5400,雲端運算,5500,資通訊安全,0,0,30
5400,雲端運算,5600,大數據,0,0,48
5400,雲端運算,5700,體驗科技,0,0,11
5400,雲端運算,5800,運動科技,3,3,5
5400,雲端運算,6000,自動化,2,2,3
5400,雲端運算,B000,休閒娛樂,0,0,2
5400,雲端運算,C100,製藥,0,0,0
5400,雲端運算,C200,醫療器材,1,4,7
5400,雲端運算,C300,食品生技,0,0,1
5400,雲端運算,C400,再生醫療,0,0,0
5400,雲端運算,D000,半導體,2,6,11
5400,雲端運算,F000,電腦週邊,9,9,29
5400,雲端運算,G000,平面顯示器,2,5,6
5400,雲端運算,H000,觸控面板,0,0,2
5400,雲端運算,I000,通信網路,0,0,17
5400,雲端運算,J000,被動元件,0,1,2
5400,雲端運算,K000,連接器,0,1,2
5400,雲端運算,L000,印刷電路板,2,2,2
5400,雲端運算,M000,食品,0,1,1
5400,雲端運算,N000,石化及塑橡膠,0,0,0
5400,雲端運算,O000,紡織,0,0,0
5400,雲端運算,P000,電機機械,1,1,7
5400,雲端運算,Q000,鋼鐵,0,0,0
5400,雲端運算,R000,軟體服務,0,0,45
5400,雲端運算,R300,電子商務,0,0,15
5400,雲端運算,S000,建材營造,2,2,2
5400,雲端運算,T000,交通運輸及航運,0,0,0
5400,雲端運算,U000,金融,0,0,0
5400,雲端運算,V000,貿易百貨,0,0,0
5400,雲端運算,W000,油電燃氣,0,0,0
5400,雲端運算,X000,其他,0,0,12
5400,雲端運算,Y000,文化創意,0,0,0
5500,資通訊安全,1000,水泥,0,0,0
5500,資通訊安全,2000,造紙,0,0,1
5500,資通訊安全,3000,汽車,0,0,0
5500,資通訊安全,4100,太空衛星科技,0,0,2
5500,資通訊安全,5100,區塊鏈,0,0,4
5500,資通訊安全,5200,金融科技,0,0,11
5500,資通訊安全,5300,人工智慧,0,0,26
5500,資通訊安全,5400,雲端運算,0,0,30
5500,資通訊安全,5600,大數據,0,0,26
5500,資通訊安全,5700,體驗科技,0,0,3
5500,資通訊安全,5800,運動科技,0,0,1
5500,資通訊安全,6000,自動化,0,0,3
5500,資通訊安全,B000,休閒娛樂,0,0,0
5500,資通訊安全,C100,製藥,0,0,0
5500,資通訊安全,C200,醫療器材,0,0,3
5500,資通訊安全,C300,食品生技,0,0,0
5500,資通訊安全,C400,再生醫療,0,0,0
5500,資通訊安全,D000,半導體,0,0,6
5500,資通訊安全,F000,電腦週邊,0,0,11
5500,資通訊安全,G000,平面顯示器,0,0,2
5500,資通訊安全,H000,觸控面板,0,0,1
5500,資通訊安全,I000,通信網路,0,0,14
5500,資通訊安全,J000,被動元件,0,0,0
5500,資通訊安全,K000,連接器,0,0,1
5500,資通訊安全,L000,印刷電路板,0,0,0
5500,資通訊安全,M000,食品,0,0,1
5500,資通訊安全,N000,石化及塑橡膠,0,0,0
5500,資通訊安全,O000,紡織,0,0,0
5500,資通訊安全,P000,電機機械,0,0,2
5500,資通訊安全,Q000,鋼鐵,0,0,0
5500,資通訊安全,R000,軟體服務,0,0,28
5500,資通訊安全,R300,電子商務,0,0,9
5500,資通訊安全,S000,建材營造,0,0,1
5500,資通訊安全,T000,交通運輸及航運,0,0,1
5500,資通訊安全,U000,金融,0,0,0
5500,資通訊安全,V000,貿易百貨,0,0,0
5500,資通訊安全,W000,油電燃氣,0,0,0
5500,資通訊安全,X000,其他,0,0,6
5500,資通訊安全,Y000,文化創意,0,0,0
5600,大數據,1000,水泥,0,0,0
5600,大數據,2000,造紙,0,0,0
5600,大數據,3000,汽車,0,0,1
5600,大數據,4100,太空衛星科技,0,0,3
5600,大數據,5100,區塊鏈,0,0,4
5600,大數據,5200,金融科技,0,0,14
5600,大數據,5300,人工智慧,0,0,46
5600,大數據,5400,雲端運算,0,0,48
5600,大數據,5500,資通訊安全,0,0,26
5600,大數據,5700,體驗科技,0,0,9
5600,大數據,5800,運動科技,0,0,2
5600,大數據,6000,自動化,0,0,3
5600,大數據,B000,休閒娛樂,0,0,2
5600,大數據,C100,製藥,0,0,0
5600,大數據,C200,醫療器材,0,0,4
5600,大數據,C300,食品生技,0,0,0
5600,大數據,C400,再生醫療,0,0,0
5600,大數據,D000,半導體,0,0,10
5600,大數據,F000,電腦週邊,0,0,15
5600,大數據,G000,平面顯示器,0,0,2
5600,大數據,H000,觸控面板,0,0,0
5600,大數據,I000,通信網路,0,0,10
5600,大數據,J000,被動元件,0,0,1
5600,大數據,K000,連接器,0,0,1
5600,大數據,L000,印刷電路板,0,0,2
5600,大數據,M000,食品,0,0,0
5600,大數據,N000,石化及塑橡膠,0,0,0
5600,大數據,O000,紡織,0,0,0
5600,大數據,P000,電機機械,0,0,3
5600,大數據,Q000,鋼鐵,0,0,0
5600,大數據,R000,軟體服務,0,0,44
5600,大數據,R300,電子商務,0,0,14
5600,大數據,S000,建材營造,0,0,1
5600,大數據,T000,交通運輸及航運,0,0,0
5600,大數據,U000,金融,0,0,0
5600,大數據,V000,貿易百貨,0,0,0
5600,大數據,W000,油電燃氣,0,0,0
5600,大數據,X000,其他,0,0,7
5600,大數據,Y000,文化創意,0,0,2
5700,體驗科技,1000,水泥,0,0,0
5700,體驗科技,2000,造紙,0,0,0
5700,體驗科技,3000,汽車,0,0,5
5700,體驗科技,4100,太空衛星科技,0,0,3
5700,體驗科技,5100,區塊鏈,0,0,2
5700,體驗科技,5200,金融科技,0,0,1
5700,體驗科技,5300,人工智慧,0,0,12
5700,體驗科技,5400,雲端運算,0,0,11
5700,體驗科技,5500,資通訊安全,0,0,3
5700,體驗科技,5600,大數據,0,0,9
5700,體驗科技,5800,運動科技,0,0,7
5700,體驗科技,6000,自動化,0,0,1
5700,體驗科技,B000,休閒娛樂,0,0,3
5700,體驗科技,C100,製藥,0,0,0
5700,體驗科技,C200,醫療器材,0,0,4
5700,體驗科技,C300,食品生技,0,0,0
5700,體驗科技,C400,再生醫療,0,0,0
5700,體驗科技,D000,半導體,0,0,9
5700,體驗科技,F000,電腦週邊,0,0,13
5700,體驗科技,G000,平面顯示器,0,0,5
5700,體驗科技,H000,觸控面板,0,0,2
5700,體驗科技,I000,通信網路,0,0,11
5700,體驗科技,J000,被動元件,0,0,3
5700,體驗科技,K000,連接器,0,0,2
5700,體驗科技,L000,印刷電路板,0,0,2
5700,體驗科技,M000,食品,0,0,0
5700,體驗科技,N000,石化及塑橡膠,0,0,0
5700,體驗科技,O000,紡織,0,0,0
5700,體驗科技,P000,電機機械,0,0,4
5700,體驗科技,Q000,鋼鐵,0,0,0
5700,體驗科技,R000,軟體服務,0,0,8
5700,體驗科技,R300,電子商務,0,0,2
5700,體驗科技,S000,建材營造,0,0,1
5700,體驗科技,T000,交通運輸及航運,0,0,0
5700,體驗科技,U000,金融,0,0,0
5700,體驗科技,V000,貿易百貨,0,0,0
5700,體驗科技,W000,油電燃氣,0,0,0
5700,體驗科技,X000,其他,0,0,6
5700,體驗科技,Y000,文化創意,0,0,4
5800,運動科技,1000,水泥,0,0,0
5800,運動科技,2000,造紙,0,0,0
5800,運動科技,3000,汽車,0,1,4
5800,運動科技,4100,太空衛星科技,0,1,2
5800,運動科技,5100,區塊鏈,0,0,2
5800,運動科技,5200,金融科技,0,0,1
5800,運動科技,5300,人工智慧,0,0,5
5800,運動科技,5400,雲端運算,0,2,5
5800,運動科技,5500,資通訊安全,0,0,1
5800,運動科技,5600,大數據,0,0,2
5800,運動科技,5700,體驗科技,0,0,7
5800,運動科技,6000,自動化,0,0,0
5800,運動科技,B000,休閒娛樂,0,0,1
5800,運動科技,C100,製藥,0,0,0
5800,運動科技,C200,醫療器材,0,4,6
5800,運動科技,C300,食品生技,0,0,0
5800,運動科技,C400,再生醫療,0,0,0
5800,運動科技,D000,半導體,0,0,6
5800,運動科技,F000,電腦週邊,0,4,10
5800,運動科技,G000,平面顯示器,0,2,6
5800,運動科技,H000,觸控面板,0,1,4
5800,運動科技,I000,通信網路,0,2,8
5800,運動科技,J000,被動元件,0,1,3
5800,運動科技,K000,連接器,0,2,3
5800,運動科技,L000,印刷電路板,0,0,1
5800,運動科技,M000,食品,0,0,0
5800,運動科技,N000,石化及塑橡膠,0,0,1
5800,運動科技,O000,紡織,0,1,1
5800,運動科技,P000,電機機械,0,0,2
5800,運動科技,Q000,鋼鐵,0,0,0
5800,運動科技,R000,軟體服務,0,0,3
5800,運動科技,R300,電子商務,0,0,1
5800,運動科技,S000,建材營造,0,0,0
5800,運動科技,T000,交通運輸及航運,0,0,0
5800,運動科技,U000,金融,0,0,0
5800,運動科技,V000,貿易百貨,0,0,0
5800,運動科技,W000,油電燃氣,0,0,0
5800,運動科技,X000,其他,0,0,7
5800,運動科技,Y000,文化創意,0,0,1
6000,自動化,1000,水泥,0,0,0
6000,自動化,2000,造紙,0,0,0
6000,自動化,3000,汽車,0,0,0
6000,自動化,4100,太空衛星科技,0,0,0
6000,自動化,5100,區塊鏈,0,0,0
6000,自動化,5200,金融科技,0,0,0
6000,自動化,5300,人工智慧,0,0,5
6000,自動化,5400,雲端運算,1,3,3
6000,自動化,5500,資通訊安全,0,0,3
6000,自動化,5600,大數據,0,0,3
6000,自動化,5700,體驗科技,0,0,1
6000,自動化,5800,運動科技,0,0,0
6000,自動化,B000,休閒娛樂,0,0,0
6000,自動化,C100,製藥,0,0,0
6000,自動化,C200,醫療器材,0,0,0
6000,自動化,C300,食品生技,0,0,0
6000,自動化,C400,再生醫療,0,0,0
6000,自動化,D000,半導體,0,3,5
6000,自動化,F000,電腦週邊,1,1,4
6000,自動化,G000,平面顯示器,1,5,5
6000,自動化,H000,觸控面板,0,1,2
6000,自動化,I000,通信網路,0,0,1
6000,自動化,J000,被動元件,0,0,0
6000,自動化,K000,連接器,0,0,0
6000,自動化,L000,印刷電路板,1,1,1
6000,自動化,M000,食品,0,0,0
6000,自動化,N000,石化及塑橡膠,0,0,0
6000,自動化,O000,紡織,0,0,0
6000,自動化,P000,電機機械,2,2,6
6000,自動化,Q000,鋼鐵,0,0,0
6000,自動化,R000,軟體服務,0,0,2
6000,自動化,R300,電子商務,0,0,0
6000,自動化,S000,建材營造,0,0,0
6000,自動化,T000,交通運輸及航運,0,0,0
6000,自動化,U000,金融,0,0,0
6000,自動化,V000,貿易百貨,0,0,0
6000,自動化,W000,油電燃氣,0,0,0
6000,自動化,X000,其他,0,0,3
6000,自動化,Y000,文化創意,0,0,0
B000,休閒娛樂,1000,水泥,0,0,0
B000,休閒娛樂,2000,造紙,0,0,0
B000,休閒娛樂,3000,汽車,0,0,2
B000,休閒娛樂,4100,太空衛星科技,0,0,2
B000,休閒娛樂,5100,區塊鏈,0,0,0
B000,休閒娛樂,5200,金融科技,0,0,2
B000,休閒娛樂,5300,人工智慧,0,0,1
B000,休閒娛樂,5400,雲端運算,0,0,2
B000,休閒娛樂,5500,資通訊安全,0,0,0
B000,休閒娛樂,5600,大數據,0,0,2
B000,休閒娛樂,5700,體驗科技,0,0,3
B000,休閒娛樂,5800,運動科技,0,0,1
B000,休閒娛樂,6000,自動化,0,0,0
B000,休閒娛樂,C100,製藥,0,0,0
B000,休閒娛樂,C200,醫療器材,0,0,4
B000,休閒娛樂,C300,食品生技,0,0,1
B000,休閒娛樂,C400,再生醫療,0,0,0
B000,休閒娛樂,D000,半導體,0,0,2
B000,休閒娛樂,F000,電腦週邊,0,0,6
B000,休閒娛樂,G000,平面顯示器,0,0,1
B000,休閒娛樂,H000,觸控面板,0,0,0
B000,休閒娛樂,I000,通信網路,0,0,2
B000,休閒娛樂,J000,被動元件,0,0,1
B000,休閒娛樂,K000,連接器,0,0,1
B000,休閒娛樂,L000,印刷電路板,0,0,2
B000,休閒娛樂,M000,食品,0,0,2
B000,休閒娛樂,N000,石化及塑橡膠,0,0,0
B000,休閒娛樂,O000,紡織,0,0,1
B000,休閒娛樂,P000,電機機械,0,0,5
B000,休閒娛樂,Q000,鋼鐵,0,0,1
B000,休閒娛樂,R000,軟體服務,0,0,5
B000,休閒娛樂,R300,電子商務,0,0,3
B000,休閒娛樂,S000,建材營造,0,0,7
B000,休閒娛樂,T000,交通運輸及航運,0,0,0
B000,休閒娛樂,U000,金融,0,0,0
B000,休閒娛樂,V000,貿易百貨,0,0,5
B000,休閒娛樂,W000,油電燃氣,0,0,0
B000,休閒娛樂,X000,其他,0,0,6
B000,休閒娛樂,Y000,文化創意,0,0,15
C100,製藥,1000,水泥,0,0,0
C100,製藥,2000,造紙,0,1,1
C100,製藥,3000,汽車,0,0,0
C100,製藥,4100,太空衛星科技,0,0,0
C100,製藥,5100,區塊鏈,0,0,0
C100,製藥,5200,金融科技,0,0,0
C100,製藥,5300,人工智慧,0,0,0
C100,製藥,5400,雲端運算,0,0,0
