A,A_name,B,B_name,L_strict,L_loose,S_undir
C200,醫療器材,D000,半導體,2,4,10
C200,醫療器材,F000,電腦週邊,3,9,22
C200,醫療器材,G000,平面顯示器,5,8,14
C200,醫療器材,H000,觸控面板,1,3,5
C200,醫療器材,I000,通信網路,1,3,17
C200,醫療器材,J000,被動元件,0,3,4
C200,醫療器材,K000,連接器,0,4,13
C200,醫療器材,L000,印刷電路板,0,1,4
C200,醫療器材,M000,食品,0,1,1
C200,醫療器材,N000,石化及塑橡膠,0,0,6
C200,醫療器材,O000,紡織,0,2,5
C200,醫療器材,P000,電機機械,2,3,14
C200,醫療器材,Q000,鋼鐵,0,0,0
C200,醫療器材,R000,軟體服務,0,0,6
C200,醫療器材,R300,電子商務,0,0,3
C200,醫療器材,S000,建材營造,2,4,5
C200,醫療器材,T000,交通運輸及航運,0,0,2
C200,醫療器材,U000,金融,0,0,0
C200,醫療器材,V000,貿易百貨,1,4,4
C200,醫療器材,W000,油電燃氣,0,0,0
C200,醫療器材,X000,其他,0,0,19
C200,醫療器材,Y000,文化創意,0,0,1
C300,食品生技,1000,水泥,0,0,0
C300,食品生技,2000,造紙,0,0,0
C300,食品生技,3000,汽車,0,0,0
C300,食品生技,4100,太空衛星科技,0,0,0
C300,食品生技,5100,區塊鏈,0,0,0
C300,食品生技,5200,金融科技,0,0,0
C300,食品生技,5300,人工智慧,0,0,0
C300,食品生技,5400,雲端運算,0,0,1
C300,食品生技,5500,資通訊安全,0,0,0
C300,食品生技,5600,大數據,0,0,0
C300,食品生技,5700,體驗科技,0,0,0
C300,食品生技,5800,運動科技,0,0,0
C300,食品生技,6000,自動化,0,0,0
C300,食品生技,B000,休閒娛樂,0,0,1
C300,食品生技,C100,製藥,8,11,33
C300,食品生技,C200,醫療器材,2,10,18
C300,食品生技,C400,再生醫療,3,5,7
C300,食品生技,D000,半導體,0,0,2
C300,食品生技,F000,電腦週邊,0,0,0
C300,食品生技,G000,平面顯示器,0,0,1
C300,食品生技,H000,觸控面板,0,0,1
C300,食品生技,I000,通信網路,0,0,1
C300,食品生技,J000,被動元件,0,0,0
C300,食品生技,K000,連接器,0,1,1
C300,食品生技,L000,印刷電路板,0,0,1
C300,食品生技,M000,食品,0,3,8
C300,食品生技,N000,石化及塑橡膠,0,0,3
C300,食品生技,O000,紡織,0,0,0
C300,食品生技,P000,電機機械,0,0,0
C300,食品生技,Q000,鋼鐵,0,0,0
C300,食品生技,R000,軟體服務,0,0,0
C300,食品生技,R300,電子商務,0,0,2
C300,食品生技,S000,建材營造,0,0,1
C300,食品生技,T000,交通運輸及航運,0,0,0
C300,食品生技,U000,金融,0,0,0
C300,食品生技,V000,貿易百貨,1,1,2
C300,食品生技,W000,油電燃氣,0,0,0
C300,食品生技,X000,其他,0,0,4
C300,食品生技,Y000,文化創意,0,0,2
C400,再生醫療,1000,水泥,0,0,0
C400,再生醫療,2000,造紙,0,0,0
C400,再生醫療,3000,汽車,0,0,0
C400,再生醫療,4100,太空衛星科技,0,0,0
C400,再生醫療,5100,區塊鏈,0,0,0
C400,再生醫療,5200,金融科技,0,0,0
C400,再生醫療,5300,人工智慧,0,0,0
C400,再生醫療,5400,雲端運算,0,0,0
C400,再生醫療,5500,資通訊安全,0,0,0
C400,再生醫療,5600,大數據,0,0,0
C400,再生醫療,5700,體驗科技,0,0,0
C400,再生醫療,5800,運動科技,0,0,0
C400,再生醫療,6000,自動化,0,0,0
C400,再生醫療,B000,休閒娛樂,0,0,0
C400,再生醫療,C100,製藥,2,4,10
C400,再生醫療,C200,醫療器材,2,7,8
C400,再生醫療,C300,食品生技,3,5,7
C400,再生醫療,D000,半導體,0,0,1
C400,再生醫療,F000,電腦週邊,0,0,0
C400,再生醫療,G000,平面顯示器,0,0,0
C400,再生醫療,H000,觸控面板,0,0,0
C400,再生醫療,I000,通信網路,0,0,0
C400,再生醫療,J000,被動元件,0,0,0
C400,再生醫療,K000,連接器,0,0,0
C400,再生醫療,L000,印刷電路板,0,0,0
C400,再生醫療,M000,食品,0,0,0
C400,再生醫療,N000,石化及塑橡膠,0,0,0
C400,再生醫療,O000,紡織,0,0,0
C400,再生醫療,P000,電機機械,0,0,0
C400,再生醫療,Q000,鋼鐵,0,0,0
C400,再生醫療,R000,軟體服務,0,0,0
C400,再生醫療,R300,電子商務,0,0,1
C400,再生醫療,S000,建材營造,0,0,0
C400,再生醫療,T000,交通運輸及航運,0,0,0
C400,再生醫療,U000,金融,0,0,0
C400,再生醫療,V000,貿易百貨,0,0,0
C400,再生醫療,W000,油電燃氣,0,0,0
C400,再生醫療,X000,其他,0,0,1
C400,再生醫療,Y000,文化創意,0,0,0
D000,半導體,1000,水泥,0,0,0
D000,半導體,2000,造紙,0,0,0
D000,半導體,3000,汽車,4,5,6
D000,半導體,4100,太空衛星科技,2,5,6
D000,半導體,5100,區塊鏈,0,0,1
D000,半導體,5200,金融科技,0,0,0
D000,半導體,5300,人工智慧,0,0,16
D000,半導體,5400,雲端運算,6,9,11
D000,半導體,5500,資通訊安全,0,0,6
D000,半導體,5600,大數據,0,0,10
D000,半導體,5700,體驗科技,0,0,9
D000,半導體,5800,運動科技,4,4,6
D000,半導體,6000,自動化,1,1,5
D000,半導體,B000,休閒娛樂,0,0,2
D000,半導體,C100,製藥,0,2,3
D000,半導體,C200,醫療器材,5,7,10
D000,半導體,C300,食品生技,0,0,2
D000,半導體,C400,再生醫療,0,0,1
D000,半導體,F000,電腦週邊,24,32,40
D000,半導體,G000,平面顯示器,12,57,58
D000,半導體,H000,觸控面板,4,12,19
D000,半導體,I000,通信網路,11,14,21
D000,半導體,J000,被動元件,2,11,11
D000,半導體,K000,連接器,2,7,7
D000,半導體,L000,印刷電路板,10,25,25
D000,半導體,M000,食品,0,1,1
D000,半導體,N000,石化及塑橡膠,0,7,11
D000,半導體,O000,紡織,0,3,4
D000,半導體,P000,電機機械,4,6,14
D000,半導體,Q000,鋼鐵,0,0,1
D000,半導體,R000,軟體服務,0,0,12
D000,半導體,R300,電子商務,0,0,1
D000,半導體,S000,建材營造,2,6,6
D000,半導體,T000,交通運輸及航運,0,0,1
D000,半導體,U000,金融,0,0,0
D000,半導體,V000,貿易百貨,0,3,4
D000,半導體,W000,油電燃氣,0,0,1
D000,半導體,X000,其他,0,0,34
D000,半導體,Y000,文化創意,0,0,0
F000,電腦週邊,1000,水泥,0,0,0
F000,電腦週邊,2000,造紙,0,0,1
F000,電腦週邊,3000,汽車,7,7,17
F000,電腦週邊,4100,太空衛星科技,2,2,4
F000,電腦週邊,5100,區塊鏈,0,0,5
F000,電腦週邊,5200,金融科技,0,0,3
F000,電腦週邊,5300,人工智慧,0,0,27
F000,電腦週邊,5400,雲端運算,12,17,29
F000,電腦週邊,5500,資通訊安全,0,0,11
F000,電腦週邊,5600,大數據,0,0,15
F000,電腦週邊,5700,體驗科技,0,0,13
F000,電腦週邊,5800,運動科技,2,6,10
F000,電腦週邊,6000,自動化,1,1,4
F000,電腦週邊,B000,休閒娛樂,0,0,6
F000,電腦週邊,C100,製藥,0,0,1
F000,電腦週邊,C200,醫療器材,4,11,22
F000,電腦週邊,C300,食品生技,0,0,0
F000,電腦週邊,C400,再生醫療,0,0,0
F000,電腦週邊,D000,半導體,2,5,40
F000,電腦週邊,G000,平面顯示器,8,10,44
F000,電腦週邊,H000,觸控面板,1,2,13
F000,電腦週邊,I000,通信網路,4,4,69
F000,電腦週邊,J000,被動元件,2,6,13
F000,電腦週邊,K000,連接器,0,3,22
F000,電腦週邊,L000,印刷電路板,0,0,8
F000,電腦週邊,M000,食品,0,0,0
F000,電腦週邊,N000,石化及塑橡膠,0,0,4
F000,電腦週邊,O000,紡織,0,0,0
F000,電腦週邊,P000,電機機械,3,3,16
F000,電腦週邊,Q000,鋼鐵,0,0,0
F000,電腦週邊,R000,軟體服務,0,0,23
F000,電腦週邊,R300,電子商務,0,0,7
F000,電腦週邊,S000,建材營造,4,6,9
F000,電腦週邊,T000,交通運輸及航運,0,0,0
F000,電腦週邊,U000,金融,0,0,0
F000,電腦週邊,V000,貿易百貨,3,4,8
F000,電腦週邊,W000,油電燃氣,0,0,0
F000,電腦週邊,X000,其他,0,0,33
F000,電腦週邊,Y000,文化創意,0,0,2
G000,平面顯示器,1000,水泥,0,0,0
G000,平面顯示器,2000,造紙,0,0,0
G000,平面顯示器,3000,汽車,2,3,11
G000,平面顯示器,4100,太空衛星科技,1,1,2
G000,平面顯示器,5100,區塊鏈,0,0,1
G000,平面顯示器,5200,金融科技,0,0,0
G000,平面顯示器,5300,人工智慧,0,0,9
G000,平面顯示器,5400,雲端運算,1,4,6
G000,平面顯示器,5500,資通訊安全,0,0,2
G000,平面顯示器,5600,大數據,0,0,2
G000,平面顯示器,5700,體驗科技,0,0,5
G000,平面顯示器,5800,運動科技,1,4,6
G000,平面顯示器,6000,自動化,0,0,5
G000,平面顯示器,B000,休閒娛樂,0,0,1
G000,平面顯示器,C100,製藥,0,0,1
G000,平面顯示器,C200,醫療器材,1,4,14
G000,平面顯示器,C300,食品生技,0,0,1
G000,平面顯示器,C400,再生醫療,0,0,0
G000,平面顯示器,D000,半導體,0,25,58
G000,平面顯示器,F000,電腦週邊,6,14,44
G000,平面顯示器,H000,觸控面板,0,6,27
G000,平面顯示器,I000,通信網路,0,1,26
G000,平面顯示器,J000,被動元件,0,3,9
G000,平面顯示器,K000,連接器,0,2,12
G000,平面顯示器,L000,印刷電路板,0,11,18
G000,平面顯示器,M000,食品,0,0,2
G000,平面顯示器,N000,石化及塑橡膠,0,1,9
G000,平面顯示器,O000,紡織,0,0,0
G000,平面顯示器,P000,電機機械,1,2,16
G000,平面顯示器,Q000,鋼鐵,0,0,1
G000,平面顯示器,R000,軟體服務,0,0,6
G000,平面顯示器,R300,電子商務,0,0,2
G000,平面顯示器,S000,建材營造,1,2,5
G000,平面顯示器,T000,交通運輸及航運,0,0,0
G000,平面顯示器,U000,金融,0,0,0
G000,平面顯示器,V000,貿易百貨,2,2,3
G000,平面顯示器,W000,油電燃氣,0,0,0
G000,平面顯示器,X000,其他,0,0,27
G000,平面顯示器,Y000,文化創意,0,0,0
H000,觸控面板,1000,水泥,0,0,0
H000,觸控面板,2000,造紙,0,0,0
H000,觸控面板,3000,汽車,0,1,3
H000,觸控面板,4100,太空衛星科技,0,0,2
H000,觸控面板,5100,區塊鏈,0,0,0
H000,觸控面板,5200,金融科技,0,0,0
H000,觸控面板,5300,人工智慧,0,0,3
H000,觸控面板,5400,雲端運算,0,2,2
H000,觸控面板,5500,資通訊安全,0,0,1
H000,觸控面板,5600,大數據,0,0,0
H000,觸控面板,5700,體驗科技,0,0,2
H000,觸控面板,5800,運動科技,1,3,4
H000,觸控面板,6000,自動化,0,1,2
H000,觸控面板,B000,休閒娛樂,0,0,0
H000,觸控面板,C100,製藥,0,0,1
H000,觸控面板,C200,醫療器材,0,3,5
H000,觸控面板,C300,食品生技,0,0,1
H000,觸控面板,C400,再生醫療,0,0,0
H000,觸控面板,D000,半導體,0,5,19
H000,觸控面板,F000,電腦週邊,1,3,13
H000,觸控面板,G000,平面顯示器,0,11,27
H000,觸控面板,I000,通信網路,0,1,5
H000,觸控面板,J000,被動元件,0,1,4
H000,觸控面板,K000,連接器,0,1,3
H000,觸控面板,L000,印刷電路板,3,3,10
H000,觸控面板,M000,食品,0,0,1
H000,觸控面板,N000,石化及塑橡膠,0,0,5
H000,觸控面板,O000,紡織,0,0,2
H000,觸控面板,P000,電機機械,0,1,3
H000,觸控面板,Q000,鋼鐵,0,0,0
H000,觸控面板,R000,軟體服務,0,0,2
H000,觸控面板,R300,電子商務,0,0,0
H000,觸控面板,S000,建材營造,0,0,2
H000,觸控面板,T000,交通運輸及航運,0,0,0
H000,觸控面板,U000,金融,0,0,0
H000,觸控面板,V000,貿易百貨,0,0,0
H000,觸控面板,W000,油電燃氣,0,0,0
H000,觸控面板,X000,其他,0,0,9
H000,觸控面板,Y000,文化創意,0,0,0
I000,通信網路,1000,水泥,0,0,0
I000,通信網路,2000,造紙,0,0,0
I000,通信網路,3000,汽車,4,4,7
I000,通信網路,4100,太空衛星科技,8,8,10
I000,通信網路,5100,區塊鏈,0,0,2
I000,通信網路,5200,金融科技,0,0,2
I000,通信網路,5300,人工智慧,0,0,16
I000,通信網路,5400,雲端運算,7,13,17
I000,通信網路,5500,資通訊安全,0,0,14
I000,通信網路,5600,大數據,0,0,10
I000,通信網路,5700,體驗科技,0,0,11
I000,通信網路,5800,運動科技,1,5,8
I000,通信網路,6000,自動化,0,0,1
I000,通信網路,B000,休閒娛樂,0,0,2
I000,通信網路,C100,製藥,0,0,0
I000,通信網路,C200,醫療器材,2,6,17
I000,通信網路,C300,食品生技,0,0,1
I000,通信網路,C400,再生醫療,0,0,0
I000,通信網路,D000,半導體,1,4,21
I000,通信網路,F000,電腦週邊,17,17,69
I000,通信網路,G000,平面顯示器,8,10,26
I000,通信網路,H000,觸控面板,0,0,5
I000,通信網路,J000,被動元件,0,3,9
I000,通信網路,K000,連接器,0,5,18
I000,通信網路,L000,印刷電路板,0,1,6
I000,通信網路,M000,食品,0,0,1
I000,通信網路,N000,石化及塑橡膠,0,0,1
I000,通信網路,O000,紡織,0,0,0
I000,通信網路,P000,電機機械,3,3,12
I000,通信網路,Q000,鋼鐵,0,0,0
I000,通信網路,R000,軟體服務,0,0,14
I000,通信網路,R300,電子商務,0,0,5
I000,通信網路,S000,建材營造,2,3,5
I000,通信網路,T000,交通運輸及航運,0,0,1
I000,通信網路,U000,金融,0,0,0
I000,通信網路,V000,貿易百貨,2,2,2
I000,通信網路,W000,油電燃氣,0,0,0
I000,通信網路,X000,其他,0,0,22
I000,通信網路,Y000,文化創意,0,0,2
J000,被動元件,1000,水泥,0,0,0
J000,被動元件,2000,造紙,0,0,0
J000,被動元件,3000,汽車,0,2,3
J000,被動元件,4100,太空衛星科技,0,1,1
J000,被動元件,5100,區塊鏈,0,0,0
J000,被動元件,5200,金融科技,0,0,0
J000,被動元件,5300,人工智慧,0,0,1
J000,被動元件,5400,雲端運算,0,2,2
J000,被動元件,5500,資通訊安全,0,0,0
J000,被動元件,5600,大數據,0,0,1
J000,被動元件,5700,體驗科技,0,0,3
J000,被動元件,5800,運動科技,0,3,3
J000,被動元件,6000,自動化,0,0,0
J000,被動元件,B000,休閒娛樂,0,0,1
J000,被動元件,C100,製藥,0,0,0
J000,被動元件,C200,醫療器材,0,3,4
J000,被動元件,C300,食品生技,0,0,0
J000,被動元件,C400,再生醫療,0,0,0
J000,被動元件,D000,半導體,0,5,11
J000,被動元件,F000,電腦週邊,0,7,13
J000,被動元件,G000,平面顯示器,0,8,9
J000,被動元件,H000,觸控面板,0,2,4
J000,被動元件,I000,通信網路,0,6,9
J000,被動元件,K000,連接器,0,1,2
J000,被動元件,L000,印刷電路板,0,3,4
J000,被動元件,M000,食品,0,0,0
J000,被動元件,N000,石化及塑橡膠,0,0,1
J000,被動元件,O000,紡織,0,0,1
J000,被動元件,P000,電機機械,0,3,3
J000,被動元件,Q000,鋼鐵,0,0,0
J000,被動元件,R000,軟體服務,0,0,2
J000,被動元件,R300,電子商務,0,0,0
J000,被動元件,S000,建材營造,0,2,2
J000,被動元件,T000,交通運輸及航運,0,0,0
J000,被動元件,U000,金融,0,0,0
J000,被動元件,V000,貿易百貨,0,2,2
J000,被動元件,W000,油電燃氣,0,0,0
J000,被動元件,X000,其他,0,0,5
J000,被動元件,Y000,文化創意,0,0,0
K000,連接器,1000,水泥,0,0,0
K000,連接器,2000,造紙,0,0,0
K000,連接器,3000,汽車,0,2,3
K000,連接器,4100,太空衛星科技,0,2,2
K000,連接器,5100,區塊鏈,0,0,0
K000,連接器,5200,金融科技,0,0,0
K000,連接器,5300,人工智慧,0,0,1
K000,連接器,5400,雲端運算,0,2,2
K000,連接器,5500,資通訊安全,0,0,1
K000,連接器,5600,大數據,0,0,1
K000,連接器,5700,體驗科技,0,0,2
K000,連接器,5800,運動科技,0,3,3
K000,連接器,6000,自動化,0,0,0
K000,連接器,B000,休閒娛樂,0,0,1
K000,連接器,C100,製藥,0,0,1
K000,連接器,C200,醫療器材,0,8,13
K000,連接器,C300,食品生技,0,0,1
K000,連接器,C400,再生醫療,0,0,0
K000,連接器,D000,半導體,0,1,7
K000,連接器,F000,電腦週邊,0,18,22
K000,連接器,G000,平面顯示器,0,8,12
K000,連接器,H000,觸控面板,0,1,3
K000,連接器,I000,通信網路,0,11,18
K000,連接器,J000,被動元件,0,1,2
K000,連接器,L000,印刷電路板,0,4,6
K000,連接器,M000,食品,0,0,1
K000,連接器,N000,石化及塑橡膠,0,0,0
K000,連接器,O000,紡織,0,0,0
K000,連接器,P000,電機機械,0,2,4
K000,連接器,Q000,鋼鐵,0,0,0
K000,連接器,R000,軟體服務,0,0,2
K000,連接器,R300,電子商務,0,0,1
K000,連接器,S000,建材營造,0,0,1
K000,連接器,T000,交通運輸及航運,0,0,0
K000,連接器,U000,金融,0,0,0
K000,連接器,V000,貿易百貨,0,0,0
K000,連接器,W000,油電燃氣,0,0,0
K000,連接器,X000,其他,0,0,5
K000,連接器,Y000,文化創意,0,0,0
L000,印刷電路板,1000,水泥,0,0,0
L000,印刷電路板,2000,造紙,0,1,1
L000,印刷電路板,3000,汽車,0,0,1
L000,印刷電路板,4100,太空衛星科技,0,2,2
L000,印刷電路板,5100,區塊鏈,0,0,0
L000,印刷電路板,5200,金融科技,0,0,0
L000,印刷電路板,5300,人工智慧,0,0,5
L000,印刷電路板,5400,雲端運算,0,0,2
L000,印刷電路板,5500,資通訊安全,0,0,0
L000,印刷電路板,5600,大數據,0,0,2
L000,印刷電路板,5700,體驗科技,0,0,2
L000,印刷電路板,5800,運動科技,0,0,1
L000,印刷電路板,6000,自動化,0,0,1
L000,印刷電路板,B000,休閒娛樂,0,0,2
L000,印刷電路板,C100,製藥,0,1,2
L000,印刷電路板,C200,醫療器材,0,4,4
L000,印刷電路板,C300,食品生技,0,0,1
L000,印刷電路板,C400,再生醫療,0,0,0
L000,印刷電路板,D000,半導體,0,4,25
L000,印刷電路板,F000,電腦週邊,0,6,8
L000,印刷電路板,G000,平面顯示器,0,4,18
L000,印刷電路板,H000,觸控面板,0,3,10
L000,印刷電路板,I000,通信網路,0,4,6
L000,印刷電路板,J000,被動元件,0,3,4
L000,印刷電路板,K000,連接器,0,5,6
L000,印刷電路板,M000,食品,0,0,1
L000,印刷電路板,N000,石化及塑橡膠,0,2,4
L000,印刷電路板,O000,紡織,0,1,2
L000,印刷電路板,P000,電機機械,0,2,6
L000,印刷電路板,Q000,鋼鐵,0,0,0
L000,印刷電路板,R000,軟體服務,0,0,1
L000,印刷電路板,R300,電子商務,0,0,1
L000,印刷電路板,S000,建材營造,0,0,3
L000,印刷電路板,T000,交通運輸及航運,0,0,0
L000,印刷電路板,U000,金融,0,0,0
L000,印刷電路板,V000,貿易百貨,0,1,2
L000,印刷電路板,W000,油電燃氣,0,0,0
L000,印刷電路板,X000,其他,0,0,8
L000,印刷電路板,Y000,文化創意,0,0,0
M000,食品,1000,水泥,0,0,0
M000,食品,2000,造紙,0,0,0
M000,食品,3000,汽車,0,0,0
M000,食品,4100,太空衛星科技,0,0,0
M000,食品,5100,區塊鏈,0,0,0
M000,食品,5200,金融科技,0,0,0
M000,食品,5300,人工智慧,0,0,0
M000,食品,5400,雲端運算,0,0,1
M000,食品,5500,資通訊安全,0,0,1
M000,食品,5600,大數據,0,0,0
M000,食品,5700,體驗科技,0,0,0
M000,食品,5800,運動科技,0,0,0
M000,食品,6000,自動化,0,0,0
M000,食品,B000,休閒娛樂,0,0,2
M000,食品,C100,製藥,1,1,1
M000,食品,C200,醫療器材,0,0,1
M000,食品,C300,食品生技,3,5,8
M000,食品,C400,再生醫療,0,0,0
M000,食品,D000,半導體,0,0,1
M000,食品,F000,電腦週邊,0,0,0
M000,食品,G000,平面顯示器,0,0,2
M000,食品,H000,觸控面板,0,0,1
M000,食品,I000,通信網路,0,0,1
M000,食品,J000,被動元件,0,0,0
M000,食品,K000,連接器,0,0,1
M000,食品,L000,印刷電路板,0,0,1
M000,食品,N000,石化及塑橡膠,0,0,1
M000,食品,O000,紡織,0,0,0
M000,食品,P000,電機機械,0,0,0
M000,食品,Q000,鋼鐵,0,0,0
M000,食品,R000,軟體服務,0,0,0
M000,食品,R300,電子商務,0,0,1
M000,食品,S000,建材營造,0,3,4
M000,食品,T000,交通運輸及航運,0,0,1
M000,食品,U000,金融,0,0,0
M000,食品,V000,貿易百貨,2,5,7
M000,食品,W000,油電燃氣,0,0,0
M000,食品,X000,其他,0,0,7
M000,食品,Y000,文化創意,0,0,1
N000,石化及塑橡膠,1000,水泥,0,0,0
N000,石化及塑橡膠,2000,造紙,0,1,1
N000,石化及塑橡膠,3000,汽車,6,6,6
N000,石化及塑橡膠,4100,太空衛星科技,0,0,0
N000,石化及塑橡膠,5100,區塊鏈,0,0,0
N000,石化及塑橡膠,5200,金融科技,0,0,0
N000,石化及塑橡膠,5300,人工智慧,0,0,0
N000,石化及塑橡膠,5400,雲端運算,0,0,0
N000,石化及塑橡膠,5500,資通訊安全,0,0,0
N000,石化及塑橡膠,5600,大數據,0,0,0
N000,石化及塑橡膠,5700,體驗科技,0,0,0
N000,石化及塑橡膠,5800,運動科技,0,1,1
N000,石化及塑橡膠,6000,自動化,0,0,0
N000,石化及塑橡膠,B000,休閒娛樂,0,0,0
N000,石化及塑橡膠,C100,製藥,1,3,5
N000,石化及塑橡膠,C200,醫療器材,1,5,6
N000,石化及塑橡膠,C300,食品生技,1,2,3
N000,石化及塑橡膠,C400,再生醫療,0,0,0
N000,石化及塑橡膠,D000,半導體,0,7,11
N000,石化及塑橡膠,F000,電腦週邊,3,3,4
N000,石化及塑橡膠,G000,平面顯示器,7,8,9
N000,石化及塑橡膠,H000,觸控面板,4,5,5
N000,石化及塑橡膠,I000,通信網路,0,0,1
N000,石化及塑橡膠,J000,被動元件,1,1,1
N000,石化及塑橡膠,K000,連接器,0,0,0
N000,石化及塑橡膠,L000,印刷電路板,2,4,4
N000,石化及塑橡膠,M000,食品,1,1,1
N000,石化及塑橡膠,O000,紡織,4,13,18
N000,石化及塑橡膠,P000,電機機械,1,1,4
N000,石化及塑橡膠,Q000,鋼鐵,0,0,1
N000,石化及塑橡膠,R000,軟體服務,0,0,0
N000,石化及塑橡膠,R300,電子商務,0,0,0
N000,石化及塑橡膠,S000,建材營造,1,3,3
N000,石化及塑橡膠,T000,交通運輸及航運,0,0,0
N000,石化及塑橡膠,U000,金融,0,0,0
N000,石化及塑橡膠,V000,貿易百貨,0,1,1
N000,石化及塑橡膠,W000,油電燃氣,0,0,2
N000,石化及塑橡膠,X000,其他,0,0,13
N000,石化及塑橡膠,Y000,文化創意,0,0,0
O000,紡織,1000,水泥,0,0,0
O000,紡織,2000,造紙,0,0,0
O000,紡織,3000,汽車,0,0,0
O000,紡織,4100,太空衛星科技,0,0,0
O000,紡織,5100,區塊鏈,0,0,0
O000,紡織,5200,金融科技,0,0,0
O000,紡織,5300,人工智慧,0,0,0
O000,紡織,5400,雲端運算,0,0,0
O000,紡織,5500,資通訊安全,0,0,0
O000,紡織,5600,大數據,0,0,0
O000,紡織,5700,體驗科技,0,0,0
O000,紡織,5800,運動科技,0,1,1
O000,紡織,6000,自動化,0,0,0
O000,紡織,B000,休閒娛樂,0,0,1
O000,紡織,C100,製藥,0,1,1
O000,紡織,C200,醫療器材,0,4,5
O000,紡織,C300,食品生技,0,0,0
O000,紡織,C400,再生醫療,0,0,0
O000,紡織,D000,半導體,0,2,4
O000,紡織,F000,電腦週邊,0,0,0
O000,紡織,G000,平面顯示器,0,0,0
O000,紡織,H000,觸控面板,0,2,2
O000,紡織,I000,通信網路,0,0,0
O000,紡織,J000,被動元件,0,1,1
O000,紡織,K000,連接器,0,0,0
O000,紡織,L000,印刷電路板,1,2,2
O000,紡織,M000,食品,0,0,0
O000,紡織,N000,石化及塑橡膠,1,7,18
O000,紡織,P000,電機機械,1,1,3
O000,紡織,Q000,鋼鐵,0,0,0
O000,紡織,R000,軟體服務,0,0,0
O000,紡織,R300,電子商務,0,0,0
O000,紡織,S000,建材營造,0,3,3
O000,紡織,T000,交通運輸及航運,0,0,0
O000,紡織,U000,金融,0,0,0
O000,紡織,V000,貿易百貨,3,4,4
O000,紡織,W000,油電燃氣,0,0,1
O000,紡織,X000,其他,0,0,8
O000,紡織,Y000,文化創意,0,0,0
P000,電機機械,1000,水泥,0,0,0
P000,電機機械,2000,造紙,0,0,0
P000,電機機械,3000,汽車,16,16,21
P000,電機機械,4100,太空衛星科技,3,3,3
P000,電機機械,5100,區塊鏈,0,0,0
P000,電機機械,5200,金融科技,0,0,0
P000,電機機械,5300,人工智慧,0,0,6
P000,電機機械,5400,雲端運算,5,7,7
P000,電機機械,5500,資通訊安全,0,0,2
P000,電機機械,5600,大數據,0,0,3
P000,電機機械,5700,體驗科技,0,0,4
P000,電機機械,5800,運動科技,2,2,2
P000,電機機械,6000,自動化,0,0,6
P000,電機機械,B000,休閒娛樂,0,0,5
P000,電機機械,C100,製藥,0,0,0
P000,電機機械,C200,醫療器材,6,8,14
P000,電機機械,C300,食品生技,0,0,0
P000,電機機械,C400,再生醫療,0,0,0
P000,電機機械,D000,半導體,1,9,14
P000,電機機械,F000,電腦週邊,9,9,16
P000,電機機械,G000,平面顯示器,8,14,16
P000,電機機械,H000,觸控面板,2,2,3
P000,電機機械,I000,通信網路,4,4,12
P000,電機機械,J000,被動元件,1,3,3
P000,電機機械,K000,連接器,1,3,4
P000,電機機械,L000,印刷電路板,3,4,6
P000,電機機械,M000,食品,0,0,0
P000,電機機械,N000,石化及塑橡膠,0,0,4
P000,電機機械,O000,紡織,0,1,3
P000,電機機械,Q000,鋼鐵,0,0,5
P000,電機機械,R000,軟體服務,0,0,4
P000,電機機械,R300,電子商務,0,0,1
P000,電機機械,S000,建材營造,9,10,11
P000,電機機械,T000,交通運輸及航運,0,0,1
P000,電機機械,U000,金融,0,0,0
P000,電機機械,V000,貿易百貨,2,4,5
P000,電機機械,W000,油電燃氣,0,0,0
P000,電機機械,X000,其他,0,0,13
P000,電機機械,Y000,文化創意,0,0,0
Q000,鋼鐵,1000,水泥,0,0,0
Q000,鋼鐵,2000,造紙,0,0,0
Q000,鋼鐵,3000,汽車,0,0,0
Q000,鋼鐵,4100,太空衛星科技,0,0,0
Q000,鋼鐵,5100,區塊鏈,0,0,0
Q000,鋼鐵,5200,金融科技,0,0,0
Q000,鋼鐵,5300,人工智慧,0,0,0
Q000,鋼鐵,5400,雲端運算,0,0,0
Q000,鋼鐵,5500,資通訊安全,0,0,0
Q000,鋼鐵,5600,大數據,0,0,0
Q000,鋼鐵,5700,體驗科技,0,0,0
Q000,鋼鐵,5800,運動科技,0,0,0
Q000,鋼鐵,6000,自動化,0,0,0
Q000,鋼鐵,B000,休閒娛樂,0,0,1
Q000,鋼鐵,C100,製藥,0,0,0
Q000,鋼鐵,C200,醫療器材,0,0,0
Q000,鋼鐵,C300,食品生技,0,0,0
Q000,鋼鐵,C400,再生醫療,0,0,0
Q000,鋼鐵,D000,半導體,0,0,1
Q000,鋼鐵,F000,電腦週邊,0,0,0
Q000,鋼鐵,G000,平面顯示器,0,0,1
Q000,鋼鐵,H000,觸控面板,0,0,0
Q000,鋼鐵,I000,通信網路,0,0,0
Q000,鋼鐵,J000,被動元件,0,0,0
Q000,鋼鐵,K000,連接器,0,0,0
Q000,鋼鐵,L000,印刷電路板,0,0,0
Q000,鋼鐵,M000,食品,0,0,0
Q000,鋼鐵,N000,石化及塑橡膠,0,0,1
Q000,鋼鐵,O000,紡織,0,0,0
Q000,鋼鐵,P000,電機機械,0,0,5
