date,n_eligible,n_selected,mean_t,max_t,selected_ids
2012-04-30,28,17,2.1544228402257004,3.5652073760608807,1711;1785;2467;3010;3305;3339;3402;3535;3551;4720;5434;6207;6208;6223;6277;8374;8383
2012-05-31,28,16,2.1429795055779066,3.574166239689565,1711;1785;2467;3010;3305;3339;3402;3535;3551;4720;5434;6207;6208;6223;6277;8374
2012-06-29,28,17,2.1375116961032226,3.496808573296291,1711;1785;2467;3010;3305;3339;3402;3535;3551;4720;5434;6207;6208;6223;6277;8374;8383
2012-07-31,28,17,2.1813036642670154,3.3665939429543204,1711;1785;2467;3010;3305;3339;3402;3535;3551;4720;5434;6207;6208;6223;6277;8374;8383
2012-08-31,28,16,1.9687922603460604,3.6633542542147657,1711;1785;2467;3010;3305;3339;3402;3535;3551;4720;5434;6207;6208;6223;6277;8383
2012-09-28,28,16,2.054752403851263,3.7322062836613656,1711;1785;2467;3010;3305;3339;3402;3535;3551;4720;5434;6207;6208;6223;6277;8383
2012-10-31,28,17,2.0750022053670145,3.7138160342729036,1711;1785;2467;3010;3305;3339;3402;3535;3551;4720;5434;6207;6208;6223;6277;8374;8383
2012-11-30,28,17,2.0153114289885954,3.857561889523057,1711;1785;2467;3010;3305;3339;3402;3535;3551;4720;5434;6207;6208;6223;6277;8374;8383
2012-12-28,28,19,2.1169503213643575,4.0218794418867905,1711;1742;1785;2467;3010;3030;3305;3339;3402;3535;3551;4720;5434;6207;6208;6223;6277;8374;8383
2013-01-31,28,19,2.1187421716864825,3.944966480548394,1711;1742;1785;2467;3010;3030;3305;3339;3402;3535;3551;4720;5434;6207;6208;6223;6277;8374;8383
2013-02-27,28,18,2.053254469256658,3.884463082342143,1711;1742;2467;3010;3030;3305;3339;3402;3535;3551;4720;5434;6207;6208;6223;6277;8374;8383
2013-03-29,28,19,2.1712673668382725,3.907921338743383,1711;1742;1785;2467;3010;3030;3305;3339;3402;3535;3551;4720;5434;6207;6208;6223;6277;8374;8383
2013-04-30,28,19,2.101892585472856,3.845251736114499,1711;1742;1785;2467;3010;3030;3305;3339;3402;3535;3551;4720;5434;6207;6208;6223;6277;8374;8383
2013-05-31,28,16,1.9936071562197974,3.530119773977493,1711;1742;2467;3010;3305;3339;3402;3535;3551;4720;5434;6207;6208;6223;8374;8383
2013-06-28,28,19,2.0254776989306964,3.6370647527247515,1711;1742;2467;2493;3010;3030;3305;3339;3402;3535;3551;4720;5434;6207;6208;6223;6277;8374;8383
2013-07-31,28,16,1.9849907758704437,3.4129260164815864,1711;1742;2467;3010;3305;3339;3402;3535;3551;4720;5434;6207;6208;6223;6277;8383
2013-08-30,28,9,1.6920176005143124,3.0880650847013817,1711;1742;2467;3010;3339;3535;4720;6223;8383
2013-09-30,28,6,1.3517904439529613,2.9335953380333146,1711;2467;3010;3339;4720;8383
2013-10-31,28,7,1.3634948560545508,2.583266326245677,1711;2467;3010;3339;4720;6223;8383
2013-11-29,28,9,1.505899506520479,3.1651617517034873,1711;2467;3010;3030;3305;3339;3535;4720;6223
2013-12-31,28,10,1.723805242175501,3.5167948996646956,1711;2467;3010;3030;3305;3339;3535;4720;6207;6223
2014-01-27,28,11,1.7375575834898045,3.5949992255533103,1711;2467;3010;3030;3305;3339;3402;3535;4720;6207;6223
2014-02-27,29,13,1.9540192233466553,4.022810825132947,1711;2467;3010;3030;3305;3339;3402;3535;3551;4720;5536;6207;6223
2014-03-31,29,15,2.1187824560151416,3.7772385582403785,1711;1742;1785;2467;3010;3030;3305;3339;3402;3535;3551;4720;5536;6207;6223
2014-04-30,29,15,1.9643873456795624,3.748924108928078,1711;1742;1785;2467;3010;3030;3305;3339;3402;3535;4720;5536;6207;6223;6277
2014-05-30,29,14,2.074475513550119,3.972205076830029,1711;1742;2467;3010;3030;3114;3305;3339;3402;3535;5536;6207;6223;6277
2014-06-30,29,16,1.979963642409315,3.7145092363338565,1711;1742;1785;2467;3010;3030;3114;3305;3339;3535;3551;5536;6207;6223;6277;8374
2014-07-31,29,17,2.0041161914401493,3.7433502058694446,1711;1742;1785;2467;3010;3030;3114;3305;3339;3455;3535;5536;6207;6223;6277;8091;8374
2014-08-29,29,13,1.7788645827645668,3.3988773908961503,1711;1742;1785;2467;3010;3030;3339;3535;5536;6207;6208;6223;8374
2014-09-30,29,13,1.7734895227825922,3.501820133078033,1711;1742;1785;2467;3010;3030;3339;3535;5536;6207;6208;6223;8374
2014-10-31,29,13,1.8178404017093774,3.713838520887404,1711;1742;1785;2467;3010;3030;3339;3535;5536;6207;6208;6223;8374
2014-11-28,30,13,1.8141666478884073,3.412474557112041,1711;1785;2467;3010;3030;3339;3535;3680;5536;6207;6208;6223;8374
2014-12-31,30,12,1.7892925191336182,3.66091171602811,1711;2467;3010;3030;3535;3680;5536;6207;6208;6223;8091;8374
2015-01-30,30,11,1.7016174918637137,3.2520671330150157,1711;2467;3010;3535;3680;5536;6207;6208;6223;8091;8374
2015-02-26,30,14,1.815989207678984,3.5322590280495083,1711;1785;2467;3010;3030;3339;3535;3680;5536;6207;6208;6223;8091;8374
2015-03-31,30,13,1.7828652427723952,3.6531815561603223,1711;1785;2467;3010;3030;3339;3535;3680;5536;6207;6223;8091;8374
2015-04-30,30,10,1.7342327524330017,3.5640564963953856,1711;2467;3010;3535;3680;5536;6207;6223;8091;8374
2015-05-29,30,9,1.5924757284537034,3.4641707217491096,1711;2467;3010;3535;3680;5536;6207;6223;8091
2015-06-30,30,8,1.5178008782127166,3.351293912898465,1711;2467;3010;3535;3680;5536;6207;8091
2015-07-31,30,8,1.5457783143640687,3.2778429624863565,1711;2467;3010;3535;3680;5536;6207;8091
2015-08-31,30,11,1.6566837868297064,3.270453881315677,1711;2360;2467;3010;3402;3535;3680;5536;6207;6223;8091
2015-09-30,30,8,1.4840668954932683,3.1074851266925774,1711;2467;3535;3680;5536;6207;6223;8091
2015-10-30,31,7,1.3979065230285155,3.144065969269025,1711;2467;3535;3680;5536;6207;8091
2015-11-30,31,7,1.3228596404673656,3.1833249813454985,1711;2467;3535;3680;5536;6207;8091
2015-12-31,31,11,1.4294507453177954,3.3877209474637384,1711;2360;2467;3402;3535;3680;5234;5536;6207;6223;8091
2016-01-30,31,10,1.4436589959591422,3.399338851958701,1711;2360;2467;3402;3535;3680;5536;6207;6223;8091
2016-02-26,31,10,1.467336179567169,3.538494504673036,1711;2360;2467;3402;3535;3680;5536;6207;6223;8091
2016-03-31,32,8,1.2977050188634276,3.198971715292177,1711;2360;3402;3535;3680;5536;6207;8091
2016-04-29,32,7,1.1348666372389973,3.091047117497575,1711;2360;3535;3680;5536;6207;8091
2016-05-31,32,5,1.0883005418438478,2.9255790953013876,3535;3680;5536;6207;8091
2016-06-30,33,6,1.1222529601337063,2.9526924328329085,2360;3535;3680;5536;6207;8091
2016-07-29,33,6,1.1534895460772852,3.036633783540291,2360;3535;3680;5536;6207;8091
2016-08-31,33,6,1.2274735480188714,3.0937156479054275,1711;3030;3535;3680;5536;6207
2016-09-30,33,6,1.1114347602724934,2.907667785584705,3030;3402;3535;3680;5536;6207
2016-10-31,33,6,1.0667952021834888,2.7417225302517307,3030;3402;3535;5536;6207;8091
2016-11-30,33,10,1.2902752495516578,3.073919577407408,1711;2360;3030;3305;3535;5234;5536;6207;6277;8091
2016-12-30,33,8,1.2305694778273915,2.897221900077124,2360;3030;3305;3535;5536;6207;6277;8091
2017-01-24,33,7,1.0522471864521081,2.825472372922585,2360;3030;3535;5536;6207;6277;8091
