target,n,b1,t1,p1,b2,t2,p2,r2,verdict
D000中下游,4245,0.12305622170467218,3.3398481014367025,0.0008382422477414608,0.005301263345341122,0.13663234288773707,0.8913214103108498,0.024034844806901212,✓ IC設計 主導
G000平面顯示器,4245,0.12949562822197683,3.6718373349771345,0.00024081294669417653,0.011665345412754527,0.3927210210899046,0.6945255429839112,0.02400867058051037,✓ IC設計 主導
H000觸控面板,4245,0.13647541792695767,3.745332222218318,0.00018015521273313876,0.002519834479025822,0.08398752992579929,0.9330663464140738,0.029036818466855907,✓ IC設計 主導
I000通信網路,4245,0.11433971445040571,3.4696139234086467,0.0005212069759317948,-0.0007905468451589749,-0.028623640506105143,0.9771647574098528,0.024484647147594907,✓ IC設計 主導
J000被動元件,4245,0.15007100348584618,3.935965153487436,8.286299691152221e-05,-0.016331614262838707,-0.45734343467739547,0.6474242148269322,0.02110104964236703,✓ IC設計 主導
F000電腦週邊,4245,0.11709495843316547,3.495322179321239,0.00047348983666316134,-0.0031756669870577157,-0.11415710654008586,0.909113253579924,0.027715542802303594,✓ IC設計 主導
L000PCB,4245,0.111194198600396,3.111316887992016,0.001862549480328039,-0.0047972023675320954,-0.15327432448827538,0.8781819474971853,0.021916412436176258,✓ IC設計 主導
5400雲端運算,4245,0.114051430997661,3.636525056864647,0.00027634077348277346,-0.017580423869875968,-0.6665583355569159,0.5050542899069448,0.02056770351143833,✓ IC設計 主導
