date,WF_screen_gross,WF_screen_net,WF_screen_timed_gross,WF_screen_timed_net,Full_EW_net,Full_EW_timed_net,P23_top15_net,P23_top15_timed_net,lead,timing
2007-04-24,0.0,0.0,0.0,0.0,-0.002291275899854584,0.0,-0.00031059184471163986,0.0,0.0017101967355886353,0.0
2007-04-25,0.0,0.0,0.0,0.0,-0.0044746212387638895,-0.006974621238763889,-0.005668220125095417,-0.008168220125095417,-0.009077343811775126,1.0
2007-04-26,0.0,0.0,0.0,0.0,0.002880709420514287,-0.0025,0.005948572481170607,-0.0025,-0.00012355214545941326,0.0
2007-04-27,0.0,0.0,0.0,0.0,0.0006572940655691093,0.0,0.00018626361272062585,0.0,0.007798854522279456,0.0
2007-04-30,0.0,0.0,0.0,0.0,-0.01614194363154464,-0.018641943631544637,-0.009925176290070021,-0.012425176290070021,-0.00954836041130811,1.0
2007-05-02,0.0,0.0,0.0,0.0,0.00016830277243913756,-0.0025,0.003816193610937907,-0.0025,-0.013930221254772153,0.0
2007-05-03,0.0,0.0,0.0,0.0,-0.02807076443123554,0.0,-0.027436569564943426,0.0,-0.015333153704235915,0.0
2007-05-04,0.0,0.0,0.0,0.0,0.012438833213768178,0.0,0.013349282943994362,0.0,0.027358731027315848,0.0
2007-05-07,0.0,0.0,0.0,0.0,0.011969785973779717,0.009469785973779716,0.005647364558165603,0.0031473645581656033,0.024727163954492683,1.0
2007-05-08,0.0,0.0,0.0,0.0,0.005548905476839714,0.005548905476839714,0.007489738004282134,0.007489738004282134,0.0165067942978104,1.0
2007-05-09,0.0,0.0,0.0,0.0,0.004466353524625327,0.004466353524625327,0.01326881856104007,0.01326881856104007,-0.015600251751655516,1.0
2007-05-10,0.0,0.0,0.0,0.0,0.005238765141356678,0.005238765141356678,-0.00012012892702114187,-0.00012012892702114187,0.013664828758402359,1.0
2007-05-11,0.0,0.0,0.0,0.0,3.2367661539854306e-05,3.2367661539854306e-05,0.006098116014771662,0.006098116014771662,0.004549182499708234,1.0
2007-05-14,0.0,0.0,0.0,0.0,0.003770065771607339,0.003770065771607339,0.0061698456551616074,0.0061698456551616074,-0.006966890870147863,1.0
2007-05-15,0.0,0.0,0.0,0.0,-0.004630822442559861,-0.004630822442559861,-0.010859143486839055,-0.010859143486839055,-0.006238757612760013,1.0
2007-05-16,0.0,0.0,0.0,0.0,-0.0027137455883893716,-0.0027137455883893716,-0.0015663332605635465,-0.0015663332605635465,0.0008642059764186854,1.0
2007-05-17,0.0,0.0,0.0,0.0,-0.00154016943064327,-0.00154016943064327,-0.0002619933077949995,-0.0002619933077949995,0.012625614147424784,1.0
2007-05-18,0.0,0.0,0.0,0.0,-0.0013176480382654577,-0.0013176480382654577,0.0014575371833135302,0.0014575371833135302,0.008779694381745846,1.0
2007-05-21,0.0,0.0,0.0,0.0,0.0040388899699753495,0.0040388899699753495,-0.004184277958039098,-0.004184277958039098,0.014711906474649674,1.0
2007-05-22,0.0,0.0,0.0,0.0,0.005370197365661919,0.005370197365661919,0.003340571513190995,0.003340571513190995,0.010670566075135095,1.0
