strategy,n,ann_ret,ann_vol,sharpe,max_dd,ann_alpha,t_alpha,beta
Q1 always-on (low β),4674,0.1013138703974708,0.1820829271390027,0.5564160901264921,-0.5424397461701813,-0.010724247165085826,-0.4496267541302002,0.9331904852321905
Q3 always-on (mid β),4674,0.123145022190032,0.19779140528605957,0.6226004715014345,-0.5751812674468255,-5.169968982262438e-05,-0.0020866174837811486,1.0261329909071826
Q5 always-on (high β),4674,0.12699389640205108,0.23981029913808055,0.5295598098100416,-0.6403964037874832,-0.02067313245835028,-0.6608115055082447,1.2299516388972902
Q5 timed (EMA>0),4674,0.2269632737967946,0.14648710703365883,1.549373718907866,-0.20032230630712966,0.17608631637764333,4.997988987976239,0.42376553278491014
Q5-Q1 long-short,4674,0.0021344096422546226,0.09384473850562608,0.022744052317079693,-0.4272744713047505,-0.033304142992968896,-1.5247045616424693,0.29517561388092395
Q5-Q1 long-short timed,4674,-0.08879484839015986,0.07240783253615837,-1.2263155142203475,-0.8672870739854068,-0.10236882933312072,-4.56081941616238,0.11306071664066938
EW universe,4674,0.11930351414446651,0.1591296477938927,0.7497252447827346,-0.5220299375492681,0.016030468155315187,1.106310205211287,0.8601842479566135
EW universe timed (Phase 13 ref),4674,0.13548987223436432,0.09349505858257837,1.4491661301510876,-0.16742056044550668,0.10143012185149985,4.839653203529568,0.28369126220748747
