n,ann_ret,ann_vol,sharpe,max_dd,ann_alpha,t_alpha,beta,predictor,smooth_N,hold_K,cost_rt,avg_daily_turn
4672,0.2911222067786004,0.12540505612064282,2.3214550974606127,-0.18731833268390874,0.24037871591555732,10.514850646836198,0.4221783370260516,D100,1,1,0.0,0.4351455479452055
4672,0.01698051157312099,0.1277510392044041,0.132918774507594,-0.40766546496432576,-0.033890876630011973,-1.3388521035556302,0.4232424239745608,D100,1,1,0.005,0.4351455479452055
4672,-0.1475045055501667,0.13056947540804598,-1.1297012957216581,-0.9588526029962039,-0.1984526321573536,-7.3499494596578145,0.42388087614366676,D100,1,1,0.008,0.4351455479452055
4668,0.1590670304465475,0.12381244344433359,1.2847418726379023,-0.33535627058079753,0.10942038663499884,4.2342791737403225,0.40642398764550897,D100,1,5,0.0,0.09575835475578406
4668,0.09873926695040351,0.1238912288601794,0.7969835141585222,-0.38640716510577633,0.04921493678099837,1.8654374144937185,0.4054226873688556,D100,1,5,0.005,0.09575835475578406
4668,0.06254260885271713,0.12446564186954437,0.502488943240012,-0.41519185816298787,0.013091666868598115,0.4889570210077179,0.40482190720286376,D100,1,5,0.008,0.09575835475578406
4663,0.1534940523373415,0.12842695313481103,1.1951856568318437,-0.3577710057860678,0.10057529082836522,4.097366872436828,0.4338373600143881,D100,1,10,0.0,0.04717992708556723
4663,0.12377069827343416,0.12860125072198322,0.9624377490776355,-0.3860433138751326,0.0707154444259979,2.813970389759667,0.43495634832951746,D100,1,10,0.005,0.04717992708556723
4663,0.10593668583508974,0.12896955580491082,0.8214084725184109,-0.4024380864364192,0.052799536584577526,2.0691224793787786,0.43562774131859505,D100,1,10,0.008,0.04717992708556723
4653,0.1283769169324793,0.14001759182888798,0.9168627688538277,-0.47450516473709947,0.06495553236475408,2.050072161348845,0.5240073722473794,D100,1,20,0.0,0.0223511712873415
4653,0.11429567902145414,0.14002215241835436,0.8162685478506618,-0.4823909882347983,0.05085943342313535,1.6037626290181968,0.5241301587435009,D100,1,20,0.005,0.0223511712873415
4653,0.10584693627483907,0.14014284202803007,0.7552789335731365,-0.4870749655973917,0.0424017740581641,1.3356674197981169,0.5242038306411737,D100,1,20,0.008,0.0223511712873415
4672,0.2894527917884434,0.1225551206649842,2.3618171988071355,-0.17532954064076267,0.24133863297086725,10.900896195001083,0.40030268338920233,D100,3,1,0.0,0.2786815068493151
4672,0.11388344247337488,0.1242083525491459,0.9168742692107947,-0.2872441615710708,0.06550943440673063,2.6750360476431556,0.40246459069954327,D100,3,1,0.005,0.2786815068493151
4672,0.008541832884333796,0.12639815529453524,0.06757877806388445,-0.49240031732876943,-0.039988084731751264,-1.5350562888190649,0.403761735085748,D100,3,1,0.008,0.2786815068493151
4668,0.15629533541547275,0.12350457673830122,1.2655023768605207,-0.2891270940994821,0.1072191036814132,4.336252081769755,0.40175440409794316,D100,3,5,0.0,0.09447300771208227
4668,0.09677734055686094,0.12367899440351986,0.7824880936621417,-0.3437224496622171,0.04775673796617844,1.8536792642889333,0.4012990053731785,D100,3,5,0.005,0.09447300771208227
4668,0.06106654364169383,0.12430501857567514,0.49126370231397687,-0.37450589765567344,0.012079318537037632,0.45689281919037866,0.4010257661383197,D100,3,5,0.008,0.09447300771208227
4663,0.16512612585775488,0.129299423805083,1.2770832305229771,-0.3088086010167663,0.11177175308334047,4.140661959118565,0.43740857816087003,D100,3,10,0.0,0.04374865966116234
4663,0.13756447027122262,0.12944589792277075,1.062717880432917,-0.3458937935508697,0.08411872534702286,3.039871504716971,0.4381576631944449,D100,3,10,0.005,0.04374865966116234
4663,0.12102747691930325,0.12977768622110356,0.9325753944565441,-0.36722492442450827,0.06752690870523231,2.402113771132516,0.4386071142145898,D100,3,10,0.008,0.04374865966116234
4653,0.15885328127544152,0.13296612753106604,1.194689837367244,-0.3762060752335,0.10233150392784168,3.596454186593911,0.46700065324243323,D100,3,20,0.0,0.0223511712873415
4653,0.1447720433644164,0.13297920349019354,1.0886818356908907,-0.3855377856178399,0.08823020469774655,3.081379249062529,0.4671664061530851,D100,3,20,0.005,0.0223511712873415
4653,0.13632330061780132,0.13311123833506064,1.024130661865345,-0.3910807601136794,0.07976942515968949,2.773685211774222,0.46726585789947644,D100,3,20,0.008,0.0223511712873415
4672,0.26804943256617625,0.11821303292363086,2.267511677323635,-0.17935286075169954,0.22373032150301944,9.577015762427704,0.3687284475089883,D100,5,1,0.0,0.21746575342465754
4672,0.13104600790864201,0.11943398409318264,1.0972254580940688,-0.2706206630645632,0.08663389492716747,3.369354604693474,0.36950220971075654,D100,5,1,0.005,0.21746575342465754
4672,0.04884395311412147,0.1212267650966896,0.4029139363338112,-0.3639611908413055,0.004376038981656332,0.1603615780639537,0.3699664670318176,D100,5,1,0.008,0.21746575342465754
4668,0.15758230059667155,0.12229596884480838,1.2885322556840855,-0.22895974685124876,0.10964070185129361,4.330412427832039,0.3924659199553983,D100,5,5,0.0,0.08547557840616966
4668,0.10373268620078466,0.12250433101335526,0.8467675007300425,-0.273209406148912,0.05582109581079708,2.1000274431086434,0.39222026154781864,D100,5,5,0.005,0.08547557840616966
4668,0.07142291756325252,0.12311024735920219,0.5801541227909314,-0.30844396985039557,0.023529332186499115,0.859131048639378,0.39207286650327083,D100,5,5,0.008,0.08547557840616966
4663,0.17435352726215086,0.128490719020612,1.356934793354077,-0.30751875184970046,0.12183001321992011,4.678608932580279,0.43059705142371607,D100,5,10,0.0,0.04074630066480806
4663,0.1486833578433218,0.12872491849733622,1.155047209032792,-0.34470355115144746,0.0960913103151752,3.5922748895943086,0.4311589010542531,D100,5,10,0.005,0.04074630066480806
4663,0.13328125619202436,0.12909438125368825,1.032432665912146,-0.3660912129701377,0.08064808857232832,2.964760903702432,0.43149601083257527,D100,5,10,0.008,0.04074630066480806
4653,0.1685034137314324,0.1294042642172198,1.3021473036512943,-0.3762060752335,0.11523012194456628,4.194591868249811,0.44016064660956183,D100,5,20,0.0,0.02192134107027724
4653,0.15469296885715775,0.12947571006338154,1.1947643985225627,-0.3855377856178399,0.10140952840839045,3.663252332565146,0.4402444980374503,D100,5,20,0.005,0.02192134107027724
4653,0.14640670193259292,0.12964367507823488,1.1293007687744292,-0.3910807601136794,0.09311717228668492,3.346193117963617,0.44029480889418354,D100,5,20,0.008,0.02192134107027724
4672,0.2528180166874786,0.11694886147470812,2.161782624469193,-0.20168349663940366,0.20970551492038872,8.761422081016955,0.3586896366705967,D100,10,1,0.0,0.14897260273972604
4672,0.1589652769614512,0.11755763712027269,1.3522326652313925,-0.2985994970300536,0.11574305331868208,4.391401166075163,0.3596025064440754,D100,10,1,0.005,0.14897260273972604
4672,0.10265363312583475,0.11873157624506231,0.864585785620814,-0.36100289697254995,0.05936557635765805,2.123259224545587,0.36015022830816257,D100,10,1,0.008,0.14897260273972604
4668,0.16626667058936198,0.12320394554014416,1.3495239122450546,-0.34182867600626865,0.11746550855552385,4.290208997792414,0.39950259177264646,D100,10,5,0.0,0.06812339331619537
4668,0.12334893280015892,0.12335615402806517,0.9999414603352127,-0.3870542641618242,0.07460750645714671,2.601265202869983,0.3990135754805804,D100,10,5,0.005,0.06812339331619537
4668,0.09759829012663705,0.12383563345624007,0.7881276770076479,-0.4132142381459194,0.048892705198120494,1.6574044096308043,0.39872016570534075,D100,10,5,0.008,0.06812339331619537
4663,0.18917670790801477,0.12673821943222452,1.4926571381191003,-0.26044837514209473,0.1379005200218939,5.066486387550591,0.42037125113638635,D100,10,10,0.0,0.03774394166845379
4663,0.16539802465688888,0.12707386504355533,1.301589627420223,-0.2882773739681922,0.11401403512842327,4.062529504339036,0.42125502805380527,D100,10,10,0.005,0.03774394166845379
4663,0.15113081470621334,0.12749042450532633,1.185428751160048,-0.3052669829121867,0.09968214419234099,3.4860333484446566,0.4217852942042567,D100,10,10,0.008,0.03774394166845379
4653,0.18593121747278452,0.1291298622105624,1.4398777656062267,-0.31098086416478155,0.1324081003930038,4.514137537475082,0.44222478154060113,D100,10,20,0.0,0.02192134107027724
4653,0.17212077259850986,0.12921917819326473,1.3320064018754247,-0.32467239769228406,0.11860510007491447,3.9985279076716918,0.4421632722823152,D100,10,20,0.005,0.02192134107027724
4653,0.16383450567394509,0.1293980922737311,1.2661276746442798,-0.3327725362438302,0.11032329988406087,3.692954042838468,0.44212636672734373,D100,10,20,0.008,0.02192134107027724
4672,0.23235489235905904,0.11681356446656592,1.989108828414898,-0.1808909760645292,0.18953479067239254,7.02595437012853,0.35625691125892534,D100,20,1,0.0,0.1014554794520548
4672,0.16843794030426446,0.11712248768738943,1.438134927204079,-0.26079854893038823,0.12557184635377075,4.202815348507297,0.35663956008990705,D100,20,1,0.005,0.1014554794520548
4672,0.13008776907138778,0.11789361705948127,1.103433521814452,-0.3060456482741918,0.08719407976259767,2.746945007906951,0.3568691493884962,D100,20,1,0.008,0.1014554794520548
4668,0.17163868921779604,0.12287181472749456,1.3968922783345945,-0.2263483747082634,0.12324428293631809,4.593749099541246,0.3961727534959743,D100,20,5,0.0,0.049271636675235646
4668,0.1405975581123976,0.1230969566541424,1.1421692455600307,-0.2575643528949553,0.09225802461199442,3.276545425695298,0.3957235466053287,D100,20,5,0.005,0.049271636675235646
4668,0.12197287944915851,0.12351894868710388,0.9874831412153463,-0.2763139428530853,0.07366626961740014,2.5412812489643453,0.39545402247094125,D100,20,5,0.008,0.049271636675235646
4663,0.18774005346023848,0.12780882035426291,1.4689131230525174,-0.20569969000733312,0.13563373774550183,5.1417270565107005,0.4271767857969066,D100,20,10,0.0,0.030452498391593395
4663,0.16855497947353468,0.1280770218791076,1.316043869544643,-0.2342873777603971,0.11637728846797867,4.276931749536948,0.42776193304631965,D100,20,10,0.005,0.030452498391593395
4663,0.15704393508151238,0.1284116525487946,1.222972619418926,-0.2525443453737428,0.10482341890146475,3.7798812103831474,0.4281130213959674,D100,20,10,0.008,0.030452498391593395
4653,0.1767860275977292,0.13159612409701785,1.3433984382959152,-0.2554150060759024,0.12146835997000835,4.159914436302114,0.45705192105199166,D100,20,20,0.0,0.019342359767891684
4653,0.16460034094395742,0.13159927822952244,1.2507693291210749,-0.26285764212277896,0.10929693973133026,3.6849798170418313,0.4569340474556393,D100,20,20,0.005,0.019342359767891684
4653,0.15728892895169436,0.1317101144773749,1.1942053924697893,-0.26729635684104724,0.10199408758812344,3.405538080965118,0.456863323297828,D100,20,20,0.008,0.019342359767891684
