strategy,method,N,timed,n,ann_ret,ann_vol,sharpe,max_dd,ann_alpha,t_alpha,beta,ann_turn
Full EW always-on,Full,all,False,3175,0.21828390689124064,0.18153274325050706,1.2024492275204515,-0.372004194079919,0.052408186092030726,2.1040317458690816,1.1443791783808461,2.1988250716115254
Full EW timed,Full,all,True,3175,0.16997579208007668,0.10434588505922013,1.6289649753184727,-0.12941684210281723,0.12095456849437042,3.670752422404675,0.33819818415825376,29.955144334930406
MC top-5 always-on,MC,5,False,3175,0.20291711824916758,0.22277120421629465,0.910876784829649,-0.4185284785951626,0.05949681494862113,1.0456677104305774,0.9894589037107164,1.4988446726572526
MC top-5 timed,MC,5,True,3175,0.09235792326711609,0.1462733466227997,0.6314063730645527,-0.30659510600380335,0.05132793587091429,1.1440213888815218,0.28306652136438204,27.464441591784336
TV top-5 always-on,TV,5,False,3175,0.21824465171352725,0.2985036264984849,0.7311289791470423,-0.5320262751638163,0.009851810245665709,0.13268202472698137,1.4377054553277178,2.3614890885750963
TV top-5 timed,TV,5,True,3175,0.09581613696812499,0.1984317038994921,0.48286707761506176,-0.5263801031498393,0.03256136579744032,0.50627087788852,0.43639565038334044,27.91732991014121
MC top-10 always-on,MC,10,False,3175,0.2261723042637611,0.20644112495642797,1.095577755214702,-0.3563183483325414,0.07500772675974479,1.4771970904467138,1.0428867719208605,0.5715019255455713
MC top-10 timed,MC,10,True,3175,0.10674336061446278,0.13125990107328164,0.8132214007602261,-0.27278011987314177,0.062452070725172365,1.529522508216551,0.3055662980014341,26.86059050064185
TV top-10 always-on,TV,10,False,3175,0.2394512005424981,0.27130895567611213,0.8825775763493569,-0.44418037470899663,0.03383688480090286,0.5328269978199184,1.418536363115701,1.8331193838254172
TV top-10 timed,TV,10,True,3175,0.12263722425927391,0.17437009488562127,0.7033156937817707,-0.35529546355451436,0.06046111187583002,1.0477964551703018,0.4289539666290905,27.626187419768936
MC top-15 always-on,MC,15,False,3175,0.2148236875070051,0.1968631039861412,1.0912338734744742,-0.3662253795295649,0.06250175757226517,1.3878921425904707,1.050871364345763,0.5858793324775353
MC top-15 timed,MC,15,True,3175,0.11054474013291926,0.12385016747406222,0.8925683540643617,-0.23173497324242687,0.06540137775381849,1.6824933138418607,0.3114447593646282,26.860590500641848
TV top-15 always-on,TV,15,False,3175,0.2299580205326736,0.2570006741714455,0.8947759428026569,-0.4136918956169857,0.027460276863479693,0.4846567799884415,1.3970350839025938,1.541976893453145
TV top-15 timed,TV,15,True,3175,0.11643800225878921,0.16235640793363765,0.7171752796254439,-0.31841856154707426,0.05517932676443927,1.031925764309212,0.42262455525834264,27.529139922978175
MC top-20 always-on,MC,20,False,3175,0.22251147155482487,0.20005616032143164,1.1122450375800181,-0.3459397741424023,0.06238810371798773,1.3165132843540122,1.1046936058020522,0.6092426187419769
MC top-20 timed,MC,20,True,3175,0.1202881376227657,0.12543290242837996,0.9589839292082727,-0.22151425918479106,0.07230330445297783,1.7184774624276844,0.33104811055534134,26.887548138639282
TV top-20 always-on,TV,20,False,3175,0.21531879686915942,0.24705755349285372,0.8715329437413362,-0.43635866058169925,0.014879373188404188,0.30241065035078935,1.382834702280345,1.4988446726572529
TV top-20 timed,TV,20,True,3175,0.127296012841777,0.15624278162599853,0.8147321208507923,-0.2896114155470191,0.0656421697174922,1.3407810500863013,0.42535082288502485,27.480616174582803
MC top-25 always-on,MC,25,False,3175,0.22297423770118358,0.2000260020661056,1.114726262576072,-0.34117616222921165,0.05835231942516268,1.3345102316175572,1.1357291752675176,0.6491399229781772
MC top-25 timed,MC,25,True,3175,0.1289061107941746,0.1230349374493973,1.0477195621543842,-0.1842679141900042,0.07989370058515723,2.046567329974357,0.3381373805353644,26.933915275994867
TV top-25 always-on,TV,25,False,3175,0.21539029117349198,0.2394929267607238,0.8993597184132598,-0.4430131482584778,0.017684006545022238,0.3700702918811857,1.3639787334382192,1.477278562259307
TV top-25 timed,TV,25,True,3175,0.12644055563826712,0.14934621852410712,0.8466270983477053,-0.2639266649845765,0.06589279592352036,1.3925171376110483,0.4177199362348925,27.498947368421053
MC top-30 always-on,MC,30,False,3175,0.22764226552941033,0.19884723127698997,1.1448098324904987,-0.3331446464623914,0.060873112957031045,1.454620616642987,1.1505429780833756,0.5679075738125804
MC top-30 timed,MC,30,True,3175,0.13772781803146347,0.1206668447255272,1.141389072903528,-0.1798454096910792,0.08826296542388602,2.3136142666579387,0.34125878768183604,26.88934531450578
TV top-30 always-on,TV,30,False,3175,0.20669712596493084,0.2334724193662704,0.8853171030907312,-0.43265545929517946,0.01025541297472479,0.24116589815159517,1.3552544340324504,1.3227214377406933
TV top-30 timed,TV,30,True,3175,0.12255313332503838,0.14379585570136186,0.8522716647659111,-0.2574541904458588,0.06261303133795526,1.410477409347944,0.4135276961181957,27.38177150192555
