N,stock_id,name,sub,frequency
5,2308,台達電,D600,168
5,8299,群聯,DA00,82
5,4938,和碩,D700,81
5,3711,日月光投控,D900,78
5,2337,旺宏,D900,56
5,3189,景碩,D700,48
5,6147,頎邦,D900,46
5,3450,聯鈞,D900,37
5,3374,精材,D900,32
5,3653,健策,D800,30
5,3260,威剛,DA00,27
5,6239,力成,D900,25
5,2449,京元電子,D900,21
5,3026,禾伸堂,DB00,15
5,2347,聯強,DB00,14
5,6223,旺矽,D600,11
5,6271,同欣電,D700,10
5,2340,台亞,D900,7
5,2329,華泰,D900,7
5,6552,易華電,D700,6
5,6515,穎崴,D600,6
5,3583,辛耘,D600,6
5,3036,文曄,DB00,6
5,3490,單井,D600,5
5,8054,安國,DA00,5
5,8112,至上,DB00,4
5,2486,一詮,D800,4
5,5443,均豪,D600,3
5,4770,上品,D600,2
5,5222,全訊,DA00,2
10,2308,台達電,D600,169
10,8299,群聯,DA00,155
10,4938,和碩,D700,120
10,3189,景碩,D700,105
10,3711,日月光投控,D900,96
10,6147,頎邦,D900,88
10,2337,旺宏,D900,85
10,2449,京元電子,D900,81
10,6239,力成,D900,74
10,3653,健策,D800,71
10,6271,同欣電,D700,70
10,3450,聯鈞,D900,65
10,3374,精材,D900,65
10,3260,威剛,DA00,63
10,6223,旺矽,D600,49
10,2347,聯強,DB00,39
10,3702,大聯大,DB00,33
10,2360,致茂,D600,30
10,3026,禾伸堂,DB00,21
10,3131,弘塑,D600,19
10,3583,辛耘,D600,18
10,2486,一詮,D800,16
10,6515,穎崴,D600,16
10,3490,單井,D600,14
10,2340,台亞,D900,12
10,3036,文曄,DB00,12
10,8112,至上,DB00,11
10,6552,易華電,D700,11
10,8054,安國,DA00,11
10,2351,順德,D800,9
15,2308,台達電,D600,169
15,8299,群聯,DA00,166
15,3189,景碩,D700,143
15,4938,和碩,D700,137
15,2449,京元電子,D900,133
15,6239,力成,D900,130
15,6271,同欣電,D700,114
15,6147,頎邦,D900,111
15,2337,旺宏,D900,101
15,3260,威剛,DA00,99
15,3653,健策,D800,97
15,3450,聯鈞,D900,96
15,3711,日月光投控,D900,96
15,6223,旺矽,D600,84
15,3702,大聯大,DB00,82
15,3374,精材,D900,82
15,2347,聯強,DB00,76
15,2360,致茂,D600,70
15,3131,弘塑,D600,48
15,8150,南茂,D900,33
15,6515,穎崴,D600,32
15,8112,至上,DB00,29
15,3026,禾伸堂,DB00,29
15,2486,一詮,D800,28
15,2340,台亞,D900,27
15,3264,欣銓,D900,26
15,3583,辛耘,D600,25
15,2351,順德,D800,23
15,3036,文曄,DB00,22
15,3490,單井,D600,22
20,2308,台達電,D600,169
20,8299,群聯,DA00,169
20,3189,景碩,D700,156
20,2449,京元電子,D900,156
20,6239,力成,D900,153
20,4938,和碩,D700,152
20,6271,同欣電,D700,136
20,6147,頎邦,D900,127
20,3260,威剛,DA00,126
20,2337,旺宏,D900,118
20,3653,健策,D800,116
20,3450,聯鈞,D900,113
20,2360,致茂,D600,113
20,2347,聯強,DB00,108
20,3374,精材,D900,107
20,6223,旺矽,D600,105
20,3702,大聯大,DB00,102
20,3711,日月光投控,D900,96
20,3264,欣銓,D900,72
20,3131,弘塑,D600,70
20,8150,南茂,D900,66
20,8112,至上,DB00,54
20,3036,文曄,DB00,50
20,6257,矽格,D900,49
20,2340,台亞,D900,45
20,6515,穎崴,D600,43
20,2351,順德,D800,38
20,3583,辛耘,D600,36
20,3026,禾伸堂,DB00,35
20,2486,一詮,D800,34
25,2308,台達電,D600,169
25,8299,群聯,DA00,169
25,2449,京元電子,D900,164
25,6239,力成,D900,163
25,3189,景碩,D700,161
25,4938,和碩,D700,161
25,3260,威剛,DA00,144
25,2360,致茂,D600,141
25,6271,同欣電,D700,140
25,6147,頎邦,D900,135
25,3702,大聯大,DB00,132
25,2337,旺宏,D900,131
25,2347,聯強,DB00,130
25,3450,聯鈞,D900,128
25,3653,健策,D800,127
25,6223,旺矽,D600,126
25,3374,精材,D900,116
25,3264,欣銓,D900,104
25,3711,日月光投控,D900,96
25,8150,南茂,D900,90
25,3036,文曄,DB00,85
25,6257,矽格,D900,84
25,3131,弘塑,D600,81
25,2340,台亞,D900,72
25,8112,至上,DB00,69
25,2351,順德,D800,62
25,2486,一詮,D800,60
25,3583,辛耘,D600,52
25,6515,穎崴,D600,49
25,2451,創見,DA00,47
30,6239,力成,D900,169
30,2308,台達電,D600,169
30,8299,群聯,DA00,169
30,2449,京元電子,D900,169
30,3189,景碩,D700,165
30,4938,和碩,D700,165
30,3260,威剛,DA00,160
30,2360,致茂,D600,157
30,3702,大聯大,DB00,156
30,2347,聯強,DB00,147
30,6147,頎邦,D900,147
30,6223,旺矽,D600,146
30,2337,旺宏,D900,145
30,6271,同欣電,D700,144
30,3450,聯鈞,D900,134
30,3264,欣銓,D900,132
30,3653,健策,D800,130
30,3374,精材,D900,127
30,3036,文曄,DB00,124
30,6257,矽格,D900,115
30,8150,南茂,D900,98
30,8112,至上,DB00,97
30,2340,台亞,D900,96
30,3711,日月光投控,D900,96
30,3131,弘塑,D600,90
30,2351,順德,D800,79
30,3583,辛耘,D600,76
30,2451,創見,DA00,70
30,2486,一詮,D800,69
30,2329,華泰,D900,60
