industry_code,industry_name,position,n_days,n_stocks_med,ret_mean,ret_std,ann_ret,ann_vol
1000,水泥,上游,4246,3.0,0.0003808562034938739,0.013337217533093611,0.09597576328045622,0.2117217646448164
1000,水泥,下游,4246,6.0,0.0005041129722630148,0.01208045880160919,0.12703646901027973,0.1917713382757157
1000,水泥,中游,4246,8.0,0.00040398423680600197,0.012799645153013003,0.1018040276751125,0.20318806766847414
2000,造紙,上游,4246,3.0,0.0004240668766302023,0.015582027878466994,0.10686485291081098,0.2473570241309943
2000,造紙,下游,4246,4.0,0.00047701904833616766,0.015367742161952065,0.12020880018071425,0.24395534383852358
2000,造紙,中游,4246,5.0,0.0004473748552722603,0.014879523389844555,0.1127384635286096,0.23620511110018483
3000,汽車,上游,4246,48.0,0.0004382369673058071,0.01136509116416332,0.1104357157610634,0.1804152290877222
3000,汽車,下游,4246,6.0,0.0005516035723336233,0.012978088364996811,0.13900410022807308,0.20602076584081455
3000,汽車,中游,4246,5.0,0.0005354237248618469,0.015163565588797872,0.13492677866518543,0.2407141412218553
4100,太空衛星科技,上游,4246,11.0,0.0006173395084818154,0.015976329962529744,0.1555695561374175,0.25361637566618145
4100,太空衛星科技,下游,4246,2.0,0.0005005685965698195,0.021699179179463672,0.12614328633559452,0.34446379057854887
5400,雲端運算,上游,4246,20.0,0.0006651088165996615,0.012675261425107224,0.1676074217831147,0.2012135372013832
5400,雲端運算,下游,4246,26.0,0.0006479691483978758,0.011640162657176914,0.1632882253962647,0.18478185366738548
5400,雲端運算,中游,4246,14.0,0.0006587997566871262,0.012685989987851086,0.1660175386851558,0.2013838478550557
5800,運動科技,上游,4246,8.0,0.0005726606935852709,0.013000382271418032,0.14431049478348829,0.2063746706336707
5800,運動科技,下游,4246,2.0,0.0003960623970256028,0.020434709318458002,0.09980772405045191,0.32439095382320443
5800,運動科技,中游,4246,13.0,0.00043271903867733144,0.012340493755814174,0.10904519774668753,0.19589926520177847
6000,自動化,上游,4246,2.0,0.0007511052921746097,0.01956265235624537,0.18927853362800162,0.31054747871662197
6000,自動化,下游,4246,8.0,0.000500434635688603,0.01469830556592331,0.12610952819352797,0.2333283673288174
C100,製藥,上游,4246,8.0,0.0006251331870594859,0.018932232891219754,0.15753356313899045,0.300539879959949
C100,製藥,下游,4246,38.0,0.0005268186749266377,0.015181540599313708,0.13275830608151268,0.24099948566768734
C100,製藥,中游,4246,13.0,0.0005227493521091008,0.01682085711336908,0.13173283673149339,0.2670228285655583
C200,醫療器材,上游,4246,17.0,0.0005250128456453145,0.011237289073686468,0.13230323710261924,0.17838643379710664
C200,醫療器材,下游,4246,19.0,0.000346056940608512,0.011459488157599656,0.08720634903334502,0.18191373490259063
C200,醫療器材,中游,4246,46.0,0.0004546035790632464,0.012172582943203015,0.11456010192393809,0.1932337636861311
C300,食品生技,上游,4246,4.0,0.00018858214668607357,0.01572554917146716,0.04752270096489054,0.24963535402571954
C300,食品生技,下游,4246,19.0,0.0004623561964996468,0.01342561704264892,0.116513761517911,0.21312506335463696
C300,食品生技,中游,4246,9.0,0.0005605766218344769,0.015316669483452275,0.14126530870228818,0.24314459020192117
C400,再生醫療,上游,4246,1.0,8.046979741671189e-05,0.024927816751685997,0.020278388949011395,0.3957168231165066
C400,再生醫療,下游,4246,3.0,0.00021987788410974683,0.017675843600345367,0.0554092267956562,0.2805953182787185
C400,再生醫療,中游,4246,1.0,8.046979741671189e-05,0.024927816751685997,0.020278388949011395,0.3957168231165066
D000,半導體,上游,4246,66.0,0.0005355734240415967,0.01681560305882484,0.13496450285848235,0.2669394230353654
D000,半導體,下游,4246,98.0,0.0006001397974088222,0.012344791114239516,0.1512352289470232,0.19596748365190625
D000,半導體,中游,4246,67.0,0.0005732324685809178,0.013679024932138352,0.1444545820823913,0.21714778888974162
F000,電腦週邊,上游,4246,189.0,0.0005008451657117835,0.012704773862784175,0.12621298175936943,0.20168203262544224
F000,電腦週邊,下游,4246,113.0,0.0005117506615840023,0.011609606802578777,0.12896116671916857,0.18429679451320316
G000,平面顯示器,上游,4246,67.0,0.0004031694036313393,0.012790579548092373,0.1015986897150975,0.20304415565184802
G000,平面顯示器,下游,4246,17.0,0.0005732993594678872,0.012863279644053345,0.14447143858590758,0.2041982338970676
G000,平面顯示器,中游,4246,38.0,0.0005427431589994709,0.013634922804624909,0.13677127606786665,0.21644768931960504
H000,觸控面板,上游,4246,19.0,0.00036456912143923646,0.013589694534537953,0.09187141860268759,0.21572971279032654
H000,觸控面板,下游,4246,11.0,0.0005721791350829325,0.012961042318963,0.144189142040899,0.20575016824896
H000,觸控面板,中游,4246,13.0,0.00029004187039632505,0.014848492754475884,0.07309055133987391,0.23571251503492588
I000,通信網路,上游,4246,54.0,0.0004813791939933561,0.013014068923587729,0.12130755688632573,0.20659193950120308
