scope,J,K,skip,type,n,ann_ret,ann_vol,sharpe,ann_alpha,t_alpha,beta,win_rate,max_dd
All70_EW,3,1,0,tertile_LS,204,0.029658642270425056,0.09441772372291769,0.31412155579457285,0.036240334005599915,1.6250378705675406,-0.06770967251220453,0.5980392156862745,-0.2193962579941935
All70_EW,3,1,1,tertile_LS,203,0.03295599539811154,0.08556915934026078,0.3851387071253551,0.03510032549375084,1.6499286528314872,-0.02060341475955189,0.6009852216748769,-0.2532734461205346
All70_EW,3,3,0,tertile_LS,204,0.02689797346163905,0.05295473647002767,0.5079427309937284,0.029162298194001967,1.5010201913499934,-0.023294419164331538,0.6029411764705882,-0.19229545113570112
All70_EW,3,3,1,tertile_LS,203,0.033050473962275305,0.05013702402763022,0.6592029463907029,0.03337229782763285,1.8109149269541207,-0.0030921874346527298,0.5862068965517241,-0.21919009997633343
All70_EW,3,6,0,tertile_LS,204,0.026484204014648897,0.03852590877382783,0.6874387874956673,0.026950225775006022,1.724123587738345,-0.004794235592758989,0.5931372549019608,-0.17702137188732248
All70_EW,3,6,1,tertile_LS,203,0.03189299245262085,0.0372205120538465,0.8568660314635547,0.03267014009003208,2.145174267168509,-0.007467085005033121,0.5960591133004927,-0.19126314614338458
All70_EW,6,1,0,tertile_LS,201,0.02752069646437231,0.08879727109858478,0.3099272773125899,0.031206790073564326,1.6400877431884917,-0.03454265507371037,0.5621890547263682,-0.2609291227534529
All70_EW,6,1,1,tertile_LS,200,0.020028125469536695,0.08586756748432742,0.23324435588782966,0.01905263596337056,0.8673692500778547,0.008493679648765231,0.545,-0.3094246898191908
All70_EW,6,3,0,tertile_LS,201,0.02614043378831171,0.04904697188363475,0.5329673328320979,0.027887804049870075,1.564638836646928,-0.016374735595578258,0.582089552238806,-0.23968745029513905
All70_EW,6,3,1,tertile_LS,200,0.019691062877328618,0.05163074095202649,0.38138253517657006,0.019158068434089785,0.9328294042353912,0.004640833168195729,0.56,-0.2868767466072425
All70_EW,6,6,0,tertile_LS,201,0.025929682932052056,0.035847851427897405,0.7233259986084728,0.027075115161300838,1.776031663058038,-0.010733929899822758,0.5870646766169154,-0.19872903640745554
All70_EW,6,6,1,tertile_LS,200,0.020709414912053872,0.04204971525815538,0.4924983388094967,0.022291054468154374,1.2396420588053514,-0.013771485622772969,0.58,-0.267208425609629
All70_EW,9,1,0,tertile_LS,198,0.03728901186697218,0.08951995257625264,0.4165441423263667,0.03928613144417823,2.0056919983968426,-0.01581545040800824,0.5606060606060606,-0.2688216579752345
All70_EW,9,1,1,tertile_LS,197,0.03157755418577539,0.09048423835964785,0.3489840303486231,0.03531547913299127,1.800611385399637,-0.03173113900840795,0.5634517766497462,-0.30339995268716324
All70_EW,9,3,0,tertile_LS,198,0.03932308192030558,0.052908488407316726,0.7432282248847537,0.04122160034581668,2.148033904332263,-0.015034615027592221,0.6262626262626263,-0.22915956993257158
All70_EW,9,3,1,tertile_LS,197,0.03156501867178679,0.05240406181796107,0.6023391618274929,0.03517782376129082,1.9721211798789744,-0.0306690000800369,0.5736040609137056,-0.2664369419029591
All70_EW,9,6,0,tertile_LS,198,0.041015081202466344,0.041052727590190616,0.9990829747513958,0.0424916464948409,2.5487438454882234,-0.011693113132667887,0.6212121212121212,-0.19437367448974685
All70_EW,9,6,1,tertile_LS,197,0.03165421739138519,0.03680513256621468,0.8600489981781024,0.0338878014974312,2.2501249799211234,-0.01896083221486456,0.5989847715736041,-0.2238646844493698
All70_EW,12,1,0,tertile_LS,195,0.02362885615396126,0.08849334870327023,0.2670127924889802,0.02540082884678377,1.3575437213053274,-0.01568119739634021,0.558974358974359,-0.25781178909567093
All70_EW,12,1,1,tertile_LS,194,0.008818570096673514,0.08860983272230963,0.09952134910704137,0.008434769612806176,0.4653738709639991,0.003303983524905625,0.5154639175257731,-0.3085434899723436
All70_EW,12,3,0,tertile_LS,195,0.02437190364452923,0.04862192604973477,0.501253356759243,0.02790158514628,1.616402220415881,-0.031236165545531217,0.5487179487179488,-0.219745566361226
All70_EW,12,3,1,tertile_LS,194,0.00969346637544024,0.04707427472542512,0.2059185496108076,0.010920031043031863,0.6659616557959576,-0.010559000377275984,0.5103092783505154,-0.2741358262044824
All70_EW,12,6,0,tertile_LS,195,0.024516089797306254,0.03546869262602825,0.6912036498158218,0.026836927501053556,1.7861308641685751,-0.02053841704488167,0.5384615384615384,-0.18142094520080432
All70_EW,12,6,1,tertile_LS,194,0.008162075289048842,0.03351079894575925,0.24356552352750582,0.009125687491186397,0.6574230298829201,-0.008295348687889883,0.5,-0.2669923817247256
Chain26_EW,3,1,0,tertile_LS,204,0.02045312150473582,0.10325295949538585,0.1980875086263249,0.029055873534290587,1.219675288560189,-0.08850148959603019,0.5490196078431373,-0.30057612149222324
Chain26_EW,3,3,0,tertile_LS,204,0.019109106719556464,0.05729998040379303,0.3334923779187107,0.022965711762976404,1.118751293753839,-0.03967512837213473,0.5637254901960784,-0.27682059140467574
Chain26_EW,3,6,0,tertile_LS,204,0.019717961079302813,0.041223668184009694,0.478316509615009,0.02144108056339737,1.2777484203894534,-0.0177267275135215,0.553921568627451,-0.24308114143893333
Chain26_EW,6,1,0,tertile_LS,201,0.024574323475711035,0.09417175733064044,0.26095215988621406,0.027128004432720548,1.3089945991303509,-0.023930732590813835,0.48258706467661694,-0.2001077667085862
Chain26_EW,6,3,0,tertile_LS,201,0.024325885631860146,0.05228872286080147,0.46522240936383974,0.025680446245605178,1.357050733293019,-0.012693687414868532,0.5621890547263682,-0.17462279169345207
Chain26_EW,6,6,0,tertile_LS,201,0.025507190022257462,0.03906303301841169,0.6529751545466294,0.02665406869961471,1.5964234297783957,-0.01074748467172775,0.5572139303482587,-0.14263335070766747
Chain26_EW,12,1,0,tertile_LS,195,0.012307222551841458,0.09713605613320403,0.12670086723476184,0.015024736595542994,0.7098397961456197,-0.024048832309448577,0.5743589743589743,-0.3568492176582807
Chain26_EW,12,3,0,tertile_LS,195,0.01348692389849732,0.055476075662147184,0.24311243608206068,0.018274809192936392,0.9320848074438796,-0.04237072880256523,0.5282051282051282,-0.3300369227045111
Chain26_EW,12,6,0,tertile_LS,195,0.013528774377185124,0.0390830816315952,0.3461542389290079,0.016204885944521182,0.9922625236678941,-0.023682438173007334,0.5282051282051282,-0.2893468718623513
WithinPosition_上游_EW,6,1,0,tertile_LS,201,0.035566518935043936,0.11380664958336871,0.3125170547173502,0.037579958394809695,1.4873569895186882,-0.018868089675490106,0.5522388059701493,-0.2549832269904093
WithinPosition_中游_EW,6,1,0,tertile_LS,201,0.03371162476117584,0.10294463754952302,0.3274733445436473,0.03553983642670341,1.6799597925577632,-0.017132306354502778,0.5572139303482587,-0.24187609293150458
WithinPosition_下游_EW,6,1,0,tertile_LS,201,0.020261525585031418,0.09161496611110949,0.2211595598961254,0.02440393455702875,1.2908341610701979,-0.038818819993372784,0.5074626865671642,-0.23468944307914208
All70_VW,3,1,0,tertile_LS,132,0.055359607551595545,0.11668648658998367,0.47443032324831,0.08184526331584027,2.475711624821944,-0.2036537480466742,0.6060606060606061,-0.2469263557560002
All70_VW,3,3,0,tertile_LS,132,0.05038078285221165,0.06332844272873904,0.7955474772688257,0.06092047318126749,2.232399788857832,-0.08104188387365426,0.6212121212121212,-0.21726303356294174
All70_VW,6,1,0,tertile_LS,129,0.024615145188838027,0.10613154231836064,0.23193053310202988,0.03676893155453912,1.1606716996577517,-0.09555571540014221,0.5426356589147286,-0.2879506011580988
