n,ann_ret,ann_vol,sharpe,max_dd,ann_alpha,t_alpha,beta,target,predictor,smooth_N,hold_K,cost_rt,avg_daily_turn,ann_turn
4672,0.26844104631597665,0.13775620799015267,1.9486675064049803,-0.30227557653164894,0.21409676093645155,8.215772202828653,0.4521364147043058,G_md,A_G_up,1,1,0.0,0.4387842465753425,110.57363013698631
4672,0.10258060111049713,0.1387918579088835,0.7390966779754549,-0.38281203483363724,0.04806760236721913,1.7460085224773862,0.45354008493140124,G_md,A_G_up,1,1,0.003,0.4387842465753425,110.57363013698631
4672,-0.00799302902648917,0.14003317528682968,-0.05707953854589861,-0.6048252967284833,-0.06261850334560255,-2.1895111457029017,0.4544758650827979,G_md,A_G_up,1,1,0.005,0.4387842465753425,110.57363013698631
4672,-0.17385347423196865,0.1426927267812739,-1.2183765644794176,-0.9766076813796808,-0.22864766191483507,-7.541719734896887,0.4558795353098938,G_md,A_G_up,1,1,0.008,0.4387842465753425,110.57363013698631
4672,-0.28442710436895496,0.14497471978813212,-1.9619082884562242,-0.9968755548657675,-0.3393337676276565,-10.762286549084832,0.4568153154612904,G_md,A_G_up,1,1,0.01,0.4387842465753425,110.57363013698631
4668,0.1343160940820456,0.135094297952297,0.9942395505802459,-0.5145407578339607,0.08055713908984148,2.7793433609256657,0.4400887387780396,G_md,A_G_up,1,5,0.0,0.09811482433590403,24.724935732647815
4668,0.09722869048307382,0.13501916804704892,0.7201102768548642,-0.5442003336961952,0.04356564099907488,1.4819622969187434,0.43930362429517833,G_md,A_G_up,1,5,0.003,0.09811482433590403,24.724935732647815
4668,0.07250375475042602,0.13517546468065278,0.5363677123042525,-0.5629827021398832,0.01890464227189718,0.6364847445759684,0.4387802146399371,G_md,A_G_up,1,5,0.005,0.09811482433590403,24.724935732647815
4668,0.035416351151454306,0.13571805843467064,0.26095533313646946,-0.5897475532831343,-0.018086855818869367,-0.5989028706647548,0.437995100157076,G_md,A_G_up,1,5,0.008,0.09811482433590403,24.724935732647815
4668,0.010691415418806485,0.13628331171481903,0.0784499237968249,-0.606694603967936,-0.042747854546047126,-1.3988630451707735,0.43747169050183493,G_md,A_G_up,1,5,0.01,0.09811482433590403,24.724935732647815
4663,0.14744998789378097,0.13540126933614982,1.088985270350153,-0.35596881344847153,0.09379585046132403,3.4630372872864,0.43986610180961805,G_md,A_G_up,1,10,0.0,0.04482093073128887,11.294874544284795
4663,0.13050767607735378,0.13544982302514888,0.9635130793277045,-0.3693672670302188,0.07679551772360459,2.8053262749355734,0.44034176757732074,G_md,A_G_up,1,10,0.003,0.04482093073128887,11.294874544284795
4663,0.119212801533069,0.1355817064558271,0.8792690743415954,-0.3781552738513235,0.06546196256512497,2.3733105788069615,0.44065887808912263,G_md,A_G_up,1,10,0.005,0.04482093073128887,11.294874544284795
4663,0.10227048971664181,0.13592822374165076,0.7523859791695664,-0.3911242842503966,0.048461629827405484,1.7360529521504662,0.44113454385682527,G_md,A_G_up,1,10,0.008,0.04482093073128887,11.294874544284795
4663,0.090975615172357,0.13625777514358076,0.6676728361114955,-0.3996302724950853,0.03712807466892584,1.3189444574411735,0.44145165436862704,G_md,A_G_up,1,10,0.01,0.04482093073128887,11.294874544284795
4653,0.11779588390104878,0.15075620314016286,0.7813667460935602,-0.4650790598261044,0.050077205643230524,1.442548205796824,0.5595129606174392,G_md,A_G_up,1,20,0.0,0.02407049215559854,6.065764023210832
4653,0.10869723786623253,0.1507724948096884,0.7209354597696014,-0.469921696300558,0.040998418701560395,1.1800591435612733,0.5593488785608018,G_md,A_G_up,1,20,0.003,0.02407049215559854,6.065764023210832
4653,0.1026314738430217,0.1508324325367255,0.6804337244778733,-0.4731297806151621,0.03494589407378021,1.0051325817614134,0.5592394905230434,G_md,A_G_up,1,20,0.005,0.02407049215559854,6.065764023210832
4653,0.09353282780820545,0.15099583716272247,0.6194397777165783,-0.47791156125878465,0.025867107132109983,0.7430205887786651,0.559075408466406,G_md,A_G_up,1,20,0.008,0.02407049215559854,6.065764023210832
4653,0.08746706378499461,0.15115364867367173,0.5786632645158888,-0.4810792798744663,0.01981458250432989,0.5685677558237244,0.5589660204286476,G_md,A_G_up,1,20,0.01,0.02407049215559854,6.065764023210832
4672,0.26571878207191696,0.13424827397250247,1.9793087405082248,-0.22372805740681612,0.21472035501375933,9.226331068331717,0.424299368454332,G_md,A_G_up,3,1,0.0,0.2718321917808219,68.50171232876713
4672,0.16296621357876626,0.13477609701201268,1.2091625829188464,-0.2908862321685811,0.11175214130706536,4.589960450709294,0.4260935047286193,G_md,A_G_up,3,1,0.003,0.2718321917808219,68.50171232876713
4672,0.09446450124999912,0.13558757213675018,0.6967047182961917,-0.35799052828837363,0.04310666550260265,1.7132414017254725,0.427289595578144,G_md,A_G_up,3,1,0.005,0.2718321917808219,68.50171232876713
