target,D100,GA00,P200,P600,IA00,2330
xind,0.08688860976688195,0.017685763024283128,0.0004195721485661103,0.016829434161493365,-0.024087818666217668,0.04485247567988325
broad,0.057886873586860045,0.007023887613454576,0.00601924361382807,0.036875153738400716,-0.010514038840066046,0.032842427157513496
