stock_id,name,sub_code,n_full,beta_lag,t_lag,alpha_ann_full,beta_contemp,t_contemp,beta_lag_5y,t_lag_5y,ann_vol
6208,日揚,D400,4657,0.1788059358110486,4.652706507792104,0.12140074445883436,0.4995297565491731,22.73774038600369,0.2310238180245469,3.8665849011901856,0.3444292915630452
3402,漢科,D400,4673,0.1600815950068842,3.8910036593792627,0.16369373840594648,0.5835556730192881,26.863350202905455,0.13269993629689356,1.9342121578773168,0.35035356348445923
5434,崇越,D400,4673,0.13906228302523735,3.8189796994899146,0.19731731160287894,0.5843960774381862,30.69554043434283,0.09808077632359004,1.785639599425352,0.28559362802407495
5434,崇越,D500,4673,0.13906228302523735,3.8189796994899146,0.19731731160287894,0.5843960774381862,30.69554043434283,0.09808077632359004,1.785639599425352,0.28559362802407495
3535,晶彩科,D400,4476,0.20716601078371122,3.605237444892545,0.19228302429972632,0.7892260324635113,27.857481975361758,0.1988725489409272,2.124985081175047,0.49983122596641727
6207,雷科,D400,4665,0.1424588090216949,3.560831785463268,0.13340402043672317,0.6200354089025586,26.078365800692023,0.16995069506669572,2.2262943888399684,0.38104880483126835
3010,華立,D500,4673,0.11780269106171352,3.4787152757788227,0.12779620788260782,0.48854819804971744,26.87231905574679,0.1412863387660875,2.572938723558834,0.2547438957193926
8091,翔名,D400,4662,0.13301415512604037,3.4096007987500565,0.18942557174722813,0.5780597080912189,23.66895711315712,0.14142501820823367,2.0777331534054637,0.3538256479398945
1785,光洋科,D500,4503,0.1812322419805421,3.342856400856838,0.12538578659495023,0.7924339421611112,33.79430051692067,0.18051468919392025,2.1677999688472425,0.4220605305802031
6277,宏正,D400,4673,0.101137726023766,3.2642256787839607,0.07370233640901833,0.38922009510722705,19.56701790724356,0.019060347007750254,0.7379491267431998,0.2465413542191879
3305,昇貿,D500,4671,0.15591897912570726,3.2158498384969922,0.1349948185503605,0.7565089813500602,33.69468002272737,0.09041599482597808,0.9655506905777368,0.3965598545425889
2360,致茂,D400,4673,0.15572655398005641,3.2077237582910945,0.3281296292133009,0.6056611370410288,22.54607551788047,0.09824305332925345,1.0085903155775757,0.420405202536813
1711,永光,D500,4673,0.14837280992131816,2.888330305444377,0.14468476933058835,0.6383910767021435,24.145776538000643,0.0005739588090030584,0.0058688833129488275,0.39239235698389724
7556,意德士科技,D400,1300,0.2453072540648701,2.615610769520981,0.3931295853539449,0.5771908434064912,10.81077616816177,0.24457845494413372,2.6254495639148714,0.4396287801013544
2467,志聖,D400,4673,0.10072512521220174,2.60806273355364,0.2886829114972479,0.5874733189744233,24.15222582884894,0.13316545521117398,1.4626420402378697,0.3641858943496586
8383,千附,D400,4673,0.10290131620043523,2.502697576199929,0.11133368987812126,0.5197617795469268,22.627751659936607,0.10792655210366536,2.0081550563307013,0.3400617604857046
2493,揚博,D500,4673,0.09872945113602649,2.4657466735942886,0.20870151307967974,0.5133129733795104,21.682106850991957,0.1276772271776413,1.9297590229519748,0.314784040374955
3551,世禾,D400,4429,0.10743044708654804,2.4239619827962984,0.17550890967871333,0.6331192123731383,29.066033912449587,0.0815395130597873,1.086487889763998,0.35527422861118024
5222,全訊,D400,1092,0.19090864737231403,2.3542734658133058,0.07859619928313386,0.7254206781312524,16.979021513115132,0.19090864737231403,2.3542734658133058,0.406883628737997
8374,羅昇,D400,4673,0.09633303802048858,2.305807937435855,0.15432304459919594,0.6053618654931069,23.32988606407626,0.07786039342463838,0.9379650780057367,0.42615296973241434
6789,采鈺,D400,927,0.27471751314974213,2.2279502601559953,0.27795485816240983,1.0368664177888893,26.21817412072812,0.27471751314974213,2.2279502601559953,0.485005394256938
4720,德淵,D500,4673,0.09748573294144058,2.219493822998291,0.11542542691051004,0.44626756414017243,19.17543845814388,0.07898196597140389,1.1525166967491118,0.3351426415027178
6735,美達科技,D400,948,0.3158612615968839,2.2065582963687103,0.2780262882912049,0.6662387431871263,10.74584212104474,0.3158612615968839,2.2065582963687103,0.5049257541318039
6664,群翊,D400,1851,0.1369915836375156,2.153291486501135,0.3841492869378366,0.6075686659611117,14.82550440712845,0.12648197789622262,1.7044226912333666,0.38347933268818063
6658,聯策,D400,598,0.43085196050443564,2.1531543278527785,0.7223269437487737,0.8916318430974355,10.860988918919112,0.43085196050443564,2.1531543278527785,0.6199832767552597
6223,旺矽,D400,4673,0.1209341555739323,2.076387346350392,0.3396070466889521,0.9472342985215055,41.13109463283407,0.0407330663483243,0.3525342688111461,0.49077688253414886
3413,京鼎,D400,2619,0.1391800105496464,2.050144481973263,0.27854219842752254,0.9404256749770206,29.616339398058347,0.10134229405616427,1.204526360124047,0.4320879056170526
3114,好德,D400,4667,0.07780562441784757,2.0242604895526277,0.11970672438054426,0.4885815188352444,19.640759746774368,0.060747474881661254,0.8933595670418617,0.3439707195596694
3339,泰谷,D400,4547,0.11755487421755603,1.9701812396972815,0.04974126569174706,0.857686527783538,31.2836809691749,0.09544086966870194,0.8349541799233141,0.5510779448303197
4755,三福化,D500,3018,0.11574570239892357,1.9452270799177118,0.22455734854215445,0.5988526840884391,18.640855229387167,0.15024427102443055,1.8884826652977829,0.3499374664030393
3030,德律,D400,4673,0.09187712866777503,1.9443649560573333,0.24517111311197867,0.6071488592583764,26.293431633975775,-0.0071777542506476855,-0.10662213412878649,0.34751698845129836
6438,迅得,D400,2194,0.14108271658503913,1.9314557959686693,0.27692358978936715,0.8274170417460204,27.318714928637085,0.1308825576901559,1.5245464980293744,0.4278308940887926
6510,精測,D400,2460,0.13588499840983673,1.8718145650835214,0.31073892280966076,0.8550469199291915,25.371289728318715,0.08168319940064366,0.9601220453756116,0.49194427322816364
5536,聖暉*,D400,3776,0.08028785840793991,1.8412629814934913,0.27604569276875307,0.4899168410278364,19.904554392762666,0.04213425492334143,0.6396221234478949,0.31510382344095184
1717,長興,D500,4665,0.05789366381645966,1.6512358848113171,0.12582992919922414,0.4534538531014099,22.561861341311516,0.0684459895861354,1.272891081449871,0.28578703317004495
4764,雙鍵,D500,1968,0.0919370282080436,1.624799552564995,0.22748760067194307,0.3678748671605536,7.052381502138334,0.08315512929636386,1.3121617282427052,0.3644298629924125
6937,天虹,D400,572,0.2944379528447048,1.59627004977817,0.3123872568352467,1.0277263689963625,17.500581233963707,0.2944379528447048,1.59627004977817,0.5772604752413252
6706,惠特,D400,1541,0.16450434148832588,1.5697503958102352,0.23539037607218763,0.9703933433716556,26.063383732372426,0.13861264205343843,1.2579526356667583,0.5693352298047027
6829,千附精密,D400,1002,0.18016344041449733,1.551527069322943,0.41555857216136005,0.6787696242113644,9.766236242123478,0.18016344041449733,1.551527069322943,0.4810747118652682
6515,穎崴,D400,1275,0.16214484038998533,1.5439657752081248,0.7817464086748089,0.9222267414891057,19.78891457543877,0.16214484038998533,1.5439657752081248,0.5702189650249155
5234,達興材料,D500,3368,0.082216674097249,1.4759675936148093,0.3071293535875691,0.6496422688937057,19.252050810225303,0.07037018392952314,0.8688494086014683,0.38742509458288876
6532,瑞耘,D400,2334,0.09505025916347715,1.3542729295723452,0.23250439356755145,0.8067136868303344,21.36603348382631,0.1135467654268208,1.503957995783586,0.4427457472903725
3680,家登,D400,3585,0.08232408761827553,1.2355640701496728,0.3009941531286223,0.8559744380227364,26.579771738733225,0.09748179282356531,1.036534242455712,0.4429934512373006
3178,公準,D400,1803,0.09914713148522927,1.1974358174438635,0.24659834456757054,0.7674285152166334,18.423602547677614,0.13345584572537744,1.449266800668682,0.4753047421474856
