variant,N,timed,n,ann_ret,ann_vol,sharpe,max_dd,ann_alpha,t_alpha,beta,ann_turn
Full_EW,all,False,3423,0.21395152150629737,0.1792634631343006,1.193503225729881,-0.3720041940799188,0.0495104941152773,2.1142714543705474,1.1382911581175077,2.1988250716115254
Full_EW,all,True,3423,0.16689936708928715,0.1030992177871883,1.6188228259286277,-0.12941684210281668,0.11809975138807896,3.839730163216524,0.33779995146911257,29.955144334930406
ratio,5,False,3423,0.159742463581167,0.2128177312051211,0.7506069286454411,-0.3824314887668784,0.02265249639351116,0.6610562973643221,0.9489620686038684,2.6418485237483953
ratio,5,True,3423,0.1370525428976517,0.14772176466731118,0.9277748827758187,-0.20010788796007106,0.09629381291865641,2.684434438803184,0.2821394556290817,30.462130937098845
ratio,10,False,3423,0.19360964410628662,0.18517326595558026,1.045559374390092,-0.38042505908661794,0.05292326373530181,1.7702979910530867,0.973857104790831,2.307573812580231
ratio,10,True,3423,0.1573715435556832,0.12111721551524333,1.299332575358596,-0.1701584027266636,0.11603380762983072,3.570912975604815,0.2861474417154116,30.25725288831836
ratio,15,False,3423,0.21706277342178934,0.17902327704574028,1.2124835217172907,-0.3662899263929984,0.07103886536764413,2.533775415833378,1.0108044570686883,2.145827984595636
ratio,15,True,3423,0.1690460787163593,0.1128502002413576,1.4979687971737148,-0.16925615092922464,0.12563227293321327,4.000019963929003,0.30051838064522124,30.0811296534018
ratio,20,False,3423,0.2326347883283361,0.17771115746326666,1.3090612409995828,-0.374642975062324,0.08239943538119206,3.077092353622069,1.0399568563248691,1.7738125802310656
ratio,20,True,3423,0.1783856953755841,0.10923222692140845,1.6330866851586843,-0.1415143029736483,0.13362400401224708,4.4075375244589,0.3098486935387138,29.874454428754817
