variant,gross_ann,gross_alpha,gross_t,net_ann,net_vol,net_sharpe,net_alpha,net_t_alpha,ic_mean,ic_std,ir,ann_turn
A_beta_x_EMA,-0.034562235338813634,-0.03705165978591886,-1.2367649996254482,-0.1042213192520401,0.12442574770511856,-0.8376185891929562,-0.10617332240845166,-3.5055250050304654,-0.019923853884977322,0.1265405228098991,-0.5454241288887685,27.863633565290584
B_beta_x_sign,-0.034562235338813634,-0.03705165978591886,-1.2367649996254482,-0.1042213192520401,0.12442574770511856,-0.8376185891929562,-0.10617332240845166,-3.5055250050304654,-0.019923853884977322,0.1265405228098991,-0.5454241288887685,27.863633565290584
C_beta_x_zlead,-0.0006593196453403193,0.0034505401984772097,0.11147685284210526,-0.07113346309272205,0.12327691270573377,-0.5770217758658516,-0.06665274896248706,-2.115363422460312,0.004289686171903758,0.1280344609728302,0.11606179058057872,28.1896573789527
D_beta_only,0.031901908503585666,-0.01050111743224195,-0.35959824909681637,0.004051225426876141,0.12219010330141104,0.03315510272450484,-0.03813829608517714,-1.3036398293977578,-0.020077763704125087,0.12651608054208333,-0.5497436640291655,11.140273230683812
E_beta_x_lead_lag,-0.012029546176152654,-0.008235207619451975,-0.27684437698597447,-0.08449766797524526,0.12358636178090691,-0.6837135324449649,-0.0803043133620212,-2.6462315399579186,-0.0009305288210124878,0.1281032407113286,-0.025162879361228598,28.987248719637034
