industry_code,industry_name,rest_positions,variant,up_n_med,rest_n_med,n,ann_ret,sharpe,ann_alpha,t_alpha,beta,ann_turnover
1000,水泥,中游+下游,gross,3.0,14.0,4245,0.14529181605904512,1.0518321084849689,0.10770261400879386,3.5751941958188955,0.36278575816165964,29.332704995287465
1000,水泥,中游+下游,net50,3.0,14.0,4244,0.07267368196917122,0.5238830458339129,0.03489660005402822,1.0509156520858465,0.36363099992915304,29.332704995287465
2000,造紙,中游+下游,gross,3.0,9.0,4245,0.17217598374481244,1.0543706528735546,0.13477604599010876,3.306380519964636,0.3609591061656599,25.948162111215836
2000,造紙,中游+下游,net50,3.0,9.0,4244,0.10734614773721227,0.6555090110185757,0.06980339260376227,1.6353249643301564,0.36137543974246167,25.948162111215836
3000,汽車,中游+下游,gross,48.0,11.0,4245,0.17530098918474468,1.1715973317253972,0.13716594759906053,3.5893389525157624,0.3680538351331232,23.988689915174362
3000,汽車,中游+下游,net50,48.0,11.0,4244,0.1155075595466509,0.7702440440470345,0.0771976836678946,1.9310471389168493,0.3687595167950164,23.988689915174362
5400,雲端運算,中游+下游,gross,20.0,40.0,4245,0.22849989720678154,1.7905440487396156,0.18816085883853587,5.495840727117049,0.38932533333302005,25.948162111215836
5400,雲端運算,中游+下游,net50,20.0,40.0,4244,0.1636833326208265,1.2759765880739,0.12312312687082015,3.3332288527659326,0.3904205255275391,25.948162111215836
5800,運動科技,中游+下游,gross,8.0,15.0,4245,0.09695100835629537,0.5725301408560661,0.06190009048411527,1.967780585631238,0.33828794230645126,30.460885956644677
5800,運動科技,中游+下游,net50,8.0,15.0,4244,0.020821637717359537,0.12262538527925022,-0.014352259233432123,-0.41215457269842065,0.3385735125955913,30.460885956644677
C100,製藥,中游+下游,gross,8.0,51.0,4245,0.1821281326485337,1.0355459011537502,0.13949763792584932,2.6201525081673798,0.4114409326407168,30.163996229971726
C100,製藥,中游+下游,net50,8.0,51.0,4244,0.10741202995174214,0.608954429833112,0.0644393186319019,1.1523434261667822,0.4136425894938316,30.163996229971726
C200,醫療器材,中游+下游,gross,17.0,65.0,4245,0.17611705465363264,1.5033097020696053,0.13967591344528574,4.367097837039868,0.3517054451933455,22.91988689915174
C200,醫療器材,中游+下游,net50,17.0,65.0,4244,0.11902308536415601,1.0140415511401424,0.08259414417317537,2.446617660060581,0.350654196673847,22.91988689915174
C300,食品生技,中游+下游,gross,4.0,28.0,4245,0.15759034138798297,1.0051175532371808,0.11910731713755082,2.7837133948104023,0.3714123303384472,27.135721017907635
C300,食品生技,中游+下游,net50,4.0,28.0,4244,0.0902854086148514,0.5748897691255,0.05158041475375115,1.1593787461473537,0.3725628054485035,27.135721017907635
D000,半導體,中游+下游,gross,66.0,165.0,4245,0.24673898316388532,2.033722520807697,0.2038472644474476,6.868273928690078,0.41396209136329565,25.116870876531575
D000,半導體,中游+下游,net50,66.0,165.0,4244,0.18420758858493808,1.5144298458675964,0.1412303702464777,4.307262185675928,0.4136859727199687,25.116870876531575
F000,電腦週邊,下游,gross,189.0,113.0,4245,0.21222279783694104,1.9125342217983605,0.17312148726527687,6.855151803527214,0.37737961507913653,23.632422243166825
F000,電腦週邊,下游,net50,189.0,113.0,4244,0.15340283353453843,1.378696231997935,0.11433202313394626,4.085037017317017,0.37608404709297194,23.632422243166825
G000,平面顯示器,中游+下游,gross,67.0,55.0,4245,0.2430304770480546,1.970624612881287,0.20092291999635198,7.38171173273903,0.40639388909920166,22.207351555136665
G000,平面顯示器,中游+下游,net50,67.0,55.0,4244,0.18750473626813638,1.517544858360659,0.1452595186894413,4.960732562515185,0.4066399502447474,22.207351555136665
H000,觸控面板,中游+下游,gross,19.0,24.0,4245,0.19499631620920815,1.517527803578324,0.15449581659188608,5.131257142369663,0.390883648978604,23.869934024505184
H000,觸控面板,中游+下游,net50,19.0,24.0,4244,0.1349159727190808,1.048580477904959,0.0943501404535093,2.9399091693248254,0.390474684699643,23.869934024505184
I000,通信網路,下游,gross,54.0,93.0,4245,0.21160379892890388,1.8475280287342581,0.1723555390514865,7.019893381835494,0.3787978711843806,23.394910461828466
I000,通信網路,下游,net50,54.0,93.0,4244,0.15327438056991582,1.3335711518724715,0.11400257070788265,4.20696277132908,0.37801880836736523,23.394910461828466
J000,被動元件,中游,gross,12.0,40.0,4245,0.22430136768368825,1.5930751207977907,0.17995768658105069,5.560375743515768,0.42797545813802856,25.888784165881244
J000,被動元件,中游,net50,12.0,40.0,4244,0.1602233804764871,1.1352751916228028,0.11578863464592938,3.322651840157535,0.42771570060011993,25.888784165881244
K000,連接器,中游,gross,9.0,42.0,4245,0.20544603605918693,1.650472485431933,0.1619290958899909,4.71437828758064,0.4199963093404353,25.65127238454288
K000,連接器,中游,net50,9.0,42.0,4244,0.14158386842621767,1.1332696102475486,0.09791904165200023,2.6553614070734537,0.4203046878344846,25.65127238454288
L000,印刷電路板,中游,gross,24.0,56.0,4245,0.2196805984161564,1.7228217053363049,0.1763220160332723,6.241578467873101,0.41846794623522093,23.513666352497644
L000,印刷電路板,中游,net50,24.0,56.0,4244,0.16060947993671681,1.2553075898135932,0.11717434552720472,3.851396192275458,0.4180937371728774,23.513666352497644
M000,食品,中游+下游,gross,16.0,43.0,4245,0.15468811142989988,1.3779249394889388,0.12095003091396188,4.357242541162214,0.3256173169765886,26.601319509896324
M000,食品,中游+下游,net50,16.0,43.0,4244,0.08898662910349016,0.7884054563434644,0.05518321823753764,1.8192524622470638,0.32538161951770705,26.601319509896324
N000,石化及塑橡膠,中游+下游,gross,3.0,84.0,4245,0.16420105554684084,1.491660379851037,0.12760356069822348,4.4857259353809384,0.3532144656256229,32.0640904806786
N000,石化及塑橡膠,中游+下游,net50,3.0,84.0,4244,0.08452982494493047,0.764499140339253,0.04781096983763776,1.5327567621633225,0.35344482215198075,32.0640904806786
O000,紡織,中游+下游,gross,6.0,81.0,4245,0.16666023210242475,1.618652405003309,0.13593025149894375,4.712271954418239,0.2965851548703577,29.154571159283694
O000,紡織,中游+下游,net50,6.0,81.0,4244,0.09381307381592674,0.9042893571346301,0.06310961318192869,2.0320506904449083,0.2955424168734085,29.154571159283694
P000,電機機械,下游,gross,29.0,84.0,4245,0.2133295510687399,2.2318950954227206,0.17972595043399822,7.664342005743553,0.32431940739095527,22.74175306314797
P000,電機機械,下游,net50,29.0,84.0,4244,0.1565254345633367,1.626648880252397,0.12284689161652966,4.738931818035681,0.32417967791724295,22.74175306314797
Q000,鋼鐵,中游,gross,5.0,17.0,4245,0.139850180789313,0.8091575940778811,0.10032564473491376,1.9939757846909656,0.3814643034803992,29.926484448633364
Q000,鋼鐵,中游,net50,5.0,17.0,4244,0.06552655533851956,0.3780561114698098,0.025826422667937724,0.489535379257171,0.38214171684173825,29.926484448633364
S000,建材營造,中游+下游,gross,31.0,114.0,4245,0.20260733340031262,1.7929125489811277,0.16483712143479323,6.6523773008991585,0.3645327444173812,24.107445805843543
S000,建材營造,中游+下游,net50,31.0,114.0,4244,0.14270463817742085,1.256797288398191,0.10491838216591186,3.87242540257344,0.36371930706315775,24.107445805843543
V000,貿易百貨,中游+下游,gross,11.0,60.0,4245,0.1391808161365901,1.4467158545159522,0.10718123671475176,4.377462247296735,0.3088384708429392,30.104618284637134
