n,ann_ret,ann_vol,sharpe,max_dd,win,ann_alpha,t_alpha,beta,smooth_N,hold_K,cost_rt,avg_daily_turn,ann_turn
4244,0.2957398798384564,0.12203186134530555,2.4234644672150063,-0.24047910843851827,0.3760603204524034,0.24288996093006732,10.014847121845916,0.4193815868450198,1,1,0.0,0.43049010367577756,108.48350612629595
4244,0.13301462064901243,0.12309530800082893,1.0805823780717678,-0.3098492114530961,0.36286522148916117,0.08002429320574146,3.0915953321570493,0.420495775009951,1,1,0.003,0.43049010367577756,108.48350612629595
4244,0.024531114522716495,0.1244215969026763,0.19716122548969497,-0.39845903837873686,0.34872761545711595,-0.028552818610475712,-1.0554383752723917,0.4212385671199048,1,1,0.005,0.43049010367577756,108.48350612629595
4244,-0.13819414466672741,0.12729843235237584,-1.0855918813217675,-0.9287543974316741,0.3296418473138549,-0.19141848633480152,-6.621719363130246,0.42235275528483607,1,1,0.008,0.43049010367577756,108.48350612629595
4244,-0.24667765079302337,0.12977732760434849,-1.900776162883153,-0.9883851080803859,0.3176248821866164,-0.2999955981510186,-9.932900615930267,0.42309554739478994,1,1,0.01,0.43049010367577756,108.48350612629595
4240,0.15994135511234658,0.12344038011723997,1.2956972018430202,-0.42288169603503534,0.34976415094339625,0.10498799110263875,3.6434035205876296,0.42871212723572966,1,5,0.0,0.09433962264150944,23.77358490566038
4240,0.12428097775385603,0.12337705202036618,1.0073265304907808,-0.4548543503940745,0.3481132075471698,0.06934459304309648,2.380914584561288,0.4285796652563356,1,5,0.003,0.09433962264150944,23.77358490566038
4240,0.10050739284819565,0.12355288879314619,0.8134766724594066,-0.4752041804990498,0.34599056603773587,0.04558232767006829,1.552453207048253,0.4284913572700729,1,5,0.005,0.09433962264150944,23.77358490566038
4240,0.06484701548970509,0.12414187407587465,0.5223621438973206,-0.504348950110249,0.3412735849056604,0.009938929610525983,0.33397343723497386,0.42835889529067883,1,5,0.008,0.09433962264150944,23.77358490566038
4240,0.041073430584044696,0.1247489624342688,0.32924867495941385,-0.5228967401160758,0.3384433962264151,-0.01382333576250223,-0.45996024881835024,0.4282705873044161,1,5,0.01,0.09433962264150944,23.77358490566038
4235,0.12629370016693153,0.1276036993820039,0.9897338461077791,-0.3577710057860678,0.34757969303423847,0.06784640270265407,2.508130033062002,0.4566364550316415,1,10,0.0,0.045808736717827626,11.543801652892562
4235,0.10897799768759268,0.1275852182517275,0.854158492503242,-0.3748784463552254,0.3463990554899646,0.05047504064146426,1.8377614361997885,0.4570713116502989,1,10,0.003,0.045808736717827626,11.543801652892562
4235,0.0974341960347001,0.12768080430192266,0.7631076305276134,-0.3860433138751326,0.34498229043683587,0.03889413260067104,1.4011588059533504,0.45736121606273716,1,10,0.005,0.045808736717827626,11.543801652892562
4235,0.08011849355536128,0.1279855600423444,0.6259963509075074,-0.4024380864364192,0.34191263282172374,0.021522770539481182,0.7626306779049992,0.45779607268139466,1,10,0.008,0.045808736717827626,11.543801652892562
4235,0.06857469190246873,0.12829571867913797,0.5345049126227749,-0.4131372725227658,0.34073199527744985,0.009941862498687958,0.34827872643468605,0.4580859770938329,1,10,0.01,0.045808736717827626,11.543801652892562
4225,0.1175551339408759,0.1320493847872477,0.890236134990524,-0.47450516473709947,0.3469822485207101,0.055181843467262355,1.6536327266196267,0.4912570617233348,1,20,0.0,0.02272189349112426,5.725917159763314
4225,0.10896625820123093,0.1320111124391853,0.8254324669177328,-0.47924857798913323,0.34650887573964495,0.0465986334354721,1.3955082269554262,0.49121243815173593,1,20,0.003,0.02272189349112426,5.725917159763314
4225,0.1032403410414676,0.13203858972363935,0.7818952115253024,-0.4823909882347983,0.34579881656804734,0.040876493414278604,1.2233592986375408,0.49118268910400326,1,20,0.005,0.02272189349112426,5.725917159763314
4225,0.09465146530182264,0.13215922781930872,0.7161926326569673,-0.4870749655973917,0.34437869822485206,0.032293283382488464,0.9652514087226665,0.49113806553240436,1,20,0.008,0.02272189349112426,5.725917159763314
4225,0.08892554814205932,0.1322924886673621,0.6721889431353495,-0.4901779514114568,0.34366863905325445,0.026571143361294958,0.793380702996437,0.49110831648467185,1,20,0.01,0.02272189349112426,5.725917159763314
4244,0.296550065453085,0.11921702692536473,2.4874807995231993,-0.14761733617713546,0.396559849198869,0.24631326367917933,10.392330292691069,0.3986456380846968,3,1,0.0,0.2674363807728558,67.39396795475966
4244,0.19545911352094553,0.11978762380245732,1.6317137556988246,-0.18276289028100257,0.38854853911404336,0.14511091404311202,5.720444699437138,0.39952961571056766,3,1,0.003,0.2674363807728558,67.39396795475966
4244,0.12806514556618587,0.12067910631002321,1.061203960503221,-0.22926183030488068,0.3781809613572102,0.0776426809524006,2.9226276256693886,0.40011893412781463,3,1,0.005,0.2674363807728558,67.39396795475966
4244,0.026974193634046382,0.12276069013780645,0.21972989565117454,-0.4056134097292514,0.36545711592836944,-0.02355966868366669,-0.8273803174898627,0.4010029117536854,3,1,0.008,0.2674363807728558,67.39396795475966
4244,-0.04041977432071329,0.12462531424499282,-0.3243303703231165,-0.734688002417813,0.3576814326107446,-0.09102790177437824,-3.053570720957608,0.40159223017093265,3,1,0.01,0.2674363807728558,67.39396795475966
4240,0.15277173985150738,0.12448580985756083,1.2272221229577243,-0.3723172167425389,0.36981132075471695,0.09723902603853636,3.8356892837971452,0.4332318557554738,3,5,0.0,0.09198113207547169,23.179245283018865
4240,0.11800287192697909,0.12445906003233913,0.9481260094389073,-0.4097169106944786,0.36816037735849055,0.06241041917873076,2.4077046127423234,0.43369790194724145,3,5,0.003,0.09198113207547169,23.179245283018865
4240,0.09482362664396021,0.12465251112302317,0.760703701751953,-0.433432680615255,0.36580188679245285,0.03919134793886033,1.4882995319442174,0.43400859940841996,3,5,0.005,0.09198113207547169,23.179245283018865
4240,0.06005475871943189,0.12525765635864688,0.47944980343140636,-0.4672728370436945,0.3613207547169811,0.004362741079054696,0.1616094666978092,0.4344746456001876,3,5,0.008,0.09198113207547169,23.179245283018865
4240,0.03687551343641305,0.12586871004171815,0.2929680730357129,-0.48872874941180666,0.3587264150943396,-0.018856330160815785,-0.6865452751359499,0.434785343061366,3,5,0.01,0.09198113207547169,23.179245283018865
4235,0.1270091536787434,0.13006999705074174,0.9764677216775499,-0.36133731323703266,0.37095631641086185,0.06646279325779392,2.2755797312459025,0.4730359928889528,3,10,0.0,0.04297520661157025,10.829752066115702
4235,0.1107645255795699,0.1300674039228502,0.8515932680971332,-0.3802661698423505,0.3702479338842975,0.05017720651267226,1.6985434078634765,0.47335599418413793,3,10,0.003,0.04297520661157025,10.829752066115702
4235,0.09993477351345419,0.13016526734498152,0.7677529924215006,-0.3925879860937017,0.3693034238488784,0.039320148682591184,1.3204228819667505,0.4735693283809281,3,10,0.005,0.04297520661157025,10.829752066115702
4235,0.08369014541428063,0.13046100249431822,0.6414954953142067,-0.4106352010818901,0.36741440377804013,0.02303456193746954,0.7638760048360012,0.47388932967611325,3,10,0.008,0.04297520661157025,10.829752066115702
4235,0.07286039334816492,0.13075692860101604,0.5572201345481801,-0.42238240385054926,0.36576151121605666,0.012177504107388385,0.4003233916719572,0.47410266387290345,3,10,0.01,0.04297520661157025,10.829752066115702
4225,0.12724348735728888,0.1358364823100928,0.936740153994952,-0.47450516473709947,0.36899408284023666,0.061345410661052896,2.025700405999956,0.5190185620350897,3,20,0.0,0.021301775147928994,5.368047337278107
4225,0.11919141635137173,0.13578737037939997,0.8777798407785798,-0.47924857798913323,0.36828402366863905,0.05329421915955659,1.7539446765637745,0.5190116349874017,3,20,0.003,0.021301775147928994,5.368047337278107
4225,0.11382336901409364,0.1358029970046078,0.8381506411837997,-0.4823909882347983,0.36757396449704144,0.04792675815855906,1.5734012630130474,0.5190070169556098,3,20,0.005,0.021301775147928994,5.368047337278107
4225,0.10577129800817647,0.13589895544081565,0.7783083958598943,-0.4870749655973917,0.3663905325443787,0.0398755666570628,1.303784173357569,0.5190000899079219,3,20,0.008,0.021301775147928994,5.368047337278107
4225,0.10040325067089838,0.13601119381011262,0.7381984368953702,-0.4901779514114568,0.3659171597633136,0.03450810565606527,1.1249833715430277,0.51899547187613,3,20,0.01,0.021301775147928994,5.368047337278107
4244,0.2688709875126968,0.11884019767654375,2.262458265548355,-0.17942591392920393,0.3977379830348728,0.21906751029258337,8.912966020324037,0.39520706442665016,5,1,0.0,0.2094721960414703,52.78699340245051
4244,0.18969049740902102,0.11925849545340841,1.5905826808215,-0.23527738555197408,0.39161168708765315,0.13979019393176595,5.29545527588649,0.39597541280271265,5,1,0.003,0.2094721960414703,52.78699340245051
4244,0.1369035040065705,0.11997222481082774,1.1411266584614899,-0.2873835635588401,0.3826578699340245,0.08693864969122107,3.1395445166666187,0.3964876450534207,5,1,0.005,0.2094721960414703,52.78699340245051
4244,0.05772301390289472,0.12167981154158895,0.4743844781775124,-0.39608610857630866,0.37323279924599434,0.007661333330403681,0.25768889785234866,0.3972559934294829,5,1,0.008,0.2094721960414703,52.78699340245051
4244,0.004936020500444209,0.1232291346619373,0.04005562900352683,-0.5779986628453806,0.3661639962299717,-0.0451902109101412,-1.4508805916436531,0.39776822568019105,5,1,0.01,0.2094721960414703,52.78699340245051
4240,0.16370531974849942,0.1240024180779173,1.3201784472108817,-0.280476756599663,0.37924528301886795,0.10895693323414866,4.0496040048744835,0.42711301970785476,5,5,0.0,0.08113207547169811,20.445283018867922
4240,0.13303739522019753,0.12402848875281565,1.0726357835846596,-0.3152167198122129,0.3778301886792453,0.07821268119777514,2.8230996678442377,0.4277084796754413,5,5,0.003,0.08113207547169811,20.445283018867922
4240,0.11259211220132957,0.12423507667952541,0.9062827923531629,-0.33746712544565705,0.3754716981132076,0.05771651317352613,2.0422317863751775,0.4281054529871658,5,5,0.005,0.08113207547169811,20.445283018867922
4240,0.0819241876730277,0.12482689097390659,0.6563023963334381,-0.3695336750538677,0.3712264150943396,0.026972261137152558,0.9259086981043202,0.42870091295475243,5,5,0.008,0.08113207547169811,20.445283018867922
4240,0.06147890465415979,0.12540731915831968,0.4902337843339602,-0.3900697349687997,0.36839622641509434,0.006476093112903519,0.21782367552474408,0.42909788626647677,5,5,0.01,0.08113207547169811,20.445283018867922
4235,0.15835581854023995,0.12944841967738122,1.223312103267876,-0.35355459632658504,0.39008264462809916,0.09883961466835008,3.297236122357022,0.46498759621196867,5,10,0.0,0.04014167650531287,10.115702479338843
4235,0.14318226482123173,0.12947691969144456,1.105851646474509,-0.37459466281738274,0.3893742621015348,0.08362079784334184,2.7467411781727917,0.46534122734915123,5,10,0.003,0.04014167650531287,10.115702479338843
4235,0.13306656234189287,0.12958962980445066,1.0268303300402115,-0.3882564744618755,0.3884297520661157,0.07347491996000304,2.3881643159955575,0.4655769814406064,5,10,0.005,0.04014167650531287,10.115702479338843
4235,0.11789300862288458,0.1298987722699894,0.9075760037042436,-0.4082163019532906,0.3863046044864227,0.05825610313499482,1.8632202844237877,0.46593061257778895,5,10,0.008,0.04014167650531287,10.115702479338843
4235,0.10777730614354575,0.13019773473339993,0.8277970915871656,-0.42117582913680063,0.38488783943329397,0.04811022525165597,1.5219894406927545,0.46616636666924416,5,10,0.01,0.04014167650531287,10.115702479338843
4225,0.15602440962771558,0.13418250422433933,1.1627775955564135,-0.3616368476867269,0.39218934911242603,0.09224582954577995,3.0494313993427733,0.5023252359147653,5,20,0.0,0.021301775147928994,5.368047337278107
4225,0.1479723386217984,0.1341537274368429,1.1030057937932516,-0.37232868534914143,0.3914792899408284,0.08418797347999905,2.7635248448353695,0.5023707995124045,5,20,0.003,0.021301775147928994,5.368047337278107
4225,0.1426042912845203,0.13418350136096346,1.0627557772613514,-0.3798300722133747,0.39076923076923076,0.07881606943614511,2.5745086614248884,0.5024011752441638,5,20,0.005,0.021301775147928994,5.368047337278107
4225,0.13455222027860314,0.13430153479789672,1.00186658686428,-0.3909281698996707,0.3895857988165681,0.07075821337036416,2.2936123608010934,0.5024467388418029,5,20,0.008,0.021301775147928994,5.368047337278107
4225,0.12918417294132503,0.13442903857509983,0.9609841319303588,-0.39822544105824187,0.38911242603550295,0.06538630932651021,2.1082333481783726,0.5024771145735624,5,20,0.01,0.021301775147928994,5.368047337278107
4244,0.25394102396005647,0.11717443341521547,2.167205051124075,-0.17115051632548606,0.4038642789820924,0.2058891459247615,8.090196638713383,0.3813075455471793,10,1,0.0,0.14114043355325165,35.567389255419414
4244,0.20058994007692743,0.11738151646878302,1.7088716018613823,-0.2154524723024468,0.3998586239396795,0.15243171009301526,5.6244295795517525,0.38215148343575855,10,1,0.003,0.14114043355325165,35.567389255419414
4244,0.16502255082150802,0.11784391624824059,1.4003484954953864,-0.24478950852745263,0.39278982092365694,0.1167934195385178,4.131097578563061,0.3827141086948113,10,1,0.005,0.14114043355325165,35.567389255419414
4244,0.11167146693837887,0.1190164719651083,0.9382858111532433,-0.309332910238694,0.3883129123468426,0.06333598370677146,2.1032448788364415,0.38355804658339054,10,1,0.008,0.14114043355325165,35.567389255419414
4244,0.07610407768295946,0.12011020667374195,0.6336187389110293,-0.360074530764415,0.38336475023562677,0.027697693152273925,0.882342056605006,0.3841206718424434,10,1,0.01,0.14114043355325165,35.567389255419414
