scope,n_chains,mean_beta,median_beta,mean_t,share_pos,share_sig5_2sided,share_sig10_2sided,share_sig5_pos,share_sig5_neg
EW-D 上游->下游,22,0.032647956087041685,0.020814201052692605,0.8155105748456731,0.8636363636363636,0.045454545454545456,0.2727272727272727,0.045454545454545456,0.0
EW-D 下游->上游,22,-0.0010530320760866367,-0.008958910993261002,-0.03491635790146226,0.45454545454545453,0.13636363636363635,0.13636363636363635,0.09090909090909091,0.045454545454545456
EW-D 上游->中游,21,0.03254320727132263,0.027669859878341366,0.8241385329778789,0.8095238095238095,0.09523809523809523,0.2857142857142857,0.09523809523809523,0.0
EW-D 中游->上游,21,-0.002684046330020267,0.0059592161306119456,0.04159911134086395,0.5238095238095238,0.0,0.047619047619047616,0.0,0.0
EW-D 中游->下游,17,-0.0011855850511919342,7.207479552287043e-05,-0.012888643959476257,0.5294117647058824,0.058823529411764705,0.11764705882352941,0.0,0.058823529411764705
EW-D 下游->中游,17,0.03356162549007813,0.023421612248115963,0.43227015662880924,0.7058823529411765,0.17647058823529413,0.29411764705882354,0.11764705882352941,0.058823529411764705
EW-W 上游->下游,22,0.02237847494230538,0.027111569508674598,0.3199787611486082,0.5454545454545454,0.0,0.045454545454545456,0.0,0.0
EW-W 下游->上游,22,0.05218529393098961,0.027819316059227175,0.3908647536740354,0.7727272727272727,0.09090909090909091,0.13636363636363635,0.045454545454545456,0.045454545454545456
EW-W 上游->中游,21,0.015307430181823869,0.01929377251180753,0.13712429023517034,0.6190476190476191,0.09523809523809523,0.19047619047619047,0.0,0.09523809523809523
EW-W 中游->上游,21,0.0426857493850375,0.030665259759877384,0.5547298930427376,0.7619047619047619,0.09523809523809523,0.19047619047619047,0.09523809523809523,0.0
EW-W 中游->下游,17,0.005194941774403605,0.04860845631117742,0.0862271700150264,0.5294117647058824,0.058823529411764705,0.11764705882352941,0.0,0.058823529411764705
EW-W 下游->中游,17,0.05612284618488283,0.07932582895224088,0.29083335416384365,0.6470588235294118,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705
EW-M 上游->下游,22,0.008895169794634976,0.0325199118236855,-0.122855221435485,0.5,0.045454545454545456,0.2727272727272727,0.0,0.045454545454545456
EW-M 下游->上游,22,-0.007210635971368995,-0.024541591230045106,0.004271505391376986,0.36363636363636365,0.09090909090909091,0.13636363636363635,0.045454545454545456,0.045454545454545456
EW-M 上游->中游,21,0.08663252963322715,0.0456045634245085,0.43118588750305537,0.7619047619047619,0.09523809523809523,0.14285714285714285,0.09523809523809523,0.0
EW-M 中游->上游,21,-0.06503867384115898,0.01994679079145667,-0.19981952294970962,0.5238095238095238,0.09523809523809523,0.09523809523809523,0.0,0.09523809523809523
