date,rank,stock_id,score,yoy,status
2012-09-28,-1,3305,0.012233890833783557,-15.0,rejected_yoy_neg
2012-09-28,-1,3339,0.011781945846840005,-48.0,rejected_yoy_neg
2012-09-28,-1,2467,0.010457880461348676,-6.0,rejected_yoy_neg
2012-10-31,1,1711,0.10234473253717068,9.0,selected
2012-10-31,2,3010,0.047041541138447815,6.0,selected
2012-10-31,3,6207,0.039786883707518116,12.0,selected
2012-10-31,4,3402,0.03671014468901797,49.0,selected
2012-10-31,-1,4720,0.2912631382778147,-17.0,rejected_yoy_neg
2012-10-31,-1,6208,0.10762025189633609,-9.0,rejected_yoy_neg
2012-10-31,-1,8383,0.10450985061173759,-36.0,rejected_yoy_neg
2012-10-31,-1,6277,0.06369942866627086,-12.0,rejected_yoy_neg
2012-10-31,-1,6223,0.05124688205533204,-24.0,rejected_yoy_neg
2012-10-31,-1,3551,0.038626846137469896,0.0,rejected_yoy_neg
2012-10-31,-1,3535,0.02052169377940058,-49.0,rejected_yoy_neg
2012-10-31,-1,1742,0.01667311788133866,-65.0,rejected_yoy_neg
2012-10-31,-1,3305,0.01282884159251719,-41.0,rejected_yoy_neg
2012-10-31,-1,3339,0.011358458179871337,-28.0,rejected_yoy_neg
2012-10-31,-1,2467,0.0006140519270382935,-21.0,rejected_yoy_neg
2012-11-30,1,1711,0.097865609740158,25.0,selected
2012-11-30,2,3551,0.04005637276854287,14.0,selected
2012-11-30,3,3010,0.038806583825334647,17.0,selected
2012-11-30,4,6207,0.03629420690914541,2.0,selected
2012-11-30,5,1785,0.020079608207772465,116.0,selected
2012-11-30,6,3402,0.010513894791182084,12.0,selected
2012-11-30,-1,4720,0.3093605511923361,-27.0,rejected_yoy_neg
2012-11-30,-1,8383,0.10464955058922899,-4.0,rejected_yoy_neg
2012-11-30,-1,6208,0.08307672448614807,-16.0,rejected_yoy_neg
2012-11-30,-1,6277,0.03708583559443,-16.0,rejected_yoy_neg
2012-11-30,-1,6223,0.03619052153348163,-2.0,rejected_yoy_neg
2012-11-30,-1,3535,0.026220521482011185,-85.0,rejected_yoy_neg
2012-11-30,-1,3339,0.009404792922588081,-28.0,rejected_yoy_neg
2012-12-28,1,8383,0.13234852209483625,323.0,selected
2012-12-28,2,1711,0.09949084801409912,13.0,selected
2012-12-28,3,6207,0.06738231947529862,79.0,selected
2012-12-28,4,3010,0.053569995477689675,19.0,selected
2012-12-28,5,3551,0.0351860303144532,8.0,selected
2012-12-28,6,1742,0.016746425909816755,50.0,selected
2012-12-28,7,3030,0.013008655758227301,150.0,selected
2012-12-28,8,1785,0.010886198988194016,75.0,selected
2012-12-28,-1,4720,0.31651538144568914,-30.0,rejected_yoy_neg
2012-12-28,-1,6208,0.10129722332711012,-32.0,rejected_yoy_neg
2012-12-28,-1,6223,0.04857481535355596,-1.0,rejected_yoy_neg
2012-12-28,-1,6277,0.027846899671293612,-8.0,rejected_yoy_neg
2012-12-28,-1,3535,0.026355196231799452,-35.0,rejected_yoy_neg
2012-12-28,-1,3339,0.0035903042678499596,-26.0,rejected_yoy_neg
2013-01-31,1,8383,0.15252017307871538,317.5,selected
2013-01-31,2,6208,0.06555401928641168,47.89,selected
2013-01-31,3,3030,0.0575720230313098,9.67,selected
2013-01-31,4,3010,0.0425648504050448,15.91,selected
2013-01-31,5,6223,0.041291262979103294,29.74,selected
2013-01-31,6,3551,0.036507261100682344,7.74,selected
2013-01-31,7,3535,0.034505400361355305,16.68,selected
2013-01-31,8,1742,0.03242964811724244,25.75,selected
2013-01-31,9,3402,0.0017787572772065012,21.31,selected
2013-01-31,-1,4720,0.3142732062658402,-39.35,rejected_yoy_neg
2013-01-31,-1,1711,0.13166437301401382,-9.61,rejected_yoy_neg
2013-01-31,-1,6207,0.04948837762945659,-21.39,rejected_yoy_neg
2013-01-31,-1,6277,0.044566358594318026,-9.14,rejected_yoy_neg
2013-02-27,1,4720,0.3421442257862037,33.59,selected
2013-02-27,2,8383,0.1608079436324806,59.57,selected
2013-02-27,3,1711,0.1601103678030063,35.02,selected
2013-02-27,4,6223,0.08658512510976023,128.23,selected
2013-02-27,5,3010,0.0863219515195787,27.06,selected
2013-02-27,6,6208,0.08080844891502298,18.12,selected
2013-02-27,7,6207,0.07404562659041812,37.12,selected
2013-02-27,8,6277,0.05338873237083681,25.62,selected
2013-02-27,9,1742,0.05299383925000756,7.82,selected
2013-02-27,10,3551,0.03274002540053785,20.13,selected
2013-03-29,1,6223,0.06698426515140478,43.86,selected
2013-03-29,2,6207,0.046030826461047725,5.89,selected
2013-03-29,3,1742,0.03593133179655796,72.28,selected
2013-03-29,-1,4720,0.3153852611999357,-44.1,rejected_yoy_neg
2013-03-29,-1,8383,0.16273321567917148,-5.78,rejected_yoy_neg
2013-03-29,-1,1711,0.10203146935577379,-15.35,rejected_yoy_neg
2013-03-29,-1,3010,0.08528846870039414,-21.97,rejected_yoy_neg
2013-03-29,-1,6208,0.05422958777122572,-25.33,rejected_yoy_neg
2013-03-29,-1,3551,0.040850571938829495,-14.86,rejected_yoy_neg
2013-03-29,-1,6277,0.029592937033247106,-19.57,rejected_yoy_neg
2013-03-29,-1,3402,0.027791132935382483,-27.47,rejected_yoy_neg
2013-03-29,-1,8091,0.010725879542408081,-18.32,rejected_yoy_neg
2013-04-30,1,6208,0.06427134755701533,17.41,selected
2013-04-30,2,1742,0.03165877217975903,14.68,selected
2013-04-30,3,6277,0.028735066050182924,2.46,selected
2013-04-30,4,3535,0.017224645413180518,340.58,selected
2013-04-30,5,3551,0.016272680487209614,6.22,selected
2013-04-30,-1,4720,0.3234486240601393,-18.91,rejected_yoy_neg
2013-04-30,-1,8383,0.24477230031279118,-9.1,rejected_yoy_neg
2013-04-30,-1,1711,0.10194565939910384,-0.22,rejected_yoy_neg
