stock_id,name,sub_code,n_full,beta_lag,t_lag,alpha_ann_full,beta_contemp,t_contemp,beta_lag_5y,t_lag_5y,ann_vol
6208,日揚,D400,4657,0.1788059358110486,4.652706507792104,0.12140074445883436,0.4995297565491731,22.73774038600369,0.2310238180245469,3.8665849011901856,0.3444292915630452
3402,漢科,D400,4673,0.1600815950068842,3.8910036593792627,0.16369373840594648,0.5835556730192881,26.863350202905455,0.13269993629689356,1.9342121578773168,0.35035356348445923
5434,崇越,D400,4673,0.13906228302523735,3.8189796994899146,0.19731731160287894,0.5843960774381862,30.69554043434283,0.09808077632359004,1.785639599425352,0.28559362802407495
5434,崇越,D500,4673,0.13906228302523735,3.8189796994899146,0.19731731160287894,0.5843960774381862,30.69554043434283,0.09808077632359004,1.785639599425352,0.28559362802407495
3535,晶彩科,D400,4476,0.20716601078371122,3.605237444892545,0.19228302429972632,0.7892260324635113,27.857481975361758,0.1988725489409272,2.124985081175047,0.49983122596641727
6207,雷科,D400,4665,0.1424588090216949,3.560831785463268,0.13340402043672317,0.6200354089025586,26.078365800692023,0.16995069506669572,2.2262943888399684,0.38104880483126835
3010,華立,D500,4673,0.11780269106171352,3.4787152757788227,0.12779620788260782,0.48854819804971744,26.87231905574679,0.1412863387660875,2.572938723558834,0.2547438957193926
8091,翔名,D400,4662,0.13301415512604037,3.4096007987500565,0.18942557174722813,0.5780597080912189,23.66895711315712,0.14142501820823367,2.0777331534054637,0.3538256479398945
1785,光洋科,D500,4503,0.1812322419805421,3.342856400856838,0.12538578659495023,0.7924339421611112,33.79430051692067,0.18051468919392025,2.1677999688472425,0.4220605305802031
6277,宏正,D400,4673,0.101137726023766,3.2642256787839607,0.07370233640901833,0.38922009510722705,19.56701790724356,0.019060347007750254,0.7379491267431998,0.2465413542191879
3305,昇貿,D500,4671,0.15591897912570726,3.2158498384969922,0.1349948185503605,0.7565089813500602,33.69468002272737,0.09041599482597808,0.9655506905777368,0.3965598545425889
2360,致茂,D400,4673,0.15572655398005641,3.2077237582910945,0.3281296292133009,0.6056611370410288,22.54607551788047,0.09824305332925345,1.0085903155775757,0.420405202536813
1711,永光,D500,4673,0.14837280992131816,2.888330305444377,0.14468476933058835,0.6383910767021435,24.145776538000643,0.0005739588090030584,0.0058688833129488275,0.39239235698389724
7556,意德士科技,D400,1300,0.2453072540648701,2.615610769520981,0.3931295853539449,0.5771908434064912,10.81077616816177,0.24457845494413372,2.6254495639148714,0.4396287801013544
2467,志聖,D400,4673,0.10072512521220174,2.60806273355364,0.2886829114972479,0.5874733189744233,24.15222582884894,0.13316545521117398,1.4626420402378697,0.3641858943496586
